,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
83,Dicotyles tajacu,131959,-104.265066,19.595698,,False,3,4.38,Mammalia,Artiodactyla,Tayassuidae,2145,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0095849a805915e0bc46fc76baca9e6f,0095849a805915e0bc46fc76baca9e6f,No,NoDisponible,,,,,,,
652,Dicotyles tajacu,122959,-105.5490874,22.5899222,,False,4,11.62,Mammalia,Artiodactyla,Tayassuidae,334,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00da2568805cf903e3542e6213ec5091,00da2568805cf903e3542e6213ec5091,No,NoDisponible,,,,,,,
205,Dicotyles tajacu,194723,-96.75185,17.59641,,False,3,2.96,Mammalia,Artiodactyla,Tayassuidae,2431,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=010742cb5e07024274884c334484e562,010742cb5e07024274884c334484e562,No,NoDisponible,,,,,,,
1071,Dicotyles tajacu,174992,-99.1758333,18.8816667,,False,3,4.42,Mammalia,Artiodactyla,Tayassuidae,1356,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e7f8d04eff3b059ed9186b5457576d,01e7f8d04eff3b059ed9186b5457576d,Si,NoDisponible,No,No,Si,,,,
86,Dicotyles tajacu,131959,-104.268683,19.588601,,False,3,4.38,Mammalia,Artiodactyla,Tayassuidae,1940,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c1b359497e2e2884a46cc0fa7535b4,02c1b359497e2e2884a46cc0fa7535b4,No,NoDisponible,,,,,,,
87,Dicotyles tajacu,131959,-104.268683,19.588601,,False,3,4.38,Mammalia,Artiodactyla,Tayassuidae,1940,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02de5ac23f49a1034fe5f0328da7add1,02de5ac23f49a1034fe5f0328da7add1,No,NoDisponible,,,,,,,
233,Dicotyles tajacu,194723,-96.75997,17.59256,,False,3,2.96,Mammalia,Artiodactyla,Tayassuidae,2133,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0364170ce8791d2549f920e6fef7c65f,0364170ce8791d2549f920e6fef7c65f,No,NoDisponible,,,,,,,
909,Dicotyles tajacu,166114,-100.254605,25.6554538,,False,3,2.39,Mammalia,Artiodactyla,Tayassuidae,598,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044f2efe57890238e5b537b37093335e,044f2efe57890238e5b537b37093335e,No,NoDisponible,,,,,,,
364,Dicotyles tajacu,131949,-104.160504,19.3517,,False,4,11.45,Mammalia,Artiodactyla,Tayassuidae,628,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=046f7b5cf53e1ac21143135577eca46a,046f7b5cf53e1ac21143135577eca46a,No,NoDisponible,,,,,,,
896,Dicotyles tajacu,170433,-100.0141211,21.3700616,,True,2,-3.95,Mammalia,Artiodactyla,Tayassuidae,1997,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=048bd7b76afc5fb71a73385dc1d208c0,048bd7b76afc5fb71a73385dc1d208c0,No,NoDisponible,,,,,,,
234,Dicotyles tajacu,194723,-96.75997,17.59256,,False,3,2.96,Mammalia,Artiodactyla,Tayassuidae,2133,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04cdc2b8c55a74e9cfc38d33279d0da4,04cdc2b8c55a74e9cfc38d33279d0da4,No,NoDisponible,,,,,,,
