,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
64,Diphylla ecaudata,175470,-99.0255556,22.6536111,,False,3,7.65,Mammalia,Chiroptera,Phyllostomidae,121,Terrestre,1998,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0080bf2cf816268d746e1a6126d5f6a7,0080bf2cf816268d746e1a6126d5f6a7,No,NoDisponible,,,,,,,
65,Diphylla ecaudata,175470,-99.0255556,22.6536111,,False,3,7.65,Mammalia,Chiroptera,Phyllostomidae,121,Terrestre,1998,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01816e7c62ca3b932d95d52bee20a307,01816e7c62ca3b932d95d52bee20a307,No,NoDisponible,,,,,,,
271,Diphylla ecaudata,189971,-97.6194444,20.0516667,,False,4,25.51,Mammalia,Chiroptera,Phyllostomidae,630,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037fca2ab9477e661fa48b6f25f98c55,037fca2ab9477e661fa48b6f25f98c55,No,NoDisponible,,,,,,,
420,Diphylla ecaudata,230706,-92.2286111,15.1575,,False,3,18.37,Mammalia,Chiroptera,Phyllostomidae,1733,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05277ba4e5e34962b3b2999396249fb3,05277ba4e5e34962b3b2999396249fb3,No,NoDisponible,,,,,,,
33,Diphylla ecaudata,235024,-91.7272222,16.1336111,,False,4,25.47,Mammalia,Chiroptera,Phyllostomidae,1487,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=064cd07b316f7347a718b191c6be5aeb,064cd07b316f7347a718b191c6be5aeb,No,NoDisponible,,,,,,,
192,Diphylla ecaudata,235103,-91.75833,16.89444,,False,4,25.23,Mammalia,Chiroptera,Phyllostomidae,582,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=065d6b65859647fa26d6ba837e23022a,065d6b65859647fa26d6ba837e23022a,No,NoDisponible,,,,,,,
298,Diphylla ecaudata,256782,-88.9488888,19.9477777,,False,3,13.74,Mammalia,Chiroptera,Phyllostomidae,40,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=086aa67ce91dd31fbf51cc064658e736,086aa67ce91dd31fbf51cc064658e736,No,NoDisponible,,,,,,,
13,Diphylla ecaudata,226531,-92.720276,15.3827782,,False,2,3.06,Mammalia,Chiroptera,Phyllostomidae,122,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08b8d2908d3f0ea7ef227e3f656df6d5,08b8d2908d3f0ea7ef227e3f656df6d5,Si,NoDisponible,No,Si,Si,,,,
375,Diphylla ecaudata,247956,-90.125,18.4583333,,False,3,14.04,Mammalia,Chiroptera,Phyllostomidae,179,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09403429f970535f2ad1b44b637fc899,09403429f970535f2ad1b44b637fc899,No,NoDisponible,,,,,,,
410,Diphylla ecaudata,189860,-97.3069444,18.7477778,,True,1,-15.12,Mammalia,Chiroptera,Phyllostomidae,1968,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09f30bbf49f41d841df0d80da4886790,09f30bbf49f41d841df0d80da4886790,No,NoDisponible,,,,,,,
