,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
28,Dipodomys deserti,60725,-113.4764477,31.5436358,,False,3,21.71,Mammalia,Rodentia,Heteromyidae,63,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0502c01a08de2094e7a3f193e7956fe7,0502c01a08de2094e7a3f193e7956fe7,No,NoDisponible,,,,,,,
44,Dipodomys deserti,51421,-114.8352778,31.0275,,False,3,19.12,Mammalia,Rodentia,Heteromyidae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06efe39c59fd886d53a87d15187ffe28,06efe39c59fd886d53a87d15187ffe28,Si,NoDisponible,No,Si,Si,,,,
29,Dipodomys deserti,46867,-115.461069,31.856984,,False,2,-2.47,Mammalia,Rodentia,Heteromyidae,340,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=083da4a8995074b5103149ddd712db5a,083da4a8995074b5103149ddd712db5a,No,NoDisponible,,,,,,,
0,Dipodomys deserti,69457,-112.68306,29.90417,,False,3,23.24,Mammalia,Rodentia,Heteromyidae,,Terrestre,1933,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08c376542a5305694a4613b8de53ab07,08c376542a5305694a4613b8de53ab07,Si,NoDisponible,No,Si,Si,,,,
10,Dipodomys deserti,60710,-113.533333,31.316667,,False,3,23.92,Mammalia,Rodentia,Heteromyidae,12,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b1f8a152fe47c64e45a4ecc0d62a5b2,0b1f8a152fe47c64e45a4ecc0d62a5b2,No,NoDisponible,,,,,,,
21,Dipodomys deserti,51415,-114.8672018,31,,False,3,21.04,Mammalia,Rodentia,Heteromyidae,53,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e2d9b2ee51a58fa6901ea7abba8a5ff,0e2d9b2ee51a58fa6901ea7abba8a5ff,No,NoDisponible,,,,,,,
43,Dipodomys deserti,51421,-114.8352778,31.0275,,False,3,19.12,Mammalia,Rodentia,Heteromyidae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=114dbf3ca227b032e8e4642bbd139c16,114dbf3ca227b032e8e4642bbd139c16,Si,NoDisponible,No,Si,Si,,,,
14,Dipodomys deserti,60710,-113.5369444,31.3166667,,False,3,23.92,Mammalia,Rodentia,Heteromyidae,16,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1776e76bf9f8eb3df57fda2601057958,1776e76bf9f8eb3df57fda2601057958,No,NoDisponible,,,,,,,
53,Dipodomys deserti,96497,-108.9430556,26.9038889,,True,0,-40.28,Mammalia,Rodentia,Heteromyidae,331,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cc1119acbcb0e742846e6bec0aaca1c,1cc1119acbcb0e742846e6bec0aaca1c,Si,NoDisponible,No,No,Si,,,,
30,Dipodomys deserti,46867,-115.461069,31.856984,,False,2,-2.47,Mammalia,Rodentia,Heteromyidae,340,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cf690bc6adb746e81834ba1c52c69c4,1cf690bc6adb746e81834ba1c52c69c4,No,NoDisponible,,,,,,,
2,Dipodomys deserti,56128,-113.871485,31.591061,,False,3,20.73,Mammalia,Rodentia,Heteromyidae,7,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1de369441e06faf7e953d07b4d62ae5c,1de369441e06faf7e953d07b4d62ae5c,No,NoDisponible,,,,,,,
31,Dipodomys deserti,46867,-115.461069,31.856984,,False,2,-2.47,Mammalia,Rodentia,Heteromyidae,340,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a73e04ad88c5720935b81c99675a2df,2a73e04ad88c5720935b81c99675a2df,No,NoDisponible,,,,,,,
59,Dipodomys deserti,96486,-108.9430556,26.8372222,,True,0,-39.18,Mammalia,Rodentia,Heteromyidae,216,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33b70a927372769dc8506919c8257820,33b70a927372769dc8506919c8257820,Si,NoDisponible,No,No,Si,,,,
40,Dipodomys deserti,69376,-112.1440394,29.0958342,,False,3,11.74,Mammalia,Rodentia,Heteromyidae,40,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36456bc9871a9e41e0a04ddeef6d325c,36456bc9871a9e41e0a04ddeef6d325c,No,NoDisponible,,,,,,,
41,Dipodomys deserti,51615,-114.7625,32.4767,,False,3,21.41,Mammalia,Rodentia,Heteromyidae,44,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=392fdb17ad6e62b2edd0d81846bbf421,392fdb17ad6e62b2edd0d81846bbf421,Si,NoDisponible,No,Si,Si,,,,
