,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
70,Eira barbara,235024,-91.7033333,16.1519444,,False,4,16.07,Mammalia,Carnivora,Mustelidae,1581,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b9980cfdd6985bbd129890ac9c97ad,01b9980cfdd6985bbd129890ac9c97ad,No,NoDisponible,,,,,
37,Eira barbara,199571,-96.51204,17.8829441,,False,4,23.05,Mammalia,Carnivora,Mustelidae,199,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=056d02202b70883760f96d8bb119802d,056d02202b70883760f96d8bb119802d,No,NoDisponible,,,,,
16,Eira barbara,243463,-90.7277778,16.5972222,,False,4,22.92,Mammalia,Carnivora,Mustelidae,155,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fe8562dc8001c6d8bfa711dbeedce67,0fe8562dc8001c6d8bfa711dbeedce67,No,NoDisponible,,,,,
6,Eira barbara,235032,-91.8638112,16.3833333,,False,4,5.13,Mammalia,Carnivora,Mustelidae,1211,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=136ce1ecde890b17a1fe1bae71979485,136ce1ecde890b17a1fe1bae71979485,No,NoDisponible,,,,,
43,Eira barbara,261023,-88.2685308,19.1080494,,False,4,23.19,Mammalia,Carnivora,Mustelidae,20,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=170d2a1b461d129a106506fae46671e2,170d2a1b461d129a106506fae46671e2,No,NoDisponible,,,,,
42,Eira barbara,247979,-89.7139866,18.1381663,,False,4,13.6,Mammalia,Carnivora,Mustelidae,327,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1978a3648265f05329a746e8721259b8,1978a3648265f05329a746e8721259b8,No,NoDisponible,,,,,
54,Eira barbara,194957,-97.0019444,19.9141667,,False,4,15.83,Mammalia,Carnivora,Mustelidae,746,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1991fa2aa7b07877fd1dae550b95038c,1991fa2aa7b07877fd1dae550b95038c,No,NoDisponible,,,,,
23,Eira barbara,265458,-87.6136111,20.0783333,,False,4,21.84,Mammalia,Carnivora,Mustelidae,31,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c253295f4d789dcc10ab500884545a9,1c253295f4d789dcc10ab500884545a9,No,NoDisponible,,,,,
71,Eira barbara,265443,-87.58726,19.77511,,False,4,20.14,Mammalia,Carnivora,Mustelidae,6,Terrestre,1917,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d0fc2beaeff7836a7b43416e17d936a,1d0fc2beaeff7836a7b43416e17d936a,No,NoDisponible,,,,,
62,Eira barbara,248123,-89.7305556,19.4583333,,False,4,11.45,Mammalia,Carnivora,Mustelidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=203396f460e24b27d78af00f8907fc82,203396f460e24b27d78af00f8907fc82,No,NoDisponible,,,,,
29,Eira barbara,247985,-89.926553,18.3804772,,False,4,12.56,Mammalia,Carnivora,Mustelidae,245,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25f84508d7e90583b2dd2c00add345ee,25f84508d7e90583b2dd2c00add345ee,No,NoDisponible,,,,,
19,Eira barbara,261017,-88.3338888,18.9383333,,False,4,20.52,Mammalia,Carnivora,Mustelidae,21,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2de571c9e4cec96868a727d8e3252dd0,2de571c9e4cec96868a727d8e3252dd0,No,NoDisponible,,,,,
5,Eira barbara,190053,-97.3833,20.4333,,False,4,13.57,Mammalia,Carnivora,Mustelidae,103,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=32be7a73181a7763e630cfaa080101eb,32be7a73181a7763e630cfaa080101eb,No,NoDisponible,,,,,
26,Eira barbara,261102,-88.0741667,19.3897222,,False,4,23.38,Mammalia,Carnivora,Mustelidae,11,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=34400014ade9457c716789cee75fdf6c,34400014ade9457c716789cee75fdf6c,No,NoDisponible,,,,,
2,Eira barbara,199553,-96.5583333,17.575,,True,2,-37.83,Mammalia,Carnivora,Mustelidae,1802,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=344fb506cc24746659072a364d46f8fd,344fb506cc24746659072a364d46f8fd,No,NoDisponible,,,,,
17,Eira barbara,239270,-91.0833333,16.7166666,,False,4,19.85,Mammalia,Carnivora,Mustelidae,275,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35abb430a4532c2a632e7222cbf87430,35abb430a4532c2a632e7222cbf87430,No,NoDisponible,,,,,
7,Eira barbara,226761,-92.9379508,17.548,,False,4,23.2,Mammalia,Carnivora,Mustelidae,64,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37949a9a8023531202ce50a1c5d95357,37949a9a8023531202ce50a1c5d95357,No,NoDisponible,,,,,
27,Eira barbara,213522,-94.7944219,16.8257136,,False,4,24.62,Mammalia,Carnivora,Mustelidae,268,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ce84098c34f79d72c6d89086fa1c2af,3ce84098c34f79d72c6d89086fa1c2af,No,NoDisponible,,,,,
21,Eira barbara,265470,-87.4697222,20.2069444,,False,4,22.6,Mammalia,Carnivora,Mustelidae,16,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40e0a630205c086bebc238cae30084db,40e0a630205c086bebc238cae30084db,No,NoDisponible,,,,,
47,Eira barbara,209078,-95.0788095,18.6147278,,False,4,19.22,Mammalia,Carnivora,Mustelidae,105,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4cd5ec410c54b09080c60c74f703ca25,4cd5ec410c54b09080c60c74f703ca25,No,NoDisponible,,,,,
79,Eira barbara,230725,-92.5222222,15.5055556,,False,3,-17.49,Mammalia,Carnivora,Mustelidae,1652,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f6d385e2947108dc7cd077a712ba69b,4f6d385e2947108dc7cd077a712ba69b,No,NoDisponible,,,,,
22,Eira barbara,265458,-87.6136111,20.0783333,,False,4,21.84,Mammalia,Carnivora,Mustelidae,31,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5177a6729f988e44948a4ba8fc14431f,5177a6729f988e44948a4ba8fc14431f,No,NoDisponible,,,,,
73,Eira barbara,256943,-88.6041667,20.9644444,,False,4,15.14,Mammalia,Carnivora,Mustelidae,53,Terrestre,1917,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5308b15890cb122d7c0500a3a355835f,5308b15890cb122d7c0500a3a355835f,No,NoDisponible,,,,,
60,Eira barbara,269628,-86.8336111,21.1611111,,False,4,25.27,Mammalia,Carnivora,Mustelidae,12,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57593ec5fa717d96e3e475e1641989fa,57593ec5fa717d96e3e475e1641989fa,No,NoDisponible,,,,,
32,Eira barbara,252328,-89.3127363,18.8448277,,False,4,7.37,Mammalia,Carnivora,Mustelidae,191,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5e4b2dc69dbb584ee71f9a8176318809,5e4b2dc69dbb584ee71f9a8176318809,No,NoDisponible,,,,,
30,Eira barbara,199567,-96.3371047,17.7242208,,False,4,20.31,Mammalia,Carnivora,Mustelidae,211,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f57800901f04bdeb5ecebe0246b5061,5f57800901f04bdeb5ecebe0246b5061,No,NoDisponible,,,,,
34,Eira barbara,252252,-89.4586658,18.4802708,,False,4,11.22,Mammalia,Carnivora,Mustelidae,265,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=62c27aa5f67126aac283af03a49b59fa,62c27aa5f67126aac283af03a49b59fa,No,NoDisponible,,,,,
63,Eira barbara,170666,-99.5466667,23.0333333,,True,0,-129.32,Mammalia,Carnivora,Mustelidae,1104,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=633603080591bc01e9067b231793d2ad,633603080591bc01e9067b231793d2ad,No,NoDisponible,,,,,
76,Eira barbara,226534,-92.8333333,15.5666667,,False,3,2.43,Mammalia,Carnivora,Mustelidae,571,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=65b6529f158028fc175db70ca2edae69,65b6529f158028fc175db70ca2edae69,No,NoDisponible,,,,,
69,Eira barbara,261295,-88.0080556,20.9355556,,False,4,15.44,Mammalia,Carnivora,Mustelidae,24,Terrestre,1917,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6c597e6cc0844b5f752bc17833e6f3de,6c597e6cc0844b5f752bc17833e6f3de,No,NoDisponible,,,,,
56,Eira barbara,243672,-90.7361111,18.6066667,,False,4,9.82,Mammalia,Carnivora,Mustelidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6f0114dc8469d6fd31b4d756599750d1,6f0114dc8469d6fd31b4d756599750d1,No,NoDisponible,,,,,
3,Eira barbara,269630,-86.951794,21.29683,,False,4,23.99,Mammalia,Carnivora,Mustelidae,14,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=754ad22df85b5d6ffe5cd78b87e21674,754ad22df85b5d6ffe5cd78b87e21674,No,NoDisponible,,,,,
4,Eira barbara,155916,-101.48,21.43,,True,1,-115.77,Mammalia,Carnivora,Mustelidae,2323,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d3a9972a5f1cc0282b96812e7506ee6,7d3a9972a5f1cc0282b96812e7506ee6,Si,NoDisponible,No,No,No,,
12,Eira barbara,252275,-89.3258066,18.3706027,,False,4,13.45,Mammalia,Carnivora,Mustelidae,234,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7d9dcc91d6ab5b5229eed3488ec495fe,7d9dcc91d6ab5b5229eed3488ec495fe,No,NoDisponible,,,,,
31,Eira barbara,226792,-92.7413936,17.7856755,,False,4,20.71,Mammalia,Carnivora,Mustelidae,22,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8043f7f1ede8efe9d70156b05bc841bd,8043f7f1ede8efe9d70156b05bc841bd,No,NoDisponible,,,,,
18,Eira barbara,239270,-91.0833333,16.7166667,,False,4,19.85,Mammalia,Carnivora,Mustelidae,275,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=817d60491adb9c557c2c389bf8e6c1b2,817d60491adb9c557c2c389bf8e6c1b2,No,NoDisponible,,,,,
48,Eira barbara,208951,-95.0249,17.43202,,False,4,20.37,Mammalia,Carnivora,Mustelidae,23,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=879f511309231d1f804bacf609f1d18b,879f511309231d1f804bacf609f1d18b,No,NoDisponible,,,,,
50,Eira barbara,208797,-95.2389,16.3244,,False,3,1.32,Mammalia,Carnivora,Mustelidae,41,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=88a219a3de4dad06304a5ea6cbe1c519,88a219a3de4dad06304a5ea6cbe1c519,No,NoDisponible,,,,,
66,Eira barbara,261300,-88.1486111,21.1427778,,False,4,18.02,Mammalia,Carnivora,Mustelidae,21,Terrestre,1879,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8a2ae279e133809fd14f7685cd0750a6,8a2ae279e133809fd14f7685cd0750a6,No,NoDisponible,,,,,
11,Eira barbara,218007,-94.2,16.35,,False,4,13.55,Mammalia,Carnivora,Mustelidae,39,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8da66c1d972529e5ef25fb9373ae222b,8da66c1d972529e5ef25fb9373ae222b,No,NoDisponible,,,,,
61,Eira barbara,248123,-89.7305556,19.4583333,,False,4,11.45,Mammalia,Carnivora,Mustelidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9049892a0db3dc8488d24125faf88065,9049892a0db3dc8488d24125faf88065,No,NoDisponible,,,,,
57,Eira barbara,243672,-90.7361111,18.6066667,,False,4,9.82,Mammalia,Carnivora,Mustelidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=92bf9fdc88babbf5cef7cdc1123cf8ae,92bf9fdc88babbf5cef7cdc1123cf8ae,No,NoDisponible,,,,,
52,Eira barbara,175500,-99.2291667,23.0452778,,False,3,-16.35,Mammalia,Carnivora,Mustelidae,1326,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=938d2eaf7da25706d43b6e40824f9974,938d2eaf7da25706d43b6e40824f9974,No,NoDisponible,,,,,
25,Eira barbara,261102,-88.0741666,19.3897222,,False,4,23.38,Mammalia,Carnivora,Mustelidae,11,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=99471a84abce4d953f57a7f816a15b96,99471a84abce4d953f57a7f816a15b96,No,NoDisponible,,,,,
46,Eira barbara,247970,-89.965123,18.2118583,,False,4,14.37,Mammalia,Carnivora,Mustelidae,225,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9a8c9c8de27cd5e2586f4db5d131cb91,9a8c9c8de27cd5e2586f4db5d131cb91,No,NoDisponible,,,,,
