,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
4,Eptesicus furinalis,222405,-93.702692,16.038349,,False,3,24.56,Mammalia,Chiroptera,Vespertilionidae,31,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c273fa52eace4f9cad9fa69ab71735,00c273fa52eace4f9cad9fa69ab71735,No,NoDisponible,,,,,
137,Eptesicus furinalis,160836,-101.0527778,22.525,,True,0,-24.27,Mammalia,Chiroptera,Vespertilionidae,1762,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0343bbe53261d0d5b4be33ad63b3a4f8,0343bbe53261d0d5b4be33ad63b3a4f8,Si,NoDisponible,No,No,Si,,
118,Eptesicus furinalis,190117,-97.40306,20.95889,,False,3,11.74,Mammalia,Chiroptera,Vespertilionidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e354626fc6c317f2dc20309d7314fb,07e354626fc6c317f2dc20309d7314fb,No,NoDisponible,,,,,
139,Eptesicus furinalis,226868,-92.7766667,18.4880556,,False,3,16.46,Mammalia,Chiroptera,Vespertilionidae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=097a18bf25cd01fc5fdd4885f4d0c57c,097a18bf25cd01fc5fdd4885f4d0c57c,No,NoDisponible,,,,,
70,Eptesicus furinalis,218027,-93.75,15.950322,,False,3,16.11,Mammalia,Chiroptera,Vespertilionidae,8,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a9e1620fdb715cefb922774ab37c88f,0a9e1620fdb715cefb922774ab37c88f,No,NoDisponible,,,,,
1,Eptesicus furinalis,208974,-95.225,17.8083333,,False,3,17.48,Mammalia,Chiroptera,Vespertilionidae,50,Terrestre,1901,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b3e1afc6935d41ca559001264b819dd,0b3e1afc6935d41ca559001264b819dd,No,NoDisponible,,,,,
99,Eptesicus furinalis,252550,-89.6391667,21.0288889,,False,3,14.82,Mammalia,Chiroptera,Vespertilionidae,16,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b3f23fdfff7fd63ee6426466728dc9a,0b3f23fdfff7fd63ee6426466728dc9a,No,NoDisponible,,,,,
140,Eptesicus furinalis,131907,-104.5619444,19.2375,,False,3,17.47,Mammalia,Chiroptera,Vespertilionidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f098dc5c9b29f5da7ef07541761b0b4,0f098dc5c9b29f5da7ef07541761b0b4,Si,NoDisponible,No,No,Si,,
82,Eptesicus furinalis,248304,-89.6913889,21.0672222,,False,3,11.88,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f7a0a5911d15c25194de64d4ca05631,0f7a0a5911d15c25194de64d4ca05631,No,NoDisponible,,,,,
65,Eptesicus furinalis,248315,-89.704719,21.0745659,,False,3,8.71,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11237653cf0fcd509145829ac4799050,11237653cf0fcd509145829ac4799050,No,NoDisponible,,,,,
35,Eptesicus furinalis,252446,-89.475,20.2583333,,False,3,10.06,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1438369df2bc968e0866eb6e8ce82d39,1438369df2bc968e0866eb6e8ce82d39,No,NoDisponible,,,,,
32,Eptesicus furinalis,230976,-92.0319444,17.4936111,,False,3,21.83,Mammalia,Chiroptera,Vespertilionidae,53,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1578508b92040bd5759dd01be8cc4f76,1578508b92040bd5759dd01be8cc4f76,No,NoDisponible,,,,,
112,Eptesicus furinalis,209080,-95.0716667,18.6180556,,False,3,19.54,Mammalia,Chiroptera,Vespertilionidae,15,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15a0f8f52871d930fe33d01effd5b34b,15a0f8f52871d930fe33d01effd5b34b,Si,NoDisponible,No,Si,Si,,
52,Eptesicus furinalis,256895,-88.5886111,20.6980556,,False,3,13.49,Mammalia,Chiroptera,Vespertilionidae,53,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1855205ae86c0b6d16c840740dce55ef,1855205ae86c0b6d16c840740dce55ef,No,NoDisponible,,,,,
147,Eptesicus furinalis,222575,-93.1527778,17.17,,False,3,14.32,Mammalia,Chiroptera,Vespertilionidae,1795,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19a89fa490f008e6d64aea9e03d14900,19a89fa490f008e6d64aea9e03d14900,No,NoDisponible,,,,,
17,Eptesicus furinalis,222402,-93.6583333,16.0088889,,False,3,17.07,Mammalia,Chiroptera,Vespertilionidae,103,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a032971505d620f7aee0daed4cc26d9,1a032971505d620f7aee0daed4cc26d9,No,NoDisponible,,,,,
115,Eptesicus furinalis,256900,-89.0177778,20.9313889,,False,3,10.74,Mammalia,Chiroptera,Vespertilionidae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b4e6d594ab995e9d99c92adfc7d5ffe,1b4e6d594ab995e9d99c92adfc7d5ffe,No,NoDisponible,,,,,
113,Eptesicus furinalis,175503,-99.19194,23.09944,,True,1,-9.67,Mammalia,Chiroptera,Vespertilionidae,1169,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c7dd10841ac31d9286088284f8729fd,1c7dd10841ac31d9286088284f8729fd,No,NoDisponible,,,,,
100,Eptesicus furinalis,252550,-89.6391667,21.0288889,,False,3,14.82,Mammalia,Chiroptera,Vespertilionidae,16,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20cca5ac2a799c63781ba8b2d7d25543,20cca5ac2a799c63781ba8b2d7d25543,No,NoDisponible,,,,,
127,Eptesicus furinalis,141316,-103.3786111,19.2519444,,False,2,1.84,Mammalia,Chiroptera,Vespertilionidae,732,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21481d114a16b90c9998ccbbdfddff7f,21481d114a16b90c9998ccbbdfddff7f,No,NoDisponible,,,,,
108,Eptesicus furinalis,204428,-95.7674524,18.7461147,,False,3,18.74,Mammalia,Chiroptera,Vespertilionidae,27,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=221c08f4179e2354b93439ab618c3b82,221c08f4179e2354b93439ab618c3b82,No,NoDisponible,,,,,
36,Eptesicus furinalis,252446,-89.475,20.2583333,,False,3,10.06,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22b3aa97be0917f40b3326adc48070d2,22b3aa97be0917f40b3326adc48070d2,No,NoDisponible,,,,,
56,Eptesicus furinalis,175341,-98.9771071,21.483,,False,3,20.31,Mammalia,Chiroptera,Vespertilionidae,104,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22bbc4c1d14743cc2be910d624860dd7,22bbc4c1d14743cc2be910d624860dd7,No,NoDisponible,,,,,
12,Eptesicus furinalis,222402,-93.664388,15.984382,,False,3,17.07,Mammalia,Chiroptera,Vespertilionidae,146,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23ca1d295cbcffe77717b92e328e0505,23ca1d295cbcffe77717b92e328e0505,No,NoDisponible,,,,,
50,Eptesicus furinalis,256895,-88.574,20.685,,False,3,13.49,Mammalia,Chiroptera,Vespertilionidae,37,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27717910238ae056ebc3a9813dc7cf0b,27717910238ae056ebc3a9813dc7cf0b,No,NoDisponible,,,,,
