,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
17,Eptesicus fuscus,78394,-111.05679,27.93996,,False,0,-1.79,Mammalia,Chiroptera,Vespertilionidae,23,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e4519a6d4285d84ee1bf67814aadc8,00e4519a6d4285d84ee1bf67814aadc8,Si,NoDisponible,No,Si,Si,,
237,Eptesicus fuscus,55821,-114.2000027,29.2688888,,False,0,1.89,Mammalia,Chiroptera,Vespertilionidae,549,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ef205586c9ca218be7bdddbdb0adfb,01ef205586c9ca218be7bdddbdb0adfb,No,NoDisponible,,,,,
42,Eptesicus fuscus,42271,-115.8647222,32.0191667,,False,1,11.79,Mammalia,Chiroptera,Vespertilionidae,1636,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03a58084d277e92eca534d8253027765,03a58084d277e92eca534d8253027765,No,NoDisponible,,,,,
319,Eptesicus fuscus,114722,-106.6411607,29.69514,,False,0,-2.02,Mammalia,Chiroptera,Vespertilionidae,1537,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04449d00b064440aaac65d0ed642e102,04449d00b064440aaac65d0ed642e102,No,NoDisponible,,,,,
569,Eptesicus fuscus,175464,-99.0369444,22.6625,,False,0,1.46,Mammalia,Chiroptera,Vespertilionidae,116,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04a4951266cc193da611d45360379285,04a4951266cc193da611d45360379285,No,NoDisponible,,,,,
476,Eptesicus fuscus,123064,-105.37,23.4083333,,False,1,17.83,Mammalia,Chiroptera,Vespertilionidae,2506,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04acac846ff85cbd22c18c22f8c6f6b8,04acac846ff85cbd22c18c22f8c6f6b8,No,NoDisponible,,,,,
238,Eptesicus fuscus,55821,-114.2000027,29.2688888,,False,0,1.89,Mammalia,Chiroptera,Vespertilionidae,549,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=053171e03cb39aa3d26ce7b13f69cace,053171e03cb39aa3d26ce7b13f69cace,No,NoDisponible,,,,,
269,Eptesicus fuscus,114267,-106.7072222,26.3522222,,False,1,11.98,Mammalia,Chiroptera,Vespertilionidae,2421,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=059b778a570e8351516e052d13161fb8,059b778a570e8351516e052d13161fb8,No,NoDisponible,,,,,
378,Eptesicus fuscus,42125,-115.9316253,30.7741164,,False,0,5.92,Mammalia,Chiroptera,Vespertilionidae,112,Terrestre,1925,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05bc3199c594dce7ab45ce23dc18204d,05bc3199c594dce7ab45ce23dc18204d,No,NoDisponible,,,,,
486,Eptesicus fuscus,114653,-106.783459,29.556089,,False,1,12.88,Mammalia,Chiroptera,Vespertilionidae,2699,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06c70f9934e20ac8db4ace5dfebf977d,06c70f9934e20ac8db4ace5dfebf977d,No,NoDisponible,,,,,
105,Eptesicus fuscus,42172,-115.5966667,30.9805556,,False,1,16.97,Mammalia,Chiroptera,Vespertilionidae,2058,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06ec0145e8961e8bbb09e12fa471c9df,06ec0145e8961e8bbb09e12fa471c9df,No,NoDisponible,,,,,
15,Eptesicus fuscus,78394,-111.05,27.933333,,False,0,-1.79,Mammalia,Chiroptera,Vespertilionidae,,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f5ba558c8996adb59f6f7cded750b7,06f5ba558c8996adb59f6f7cded750b7,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental
142,Eptesicus fuscus,42270,-115.9213333,32.0436944,,False,1,11.56,Mammalia,Chiroptera,Vespertilionidae,1627,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=087f7f7ff7408c0343e2e2ca1d92b309,087f7f7ff7408c0343e2e2ca1d92b309,No,NoDisponible,,,,,
308,Eptesicus fuscus,136718,-103.85,20.5,,False,0,3.95,Mammalia,Chiroptera,Vespertilionidae,1265,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08b3ef3edb41bb8714346a157f6d04e4,08b3ef3edb41bb8714346a157f6d04e4,No,NoDisponible,,,,,
553,Eptesicus fuscus,142202,-103.0083333,26.4494444,,False,0,-2.37,Mammalia,Chiroptera,Vespertilionidae,1195,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08c49957f78eef095f46e32f6d5eee0e,08c49957f78eef095f46e32f6d5eee0e,No,NoDisponible,,,,,
514,Eptesicus fuscus,175564,-99.2236111,23.5888889,,False,1,9.06,Mammalia,Chiroptera,Vespertilionidae,862,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08dc6b1820fd6aca3d213ca4276909ea,08dc6b1820fd6aca3d213ca4276909ea,No,NoDisponible,,,,,
