,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
0,Eumops nanus,204451,-95.6416667,18.6583333,,False,1,5.78,Mammalia,Chiroptera,Molossidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ced23ee5b4db56ba82bba2139f119f,00ced23ee5b4db56ba82bba2139f119f,No,NoDisponible,NoDisponible,,Si,,
5,Eumops nanus,252549,-89.621376,20.9681778,,False,3,28.34,Mammalia,Chiroptera,Molossidae,12,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=156ab1b8693f8344d5b7e8d504d1183b,156ab1b8693f8344d5b7e8d504d1183b,No,NoDisponible,NoDisponible,,Si,,
3,Eumops nanus,252557,-89.4958333,20.9666667,,False,3,22.9,Mammalia,Chiroptera,Molossidae,12,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15b1870ca7480b187f54fe54567422c3,15b1870ca7480b187f54fe54567422c3,No,NoDisponible,NoDisponible,,Si,,
25,Eumops nanus,204408,-95.6116666,18.6311111,,False,2,13.49,Mammalia,Chiroptera,Molossidae,12,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1640bc1fb7fd705b87190513d1e5dc2e,1640bc1fb7fd705b87190513d1e5dc2e,No,NoDisponible,NoDisponible,,Si,,
22,Eumops nanus,248304,-89.6955556,21.0658333,,False,3,25.03,Mammalia,Chiroptera,Molossidae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=184941ab4909f938af2f2d0ce2bbafea,184941ab4909f938af2f2d0ce2bbafea,No,NoDisponible,NoDisponible,,Si,,
6,Eumops nanus,252549,-89.621376,20.9681778,,False,3,28.34,Mammalia,Chiroptera,Molossidae,12,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a40892585fed474ada0d53f0378fdcf,2a40892585fed474ada0d53f0378fdcf,No,NoDisponible,NoDisponible,,Si,,
28,Eumops nanus,252550,-89.62,21.02,,False,3,28.56,Mammalia,Chiroptera,Molossidae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d066ed4bda17545e8b18d1586445216,2d066ed4bda17545e8b18d1586445216,No,NoDisponible,NoDisponible,,Si,,
20,Eumops nanus,248304,-89.695833,21.0641667,,False,3,25.03,Mammalia,Chiroptera,Molossidae,43,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=34e31d9564fb05c09c202eab6b189f0b,34e31d9564fb05c09c202eab6b189f0b,No,NoDisponible,NoDisponible,,Si,,
1,Eumops nanus,226512,-92.8922222,15.5769444,,False,1,6.53,Mammalia,Chiroptera,Molossidae,648,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4257598e2685788ccb855f3a1941b07e,4257598e2685788ccb855f3a1941b07e,No,NoDisponible,NoDisponible,,Si,,
7,Eumops nanus,252549,-89.621376,20.9681778,,False,3,28.34,Mammalia,Chiroptera,Molossidae,12,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=510a690fda679a682a89f6ad995f3b01,510a690fda679a682a89f6ad995f3b01,No,NoDisponible,NoDisponible,,Si,,
2,Eumops nanus,226512,-92.8927778,15.5683333,,False,1,6.53,Mammalia,Chiroptera,Molossidae,430,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=538c664758ef0e6e2ced617061072e22,538c664758ef0e6e2ced617061072e22,No,NoDisponible,NoDisponible,,Si,,
8,Eumops nanus,252549,-89.621376,20.9681778,,False,3,28.34,Mammalia,Chiroptera,Molossidae,12,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54607ec8c4acd94d5aca38c9fe6c7ea0,54607ec8c4acd94d5aca38c9fe6c7ea0,No,NoDisponible,NoDisponible,,Si,,
9,Eumops nanus,252549,-89.621376,20.9681778,,False,3,28.34,Mammalia,Chiroptera,Molossidae,12,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=767783b249cd66356a731bc025ac4818,767783b249cd66356a731bc025ac4818,No,NoDisponible,NoDisponible,,Si,,
21,Eumops nanus,248304,-89.695549,21.0645657,,False,3,25.03,Mammalia,Chiroptera,Molossidae,40,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7972b69e9cb9df592df5de7c7007138c,7972b69e9cb9df592df5de7c7007138c,No,NoDisponible,NoDisponible,,Si,,
