,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
1,Felis silvestris,46438,-115.2252777,28.3472222,,True,2,-8.49,Mammalia,Carnivora,Felidae,419,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=062be4a21214a360694e02e580ef9e79,062be4a21214a360694e02e580ef9e79,No,NoDisponible,NoDisponible,,,,
29,Felis silvestris,175056,-99.20422,19.40831,,True,3,-0.3,Mammalia,Carnivora,Felidae,2320,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10edb9dacef5f0505528d5391fd5a910,10edb9dacef5f0505528d5391fd5a910,No,NoDisponible,NoDisponible,,,,
24,Felis silvestris,175124,-99.3359338,20.0672858,,True,2,-5.31,Mammalia,Carnivora,Felidae,2082,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14de48a26f6ca009d780edb5e28c76be,14de48a26f6ca009d780edb5e28c76be,No,NoDisponible,NoDisponible,,,,
25,Felis silvestris,166168,-100.507425,26.5418333,,True,1,-16.04,Mammalia,Carnivora,Felidae,459,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cbf44e26cfc165ba369d009519cd520,1cbf44e26cfc165ba369d009519cd520,No,NoDisponible,NoDisponible,,,,
15,Felis silvestris,131871,-104.3514863,19.1054983,,True,3,-3.81,Mammalia,Carnivora,Felidae,,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cd18d799840dd4eaffa882d32ef6ff1,1cd18d799840dd4eaffa882d32ef6ff1,No,NoDisponible,NoDisponible,,,,
35,Felis silvestris,175003,-99.189453,18.954338,,True,1,-9.77,Mammalia,Carnivora,Felidae,1594,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e2ea2ae05dfe41e48c86bfc7bc317cd,1e2ea2ae05dfe41e48c86bfc7bc317cd,No,NoDisponible,NoDisponible,,,,
30,Felis silvestris,113914,-106.4429999,23.2989999,,True,2,-7.43,Mammalia,Carnivora,Felidae,29,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=351338af73d24c6c5bbf6f452d2aa7ec,351338af73d24c6c5bbf6f452d2aa7ec,No,NoDisponible,NoDisponible,,,,
6,Felis silvestris,175404,-98.9219438,21.9747216,,True,1,-11.6,Mammalia,Carnivora,Felidae,166,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=443225229862d2f5319aed1118c7c2ac,443225229862d2f5319aed1118c7c2ac,No,NoDisponible,NoDisponible,,,,
28,Felis silvestris,175065,-99.26535,19.4857049,,True,3,-0.31,Mammalia,Carnivora,Felidae,2362,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=47575d80f563e2d001dde4e4a9050026,47575d80f563e2d001dde4e4a9050026,No,NoDisponible,NoDisponible,,,,
31,Felis silvestris,166116,-100.2406177,25.6611694,,True,0,-21.19,Mammalia,Carnivora,Felidae,527,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a2662e48e8af80c46fa3cc2d2800423,4a2662e48e8af80c46fa3cc2d2800423,No,NoDisponible,NoDisponible,,,,
14,Felis silvestris,175052,-99.1922408,19.2931519,,True,3,-2.44,Mammalia,Carnivora,Felidae,2329,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=52684634d3617373e9eac8077e9473b4,52684634d3617373e9eac8077e9473b4,No,NoDisponible,NoDisponible,,,,
34,Felis silvestris,260959,-88.2633338,18.5445988,,True,2,-8.52,Mammalia,Carnivora,Felidae,20,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=60a3de33cb4cd3bdbe028965c28754be,60a3de33cb4cd3bdbe028965c28754be,No,NoDisponible,NoDisponible,,,,
32,Felis silvestris,166116,-100.2333461,25.6773661,,True,0,-21.19,Mammalia,Carnivora,Felidae,478,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=655edabf8c2d41e3fb7dcc438a8de046,655edabf8c2d41e3fb7dcc438a8de046,No,NoDisponible,NoDisponible,,,,
4,Felis silvestris,46434,-115.25,28.2,,True,2,-8.56,Mammalia,Carnivora,Felidae,96,Terrestre,1925,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7cd8ac76f85275330252644a51de6421,7cd8ac76f85275330252644a51de6421,No,NoDisponible,NoDisponible,,,,
33,Felis silvestris,141460,-103.3602822,20.6541727,,True,2,-8.12,Mammalia,Carnivora,Felidae,1560,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f4a0f4385b49b358818e7e2948d5d6e,7f4a0f4385b49b358818e7e2948d5d6e,No,NoDisponible,NoDisponible,,,,
13,Felis silvestris,165487,-100.0934377,20.4079819,,True,2,-7.58,Mammalia,Carnivora,Felidae,1939,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8c0df561ab266314ee0a9b0be0db6153,8c0df561ab266314ee0a9b0be0db6153,No,NoDisponible,NoDisponible,,,,
