,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
37,Galictis vittata,230693,-92.250141,14.982357,,False,3,22.77,Mammalia,Carnivora,Mustelidae,304,Terrestre,1917,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023996ad7c878743309e7b01771595c4,023996ad7c878743309e7b01771595c4,No,NoDisponible,,,,,
3,Galictis vittata,194854,-96.8250471,18.877,,False,3,22.57,Mammalia,Carnivora,Mustelidae,566,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=080e6cbd3f8ba628f3e91717d5cf9cdd,080e6cbd3f8ba628f3e91717d5cf9cdd,No,NoDisponible,,,,,
7,Galictis vittata,175337,-98.9901071,21.386,,False,3,23.41,Mammalia,Carnivora,Mustelidae,673,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a385e6241afa6c945c20d0228a3fc78,0a385e6241afa6c945c20d0228a3fc78,No,NoDisponible,,,,,
5,Galictis vittata,194854,-96.8405556,18.8766667,,False,3,22.57,Mammalia,Carnivora,Mustelidae,605,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0aa0088e87333ee52cc621e851a330cf,0aa0088e87333ee52cc621e851a330cf,No,NoDisponible,,,,,
1,Galictis vittata,185028,-98.2266667,20.3355556,,False,2,13.68,Mammalia,Carnivora,Mustelidae,1670,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=103f0ac498bbfaebeb28b49df95b161e,103f0ac498bbfaebeb28b49df95b161e,No,NoDisponible,,,,,
4,Galictis vittata,194854,-96.8416667,18.8783333,,False,3,22.57,Mammalia,Carnivora,Mustelidae,606,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1202091c0375ec29809a71e34f5ed583,1202091c0375ec29809a71e34f5ed583,No,NoDisponible,,,,,
13,Galictis vittata,222520,-93.3495599,16.9440144,,False,4,25.98,Mammalia,Carnivora,Mustelidae,511,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1602bbfa9df7c86bc69858f8d68ee055,1602bbfa9df7c86bc69858f8d68ee055,No,NoDisponible,,,,,
9,Galictis vittata,175337,-99.0069444,21.3861111,,False,3,23.41,Mammalia,Carnivora,Mustelidae,860,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21a01ad72c1b01007d9fb72afb234802,21a01ad72c1b01007d9fb72afb234802,No,NoDisponible,,,,,
29,Galictis vittata,208951,-95.0244444,17.4327778,,False,3,21.44,Mammalia,Carnivora,Mustelidae,19,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26a84c11381e01360fcab1909161f75e,26a84c11381e01360fcab1909161f75e,No,NoDisponible,,,,,
32,Galictis vittata,256932,-88.7513889,20.9025,,False,3,19.99,Mammalia,Carnivora,Mustelidae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2af6bea9ef5fb02a75476de7709a1d88,2af6bea9ef5fb02a75476de7709a1d88,No,NoDisponible,,,,,
