,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
2,Glossophaga commissarisi,226512,-92.914498,15.593124,,False,5,30.27,Mammalia,Chiroptera,Phyllostomidae,363,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0005007d933ad03ef76d49847dc30be2,0005007d933ad03ef76d49847dc30be2,No,NoDisponible,,,,,
688,Glossophaga commissarisi,226539,-92.58,15.3997222,,False,5,33.35,Mammalia,Chiroptera,Phyllostomidae,425,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e83d4a370eee204bdb75b781bcdae4,00e83d4a370eee204bdb75b781bcdae4,No,NoDisponible,,,,,
619,Glossophaga commissarisi,127526,-104.9186111,21.5394444,,False,4,10.91,Mammalia,Chiroptera,Phyllostomidae,1005,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f10dd71d92a283ed275a0fa0512964,00f10dd71d92a283ed275a0fa0512964,No,NoDisponible,,,,,
191,Glossophaga commissarisi,122862,-105.2852777,21.5394444,,False,4,13.73,Mammalia,Chiroptera,Phyllostomidae,15,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0118d9673a3509a5c45677808eb256e3,0118d9673a3509a5c45677808eb256e3,No,NoDisponible,,,,,
415,Glossophaga commissarisi,226489,-92.6647222,15.1141667,,False,5,20.01,Mammalia,Chiroptera,Phyllostomidae,7,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=019f5adddc669eeb261e952d43b2bca6,019f5adddc669eeb261e952d43b2bca6,No,NoDisponible,,,,,
557,Glossophaga commissarisi,127489,-105.1963889,21.3655556,,False,5,20.48,Mammalia,Chiroptera,Phyllostomidae,58,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0214c580a5e9ba72983fdea125c3d47d,0214c580a5e9ba72983fdea125c3d47d,No,NoDisponible,,,,,
392,Glossophaga commissarisi,235086,-91.8383333,16.6888889,,False,4,17.47,Mammalia,Chiroptera,Phyllostomidae,1219,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=021c1e202f83dd4a3f7705e9d2877d38,021c1e202f83dd4a3f7705e9d2877d38,No,NoDisponible,,,,,
6,Glossophaga commissarisi,136583,-103.93417,19.31528,,False,4,10.28,Mammalia,Chiroptera,Phyllostomidae,537,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0227ad2a37b3d8d697a3ffc00828fc3a,0227ad2a37b3d8d697a3ffc00828fc3a,No,NoDisponible,,,,,
535,Glossophaga commissarisi,226498,-93.125,15.4416667,,False,5,22.07,Mammalia,Chiroptera,Phyllostomidae,7,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02b20c27e3fc1bb0325b5dc0302fb837,02b20c27e3fc1bb0325b5dc0302fb837,Si,NoDisponible,No,Si,Si,,
67,Glossophaga commissarisi,222402,-93.6833333,16.0219444,,False,5,21.11,Mammalia,Chiroptera,Phyllostomidae,55,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03bcb40b29d0684b23cb49d6eb7cdcd5,03bcb40b29d0684b23cb49d6eb7cdcd5,No,NoDisponible,,,,,
452,Glossophaga commissarisi,239214,-90.9333333,16.1166667,,False,5,24.98,Mammalia,Chiroptera,Phyllostomidae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04e513d1dd2ddb6bfccc5e97ad8c7df3,04e513d1dd2ddb6bfccc5e97ad8c7df3,No,NoDisponible,,,,,
174,Glossophaga commissarisi,184631,-97.929234,16.9233333,,False,5,26.11,Mammalia,Chiroptera,Phyllostomidae,649,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=053a0fd49717e95f1db19744c5d5c4fa,053a0fd49717e95f1db19744c5d5c4fa,No,NoDisponible,,,,,
382,Glossophaga commissarisi,239236,-91.3027778,16.5319444,,False,5,24.17,Mammalia,Chiroptera,Phyllostomidae,614,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0566bb57dc078631ff22d0ff9f1a1681,0566bb57dc078631ff22d0ff9f1a1681,No,NoDisponible,,,,,
390,Glossophaga commissarisi,131930,-104.4855556,19.55,,False,5,23.2,Mammalia,Chiroptera,Phyllostomidae,312,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=056caa91ff31111eb40e5f8b766a2731,056caa91ff31111eb40e5f8b766a2731,No,NoDisponible,,,,,
453,Glossophaga commissarisi,239214,-90.9333333,16.1166667,,False,5,24.98,Mammalia,Chiroptera,Phyllostomidae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05b633958b8ad28a574f4679e4376654,05b633958b8ad28a574f4679e4376654,No,NoDisponible,,,,,
192,Glossophaga commissarisi,122862,-105.2852777,21.5394444,,False,4,13.73,Mammalia,Chiroptera,Phyllostomidae,15,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05b6d481106a9e45e1a8e43a213d84e8,05b6d481106a9e45e1a8e43a213d84e8,No,NoDisponible,,,,,
53,Glossophaga commissarisi,226708,-93.0127778,17.3686111,,False,5,26.33,Mammalia,Chiroptera,Phyllostomidae,268,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063f5b28057abac48ff15b84c8273c39,063f5b28057abac48ff15b84c8273c39,No,NoDisponible,,,,,
543,Glossophaga commissarisi,218031,-93.755,16.0863889,,False,5,21.11,Mammalia,Chiroptera,Phyllostomidae,45,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06534de314e6178c1d5035ff3cb28adb,06534de314e6178c1d5035ff3cb28adb,No,NoDisponible,,,,,
643,Glossophaga commissarisi,222486,-93.6711111,16.9588889,,False,5,20.15,Mammalia,Chiroptera,Phyllostomidae,853,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=065857ff6a7351bd34d7e0ee9eb91e7c,065857ff6a7351bd34d7e0ee9eb91e7c,No,NoDisponible,,,,,
193,Glossophaga commissarisi,122862,-105.2852777,21.5394444,,False,4,13.73,Mammalia,Chiroptera,Phyllostomidae,15,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06bdcd91b4d39099250cddb75d5e3f70,06bdcd91b4d39099250cddb75d5e3f70,No,NoDisponible,,,,,
432,Glossophaga commissarisi,179673,-98.7286111,16.7491667,,False,5,32.98,Mammalia,Chiroptera,Phyllostomidae,293,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f1d50ece59625b61a53db922b8608d,06f1d50ece59625b61a53db922b8608d,No,NoDisponible,,,,,
298,Glossophaga commissarisi,230765,-92.1166666,15.5166666,,False,4,11.41,Mammalia,Chiroptera,Phyllostomidae,793,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f91333272495127ac05aa01d7d5576,06f91333272495127ac05aa01d7d5576,No,NoDisponible,,,,,
183,Glossophaga commissarisi,218006,-94.2513888,16.4183333,,False,5,31.48,Mammalia,Chiroptera,Phyllostomidae,126,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071b538cbf18c6c823457b6ea9e5d0aa,071b538cbf18c6c823457b6ea9e5d0aa,No,NoDisponible,,,,,
544,Glossophaga commissarisi,218031,-93.755,16.0863889,,False,5,21.11,Mammalia,Chiroptera,Phyllostomidae,45,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=076f5b2b547bd755b8cd045a16e0ad2d,076f5b2b547bd755b8cd045a16e0ad2d,No,NoDisponible,,,,,
605,Glossophaga commissarisi,131926,-104.60194,19.71889,,False,4,14.41,Mammalia,Chiroptera,Phyllostomidae,451,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=079474fdd7243520ebbf27092d5eb036,079474fdd7243520ebbf27092d5eb036,No,NoDisponible,,,,,
678,Glossophaga commissarisi,222406,-93.6552778,16.1252778,,False,5,35.88,Mammalia,Chiroptera,Phyllostomidae,592,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07aecbfb5f5593ea080a5e7c2e0b822c,07aecbfb5f5593ea080a5e7c2e0b822c,No,NoDisponible,,,,,
454,Glossophaga commissarisi,239214,-90.9333333,16.1166667,,False,5,24.98,Mammalia,Chiroptera,Phyllostomidae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0815e2ad7dfd75d8872529cb617e4522,0815e2ad7dfd75d8872529cb617e4522,No,NoDisponible,,,,,
