,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
279,Glossophaga leachii,226511,-92.8919444,15.5316667,,False,4,28.87,Mammalia,Chiroptera,Phyllostomidae,276,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=002a61d5f5dc3d6595e5beaa276a65cd,002a61d5f5dc3d6595e5beaa276a65cd,No,NoDisponible,,,,,,,
718,Glossophaga leachii,208883,-95.041664,16.7333336,,False,4,11.5,Mammalia,Chiroptera,Phyllostomidae,224,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003a8d99aa38ddf4fbf64280b36da44a,003a8d99aa38ddf4fbf64280b36da44a,No,NoDisponible,,,,,,,
249,Glossophaga leachii,208871,-95.0194444,16.6141667,,False,4,14.75,Mammalia,Chiroptera,Phyllostomidae,73,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0080c45c6985062ac60741ae2083d02f,0080c45c6985062ac60741ae2083d02f,No,NoDisponible,,,,,,,
1212,Glossophaga leachii,234966,-91.9475,15.8619444,,False,4,15.08,Mammalia,Chiroptera,Phyllostomidae,644,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a469783414a148fe9baac182e1b8b3,00a469783414a148fe9baac182e1b8b3,No,NoDisponible,,,,,,,
506,Glossophaga leachii,256895,-88.5748545,20.6802778,,False,4,7.91,Mammalia,Chiroptera,Phyllostomidae,34,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012bf9ef1e2f52b3427f9efe261011b4,012bf9ef1e2f52b3427f9efe261011b4,Si,NoDisponible,No,No,No,,,,
267,Glossophaga leachii,222524,-93.1436111,16.8363889,,False,4,10.92,Mammalia,Chiroptera,Phyllostomidae,1231,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0138984b14ce9fb4b8c689eedf7d2dfe,0138984b14ce9fb4b8c689eedf7d2dfe,No,NoDisponible,,,,,,,
1238,Glossophaga leachii,222419,-93.5905556,16.21,,False,4,17.6,Mammalia,Chiroptera,Phyllostomidae,1429,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01583ba80634cde84f2d103005434ab0,01583ba80634cde84f2d103005434ab0,No,NoDisponible,,,,,,,
109,Glossophaga leachii,208997,-95.1325,17.7358333,,False,4,12.07,Mammalia,Chiroptera,Phyllostomidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0177513a4d2e6d80211abd3b4a2c4f78,0177513a4d2e6d80211abd3b4a2c4f78,No,NoDisponible,,,,,,,
198,Glossophaga leachii,208997,-95.1322222,17.7341667,,False,4,12.07,Mammalia,Chiroptera,Phyllostomidae,39,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ec497f722e8e37c96537c080d57352,01ec497f722e8e37c96537c080d57352,No,NoDisponible,,,,,,,
600,Glossophaga leachii,118427,-106.1160111,23.25361,,False,4,9.42,Mammalia,Chiroptera,Phyllostomidae,118,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01f6db9a0723d94dedbd0c0ad9538289,01f6db9a0723d94dedbd0c0ad9538289,Si,NoDisponible,No,No,Si,,,,
1064,Glossophaga leachii,243783,-90.7205556,19.3547222,,False,4,8.62,Mammalia,Chiroptera,Phyllostomidae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02048052d7afc0927b4f4dedf7cb54d2,02048052d7afc0927b4f4dedf7cb54d2,Si,NoDisponible,No,No,Si,,,,
294,Glossophaga leachii,174989,-99.2977778,18.7891667,,False,4,15.45,Mammalia,Chiroptera,Phyllostomidae,1171,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0211a83f1980a4089c6ac878a7210a7a,0211a83f1980a4089c6ac878a7210a7a,No,NoDisponible,,,,,,,
19,Glossophaga leachii,194841,-97.0083333,18.9416667,,False,4,11.94,Mammalia,Chiroptera,Phyllostomidae,1169,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0212493bc7fc05f9817f12745f1cd9cb,0212493bc7fc05f9817f12745f1cd9cb,No,NoDisponible,,,,,,,
110,Glossophaga leachii,208997,-95.1325,17.7358333,,False,4,12.07,Mammalia,Chiroptera,Phyllostomidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=022498b0d449c11ef3f0114dbee20ca5,022498b0d449c11ef3f0114dbee20ca5,No,NoDisponible,,,,,,,
599,Glossophaga leachii,199440,-96.3083611,16.6694444,,False,4,7.14,Mammalia,Chiroptera,Phyllostomidae,963,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0238333a842a4f27f410da9029945194,0238333a842a4f27f410da9029945194,No,NoDisponible,,,,,,,
300,Glossophaga leachii,169923,-99.9341667,17.0380556,,False,4,32.49,Mammalia,Chiroptera,Phyllostomidae,531,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=024cbc237ac4eec9f3a4b83e9f087181,024cbc237ac4eec9f3a4b83e9f087181,No,NoDisponible,,,,,,,
250,Glossophaga leachii,208871,-95.0194444,16.6141667,,False,4,14.75,Mammalia,Chiroptera,Phyllostomidae,73,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=025c18df2e4fb2ed89254048f5522a5d,025c18df2e4fb2ed89254048f5522a5d,No,NoDisponible,,,,,,,
111,Glossophaga leachii,208997,-95.1325,17.7358333,,False,4,12.07,Mammalia,Chiroptera,Phyllostomidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02830032b6231c10fa6cab2c14bdd18e,02830032b6231c10fa6cab2c14bdd18e,No,NoDisponible,,,,,,,
1099,Glossophaga leachii,252545,-89.6216667,20.8511111,,False,4,7.09,Mammalia,Chiroptera,Phyllostomidae,16,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0294cd91df65eda65b41268940ea5eff,0294cd91df65eda65b41268940ea5eff,Si,NoDisponible,No,No,No,,,,
25,Glossophaga leachii,208997,-95.1416667,17.7416667,,False,4,12.07,Mammalia,Chiroptera,Phyllostomidae,18,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=029ba261a21e5daacbdb223993b48501,029ba261a21e5daacbdb223993b48501,No,NoDisponible,,,,,,,
944,Glossophaga leachii,170056,-99.93,18.3152777,,False,4,16.94,Mammalia,Chiroptera,Phyllostomidae,1187,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=033d356d9570e359be6c68e2b9cb1482,033d356d9570e359be6c68e2b9cb1482,No,NoDisponible,,,,,,,
808,Glossophaga leachii,96376,-108.8569388,26.0192194,,False,3,-10.4,Mammalia,Chiroptera,Phyllostomidae,27,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=035030b9a4bdd18ddb04ad122d76e4c1,035030b9a4bdd18ddb04ad122d76e4c1,Si,NoDisponible,No,No,Si,,,,
112,Glossophaga leachii,208997,-95.1325,17.7358333,,False,4,12.07,Mammalia,Chiroptera,Phyllostomidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0384b96a52de27484b8204d090b86f9b,0384b96a52de27484b8204d090b86f9b,No,NoDisponible,,,,,,,
426,Glossophaga leachii,170074,-99.8881741,18.4838889,,False,4,14.29,Mammalia,Chiroptera,Phyllostomidae,1684,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03c7e91c711941ddf49bf0473d921fca,03c7e91c711941ddf49bf0473d921fca,No,NoDisponible,,,,,,,
26,Glossophaga leachii,208997,-95.1416667,17.7416667,,False,4,12.07,Mammalia,Chiroptera,Phyllostomidae,18,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03cb808fffc2210085dfbcd689a25025,03cb808fffc2210085dfbcd689a25025,No,NoDisponible,,,,,,,
427,Glossophaga leachii,170074,-99.8881741,18.4838889,,False,4,14.29,Mammalia,Chiroptera,Phyllostomidae,1684,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03d542c6ec6bf293c082719484b4677b,03d542c6ec6bf293c082719484b4677b,No,NoDisponible,,,,,,,
647,Glossophaga leachii,165072,-100.3467916,17.2477778,,False,4,30.77,Mammalia,Chiroptera,Phyllostomidae,951,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03fdbc101cd5f7e3a02e7d4fd308726c,03fdbc101cd5f7e3a02e7d4fd308726c,No,NoDisponible,,,,,,,
27,Glossophaga leachii,208997,-95.1416667,17.7416667,,False,4,12.07,Mammalia,Chiroptera,Phyllostomidae,18,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0412ca7a49aac21e5684632e41f63aad,0412ca7a49aac21e5684632e41f63aad,No,NoDisponible,,,,,,,
910,Glossophaga leachii,170073,-99.8730555,18.4058333,,False,4,13.65,Mammalia,Chiroptera,Phyllostomidae,1719,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04c88d74ff7659a016a73e8b65ea442e,04c88d74ff7659a016a73e8b65ea442e,No,NoDisponible,,,,,,,
