,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
135,Habromys ixtlani,199555,-96.5113889,17.5855556,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2832,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00dbbace93f0737eafef91326c976087,00dbbace93f0737eafef91326c976087,No,NoDisponible,Si,,Si,,,,
7,Habromys ixtlani,199511,-96.4858333,17.4338889,,False,2,44.57,Mammalia,Rodentia,Cricetidae,3025,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e4f31e513c453ee722de7cacfcd0b6,00e4f31e513c453ee722de7cacfcd0b6,No,NoDisponible,Si,,Si,,,,
0,Habromys ixtlani,199511,-96.4858333,17.4338889,,False,2,44.57,Mammalia,Rodentia,Cricetidae,3025,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0146468706bf1452a5fc15dfbbbafe1a,0146468706bf1452a5fc15dfbbbafe1a,No,NoDisponible,Si,,Si,,,,
63,Habromys ixtlani,199519,-96.3427778,17.4355556,,False,2,44.07,Mammalia,Rodentia,Cricetidae,1187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04f8b1a6d0878ef3736c4ba2660c9ac7,04f8b1a6d0878ef3736c4ba2660c9ac7,No,NoDisponible,Si,,Si,,,,
51,Habromys ixtlani,199512,-96.4916667,17.4916667,,False,2,65.89,Mammalia,Rodentia,Cricetidae,2789,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a42b5a776bcfe224f3fa3ee790a9dd4,0a42b5a776bcfe224f3fa3ee790a9dd4,No,NoDisponible,Si,,Si,,,,
8,Habromys ixtlani,199511,-96.4858333,17.4338889,,False,2,44.57,Mammalia,Rodentia,Cricetidae,3025,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ac36d8f30058e54f8b1752230e942a7,0ac36d8f30058e54f8b1752230e942a7,No,NoDisponible,Si,,Si,,,,
181,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c2f7ebac6bb028b2d0fd00b1b4d7dde,0c2f7ebac6bb028b2d0fd00b1b4d7dde,No,NoDisponible,Si,,Si,,,,
182,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c767b9af9a3273c193afdc82543ab3c,0c767b9af9a3273c193afdc82543ab3c,No,NoDisponible,Si,,Si,,,,
113,Habromys ixtlani,199555,-96.4905555,17.5819444,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2419,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e5c0e2c6fc9426e599c5a221da8dccd,0e5c0e2c6fc9426e599c5a221da8dccd,No,NoDisponible,Si,,Si,,,,
114,Habromys ixtlani,199555,-96.4905555,17.5819444,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2419,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e9aaab74e3b54e8ffb43a0e1faebd02,0e9aaab74e3b54e8ffb43a0e1faebd02,No,NoDisponible,Si,,Si,,,,
94,Habromys ixtlani,199496,-96.4991667,17.2080556,,True,1,-10.97,Mammalia,Rodentia,Cricetidae,2484,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16ffa1673e6371709c355c4f42c95b43,16ffa1673e6371709c355c4f42c95b43,No,NoDisponible,Si,,Si,,,,
136,Habromys ixtlani,199555,-96.5113889,17.5855556,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2832,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18fc385b829e534450c8677dee2377d4,18fc385b829e534450c8677dee2377d4,No,NoDisponible,Si,,Si,,,,
48,Habromys ixtlani,199512,-96.4877778,17.4877778,,False,2,65.89,Mammalia,Rodentia,Cricetidae,2651,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a4c140eb3aa87cdeff2ebdd68e474ff,1a4c140eb3aa87cdeff2ebdd68e474ff,No,NoDisponible,Si,,Si,,,,
160,Habromys ixtlani,199516,-96.341701,17.37352,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1518,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1adfbc5e8d617935019f1471e500e826,1adfbc5e8d617935019f1471e500e826,No,NoDisponible,Si,,Si,,,,
20,Habromys ixtlani,199511,-96.503646,17.4463889,,False,2,44.57,Mammalia,Rodentia,Cricetidae,2853,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e5aaad0eabb154029a5702d0e98b548,1e5aaad0eabb154029a5702d0e98b548,No,NoDisponible,Si,,Si,,,,
183,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23ad83f4b2cd3077cf8679b638d37263,23ad83f4b2cd3077cf8679b638d37263,No,NoDisponible,Si,,Si,,,,
49,Habromys ixtlani,199512,-96.4877778,17.4877778,,False,2,65.89,Mammalia,Rodentia,Cricetidae,2651,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=240924a8bb622834451b268413eea947,240924a8bb622834451b268413eea947,No,NoDisponible,Si,,Si,,,,
184,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2470113814579967ec6ddabd188abfd0,2470113814579967ec6ddabd188abfd0,No,NoDisponible,Si,,Si,,,,
52,Habromys ixtlani,194669,-96.6666667,17.1666667,,True,0,-106.45,Mammalia,Rodentia,Cricetidae,3260,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25325f95ad486155bf3df87ef0092e40,25325f95ad486155bf3df87ef0092e40,No,NoDisponible,Si,,Si,,,,
36,Habromys ixtlani,199561,-96.3855556,17.5483333,,False,3,86.15,Mammalia,Rodentia,Cricetidae,2060,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=268d3e665d4f0c3729846a0c421e22b9,268d3e665d4f0c3729846a0c421e22b9,No,NoDisponible,Si,,Si,,,,
21,Habromys ixtlani,199511,-96.503646,17.4463889,,False,2,44.57,Mammalia,Rodentia,Cricetidae,2853,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=281bb7d4fb9933bdb24c2e614e23236e,281bb7d4fb9933bdb24c2e614e23236e,No,NoDisponible,Si,,Si,,,,
185,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28f2370c4399504f0bda84ffe3c6a4fc,28f2370c4399504f0bda84ffe3c6a4fc,No,NoDisponible,Si,,Si,,,,
15,Habromys ixtlani,199511,-96.505,17.4272222,,False,2,44.57,Mammalia,Rodentia,Cricetidae,2801,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29b2348ab7a86209acfd938a0c064498,29b2348ab7a86209acfd938a0c064498,No,NoDisponible,Si,,Si,,,,
115,Habromys ixtlani,199555,-96.4905555,17.5819444,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2419,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a7739968e6818d61e3f2e178ed87290,2a7739968e6818d61e3f2e178ed87290,No,NoDisponible,Si,,Si,,,,
179,Habromys ixtlani,199516,-96.3417009,17.35183,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1530,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b5a7268aac0a6eea90d981777d5c3f5,2b5a7268aac0a6eea90d981777d5c3f5,No,NoDisponible,Si,,Si,,,,
64,Habromys ixtlani,199519,-96.3427778,17.4355556,,False,2,44.07,Mammalia,Rodentia,Cricetidae,1187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d09b46a8ee06e726c1ec1250805e754,2d09b46a8ee06e726c1ec1250805e754,No,NoDisponible,Si,,Si,,,,
186,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e72cc002ddf6797ddb2381cfeb0e4a3,2e72cc002ddf6797ddb2381cfeb0e4a3,No,NoDisponible,Si,,Si,,,,
116,Habromys ixtlani,199555,-96.4905555,17.5819444,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2419,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30618e80bbcf4c1bda242d835f32f251,30618e80bbcf4c1bda242d835f32f251,No,NoDisponible,Si,,Si,,,,
187,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3173ee19913bf817f4b8567060586e37,3173ee19913bf817f4b8567060586e37,No,NoDisponible,Si,,Si,,,,
117,Habromys ixtlani,199555,-96.4905555,17.5819444,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2419,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=31cec6528dd6d7b6a7eaf5f0bd922948,31cec6528dd6d7b6a7eaf5f0bd922948,No,NoDisponible,Si,,Si,,,,
53,Habromys ixtlani,194669,-96.6666667,17.1666667,,True,0,-106.45,Mammalia,Rodentia,Cricetidae,3260,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3400e12af4822347bbf4708c46a0e01d,3400e12af4822347bbf4708c46a0e01d,No,NoDisponible,Si,,Si,,,,
137,Habromys ixtlani,199555,-96.5113889,17.5855556,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2832,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3422511a6b6030e73457222c3e1f881c,3422511a6b6030e73457222c3e1f881c,No,NoDisponible,Si,,Si,,,,
188,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37e871ca49eee46c67f483e1fe455dbd,37e871ca49eee46c67f483e1fe455dbd,No,NoDisponible,Si,,Si,,,,
118,Habromys ixtlani,199555,-96.4905555,17.5819444,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2419,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=381b9be2393150d4074c5697bb804eeb,381b9be2393150d4074c5697bb804eeb,No,NoDisponible,Si,,Si,,,,
189,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=393ec1bf90538765be4d544b6b8c68ab,393ec1bf90538765be4d544b6b8c68ab,No,NoDisponible,Si,,Si,,,,
9,Habromys ixtlani,199511,-96.4858333,17.4338889,,False,2,44.57,Mammalia,Rodentia,Cricetidae,3025,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a8260fb8d3597015f89374ac74e7993,3a8260fb8d3597015f89374ac74e7993,No,NoDisponible,Si,,Si,,,,
161,Habromys ixtlani,199516,-96.341701,17.37352,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1518,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d5052d029b0d807b83177c5499f3c30,3d5052d029b0d807b83177c5499f3c30,No,NoDisponible,Si,,Si,,,,
138,Habromys ixtlani,199555,-96.5113889,17.5855556,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2832,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d5d62da7659bcc42e211d5789065246,3d5d62da7659bcc42e211d5789065246,No,NoDisponible,Si,,Si,,,,
190,Habromys ixtlani,199516,-96.3417009,17.34641,,False,3,74.08,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3dfa961fcbb16d8056eccdce6e39817b,3dfa961fcbb16d8056eccdce6e39817b,No,NoDisponible,Si,,Si,,,,
1,Habromys ixtlani,199511,-96.4858333,17.4338889,,False,2,44.57,Mammalia,Rodentia,Cricetidae,3025,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f3af641600cf3b414fa3c09307da5d9,3f3af641600cf3b414fa3c09307da5d9,No,NoDisponible,Si,,Si,,,,
37,Habromys ixtlani,199561,-96.3855556,17.5483333,,False,3,86.15,Mammalia,Rodentia,Cricetidae,2060,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fd50da14c70bf3a4fdfb2c0ca54ea47,3fd50da14c70bf3a4fdfb2c0ca54ea47,No,NoDisponible,Si,,Si,,,,
139,Habromys ixtlani,199555,-96.5113889,17.5855556,,False,3,100.82,Mammalia,Rodentia,Cricetidae,2832,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4040f010ee2e0a598dfb417c33055298,4040f010ee2e0a598dfb417c33055298,No,NoDisponible,Si,,Si,,,,
2,Habromys ixtlani,199511,-96.4858333,17.4338889,,False,2,44.57,Mammalia,Rodentia,Cricetidae,3025,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4122c9fd51f4e6d70054494482ea1de8,4122c9fd51f4e6d70054494482ea1de8,No,NoDisponible,Si,,Si,,,,
54,Habromys ixtlani,194669,-96.6666667,17.1666667,,True,0,-106.45,Mammalia,Rodentia,Cricetidae,3260,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4146398ec9b69dcf2393874cf4384231,4146398ec9b69dcf2393874cf4384231,No,NoDisponible,Si,,Si,,,,
65,Habromys ixtlani,199519,-96.3427778,17.4355556,,False,2,44.07,Mammalia,Rodentia,Cricetidae,1187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43073e35508166ebabbdd0f91bde0476,43073e35508166ebabbdd0f91bde0476,No,NoDisponible,Si,,Si,,,,
206,Habromys ixtlani,199517,-96.4113429,17.47073,,False,3,98.71,Mammalia,Rodentia,Cricetidae,2457,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43968c2e7b0a785674f93500e3bacf92,43968c2e7b0a785674f93500e3bacf92,No,NoDisponible,Si,,Si,,,,
66,Habromys ixtlani,199519,-96.3427778,17.4355556,,False,2,44.07,Mammalia,Rodentia,Cricetidae,1187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=451d7dadc0df954eb766b030d8ac4d2c,451d7dadc0df954eb766b030d8ac4d2c,No,NoDisponible,Si,,Si,,,,
67,Habromys ixtlani,199519,-96.3427778,17.4355556,,False,2,44.07,Mammalia,Rodentia,Cricetidae,1187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4692e88e8a9801359f8ae6447514b03b,4692e88e8a9801359f8ae6447514b03b,No,NoDisponible,Si,,Si,,,,
