,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
219,Habromys lepturus,199517,-96.4416667,17.425,,False,4,102.24,Mammalia,Rodentia,Cricetidae,2599,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0035822ff30ad817597cda1bc3537023,0035822ff30ad817597cda1bc3537023,No,NoDisponible,,,,,,,
145,Habromys lepturus,199535,-96.0166667,17.1583333,,False,4,92.96,Mammalia,Rodentia,Cricetidae,2638,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012f3fc13ba1d0b5eb08b0d1c85fb1fc,012f3fc13ba1d0b5eb08b0d1c85fb1fc,No,NoDisponible,,,,,,,
161,Habromys lepturus,199535,-96.025,17.1416667,,False,4,92.96,Mammalia,Rodentia,Cricetidae,2699,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02550d3bba52d3435c6c9e3434fa53e2,02550d3bba52d3435c6c9e3434fa53e2,No,NoDisponible,,,,,,,
28,Habromys lepturus,199555,-96.5047574,17.5625,,False,4,105.72,Mammalia,Rodentia,Cricetidae,2931,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f664537c450a4703f08253672aa011,03f664537c450a4703f08253672aa011,No,NoDisponible,,,,,,,
80,Habromys lepturus,199511,-96.503646,17.4463889,,False,2,49.33,Mammalia,Rodentia,Cricetidae,2853,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0419237e0475170d1604563453c84758,0419237e0475170d1604563453c84758,No,NoDisponible,,,,,,,
205,Habromys lepturus,204228,-95.8916667,17.1222222,,False,3,84.51,Mammalia,Rodentia,Cricetidae,1545,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=056943d9d5f07fe619e21ece00485245,056943d9d5f07fe619e21ece00485245,No,NoDisponible,,,,,,,
220,Habromys lepturus,199517,-96.4416667,17.425,,False,4,102.24,Mammalia,Rodentia,Cricetidae,2599,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0607691befb7099902fadb7e44453ab8,0607691befb7099902fadb7e44453ab8,No,NoDisponible,,,,,,,
162,Habromys lepturus,199535,-96.025,17.1416667,,False,4,92.96,Mammalia,Rodentia,Cricetidae,2699,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06dfeb9b2aeb627e22f3e76f6df10cec,06dfeb9b2aeb627e22f3e76f6df10cec,No,NoDisponible,,,,,,,
0,Habromys lepturus,199512,-96.4747222,17.4811111,,False,3,68.8,Mammalia,Rodentia,Cricetidae,2835,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07495faabd445a1de01eca6a74742266,07495faabd445a1de01eca6a74742266,No,NoDisponible,,,,,,,
81,Habromys lepturus,199511,-96.503646,17.4463889,,False,2,49.33,Mammalia,Rodentia,Cricetidae,2853,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08212283b8710ca967d3a0e547a4f952,08212283b8710ca967d3a0e547a4f952,No,NoDisponible,,,,,,,
69,Habromys lepturus,199509,-96.5280855,17.425,,False,4,90.75,Mammalia,Rodentia,Cricetidae,2165,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d1f58cc5300ace4210dccb0f9b316a3,0d1f58cc5300ace4210dccb0f9b316a3,No,NoDisponible,,,,,,,
155,Habromys lepturus,199535,-96.025,17.1416667,,False,4,92.96,Mammalia,Rodentia,Cricetidae,2699,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0da8b19e265e50d101095a7a203af3a1,0da8b19e265e50d101095a7a203af3a1,No,NoDisponible,,,,,,,
230,Habromys lepturus,199508,-96.5091667,17.4002778,,False,3,71.48,Mammalia,Rodentia,Cricetidae,2707,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e224bb42c585b07276d0414fa66a4e7,0e224bb42c585b07276d0414fa66a4e7,No,NoDisponible,,,,,,,
29,Habromys lepturus,199555,-96.5047574,17.5625,,False,4,105.72,Mammalia,Rodentia,Cricetidae,2931,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e81869dc69441ecb7526859c84686f8,0e81869dc69441ecb7526859c84686f8,No,NoDisponible,,,,,,,
163,Habromys lepturus,199535,-96.025,17.1416667,,False,4,92.96,Mammalia,Rodentia,Cricetidae,2699,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ef5f9210efdf1358595b439329d2d25,0ef5f9210efdf1358595b439329d2d25,No,NoDisponible,,,,,,,
82,Habromys lepturus,199511,-96.503646,17.4463889,,False,2,49.33,Mammalia,Rodentia,Cricetidae,2853,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f75d983f2d5f5e139d416d37dd95afc,0f75d983f2d5f5e139d416d37dd95afc,No,NoDisponible,,,,,,,
30,Habromys lepturus,199555,-96.5047574,17.5625,,False,4,105.72,Mammalia,Rodentia,Cricetidae,2931,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=111824f28cdcad93fbece5dcd9f5e2e3,111824f28cdcad93fbece5dcd9f5e2e3,No,NoDisponible,,,,,,,
164,Habromys lepturus,199535,-96.025,17.1416667,,False,4,92.96,Mammalia,Rodentia,Cricetidae,2699,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11313ce748aed352933a8357365ce1f8,11313ce748aed352933a8357365ce1f8,No,NoDisponible,,,,,,,
1,Habromys lepturus,199512,-96.4872568,17.5058333,,False,3,68.8,Mammalia,Rodentia,Cricetidae,2516,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1161358c94abe996b08439123ff1ca7c,1161358c94abe996b08439123ff1ca7c,No,NoDisponible,,,,,,,
