,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
797,Heteromys desmarestianus,226533,-92.8033333,15.5183333,,False,2,27.91,Mammalia,Rodentia,Heteromyidae,387,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003518419a9e3bce6e8717be7daf7c5b,003518419a9e3bce6e8717be7daf7c5b,Si,NoDisponible,No,No,Si,,,,
628,Heteromys desmarestianus,235157,-91.970377,17.455415,,False,2,26.66,Mammalia,Rodentia,Heteromyidae,278,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00abd02f7ca32a98f74b33f1c4d0a6ad,00abd02f7ca32a98f74b33f1c4d0a6ad,No,NoDisponible,,,,,,,
73,Heteromys desmarestianus,209080,-95.074559,18.604023,,False,2,22.28,Mammalia,Rodentia,Heteromyidae,46,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0133cc58ef09a387d1a1b41cddcab262,0133cc58ef09a387d1a1b41cddcab262,No,NoDisponible,,,,,,,
966,Heteromys desmarestianus,226534,-92.8052778,15.5477778,,False,2,28.05,Mammalia,Rodentia,Heteromyidae,1006,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0141709df3c56df03a271e9235a9f660,0141709df3c56df03a271e9235a9f660,Si,NoDisponible,No,No,Si,,,,
113,Heteromys desmarestianus,209080,-95.0691666,18.5936111,,False,2,22.28,Mammalia,Rodentia,Heteromyidae,49,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02594732be9f31e22f845cad3160986e,02594732be9f31e22f845cad3160986e,No,NoDisponible,,,,,,,
243,Heteromys desmarestianus,199567,-96.3416667,17.7416667,,False,3,34.98,Mammalia,Rodentia,Heteromyidae,290,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02890e9cdc4fee2493807908751067ff,02890e9cdc4fee2493807908751067ff,No,NoDisponible,,,,,,,
260,Heteromys desmarestianus,199563,-96.3417016,17.59128,,False,3,47.54,Mammalia,Rodentia,Heteromyidae,1054,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02966a11daebcc28f97ab268c7d06197,02966a11daebcc28f97ab268c7d06197,No,NoDisponible,,,,,,,
770,Heteromys desmarestianus,226533,-92.8472222,15.4783333,,False,2,27.91,Mammalia,Rodentia,Heteromyidae,194,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02b285a538cebf38eb8e59134383fa60,02b285a538cebf38eb8e59134383fa60,Si,NoDisponible,No,No,Si,,,,
401,Heteromys desmarestianus,226517,-93.0744444,15.8030556,,False,3,39.64,Mammalia,Rodentia,Heteromyidae,1425,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c154f17cd1ea5e4a6fda6902673e1b,02c154f17cd1ea5e4a6fda6902673e1b,Si,NoDisponible,No,No,Si,,,,
382,Heteromys desmarestianus,226517,-93.0663889,15.8022222,,False,3,39.64,Mammalia,Rodentia,Heteromyidae,1354,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=033b37598845020145840812ee2148af,033b37598845020145840812ee2148af,Si,NoDisponible,No,No,Si,,,,
944,Heteromys desmarestianus,222413,-93.5622222,16.0541667,,False,1,18.62,Mammalia,Rodentia,Heteromyidae,1736,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0344f54b2c605f8078b8160497b345c3,0344f54b2c605f8078b8160497b345c3,No,NoDisponible,,,,,,,
171,Heteromys desmarestianus,199564,-96.3416667,17.6602778,,False,3,45.61,Mammalia,Rodentia,Heteromyidae,1009,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03581ccf8be6a7310789b6f5038f34d3,03581ccf8be6a7310789b6f5038f34d3,No,NoDisponible,,,,,,,
402,Heteromys desmarestianus,226517,-93.0744444,15.8030556,,False,3,39.64,Mammalia,Rodentia,Heteromyidae,1425,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037472b3fb197f95290441854e23c1a7,037472b3fb197f95290441854e23c1a7,Si,NoDisponible,No,No,Si,,,,
922,Heteromys desmarestianus,226524,-92.8686111,15.7136111,,False,2,22.62,Mammalia,Rodentia,Heteromyidae,1677,Terrestre,1942,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0396c7ac88c979985a076d0bf5df095d,0396c7ac88c979985a076d0bf5df095d,Si,NoDisponible,No,No,Si,,,,
318,Heteromys desmarestianus,230974,-92.0730556,17.4830556,,False,2,27.34,Mammalia,Rodentia,Heteromyidae,211,Terrestre,2005,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03ea079fd1bc95f7003a00669d02e0cb,03ea079fd1bc95f7003a00669d02e0cb,No,NoDisponible,,,,,,,
469,Heteromys desmarestianus,226517,-93.0688889,15.8022222,,False,3,39.64,Mammalia,Rodentia,Heteromyidae,1351,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0423509755583459a6589d7397f782bb,0423509755583459a6589d7397f782bb,Si,NoDisponible,No,No,Si,,,,
105,Heteromys desmarestianus,209080,-95.0713888,18.5969444,,False,2,22.28,Mammalia,Rodentia,Heteromyidae,33,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=042fa3caa0ce1d6339aed372e5aa5fc5,042fa3caa0ce1d6339aed372e5aa5fc5,No,NoDisponible,,,,,,,
541,Heteromys desmarestianus,226702,-92.9872222,17.2005556,,False,4,58.36,Mammalia,Rodentia,Heteromyidae,1699,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0451ba03520147aab27c8a8226d68d0a,0451ba03520147aab27c8a8226d68d0a,No,NoDisponible,,,,,,,
967,Heteromys desmarestianus,226534,-92.8052778,15.5477778,,False,2,28.05,Mammalia,Rodentia,Heteromyidae,1006,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04b5d94bfbf62e1efef1cd19ead23d44,04b5d94bfbf62e1efef1cd19ead23d44,Si,NoDisponible,No,No,Si,,,,
649,Heteromys desmarestianus,252326,-89.3666666,18.8833333,,False,1,6.77,Mammalia,Rodentia,Heteromyidae,235,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04e4d684be567b65071db8fc816501d6,04e4d684be567b65071db8fc816501d6,No,NoDisponible,,,,,,,
375,Heteromys desmarestianus,226519,-93.0633333,15.8163888,,False,2,29.39,Mammalia,Rodentia,Heteromyidae,1610,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0591c18deb0ab6efea757f133b2a112b,0591c18deb0ab6efea757f133b2a112b,Si,NoDisponible,No,No,Si,,,,
638,Heteromys desmarestianus,252326,-89.37,18.88,,False,1,6.77,Mammalia,Rodentia,Heteromyidae,221,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05b8f4c63c7ed5bb0e38759b1feb2921,05b8f4c63c7ed5bb0e38759b1feb2921,No,NoDisponible,,,,,,,
449,Heteromys desmarestianus,226517,-93.0719444,15.8075,,False,3,39.64,Mammalia,Rodentia,Heteromyidae,1471,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05ba487938aab766877ef3390a9d3107,05ba487938aab766877ef3390a9d3107,Si,NoDisponible,No,No,Si,,,,
6,Heteromys desmarestianus,226693,-93.1177778,17.1841667,,False,3,38.03,Mammalia,Rodentia,Heteromyidae,2155,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05d8c50b9f87b3a125d7f506553c0810,05d8c50b9f87b3a125d7f506553c0810,No,NoDisponible,,,,,,,
