,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1400,Heteromys gaumeri,247926,-89.9583333,18.0583333,,False,6,18.65,Mammalia,Rodentia,Heteromyidae,234,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0008af8c6a5139529dd75b18eeffb94e,0008af8c6a5139529dd75b18eeffb94e,No,NoDisponible,,,,,,,
835,Heteromys gaumeri,252342,-89.329989,19.1168,,False,4,9.23,Mammalia,Rodentia,Heteromyidae,170,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00366be5b0e4add27bc68f16409b73fb,00366be5b0e4add27bc68f16409b73fb,No,NoDisponible,,,,,,,
687,Heteromys gaumeri,247949,-90.0666666,18.25,,False,6,22.23,Mammalia,Rodentia,Heteromyidae,191,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00582757535e654a3cc06565b9af8053,00582757535e654a3cc06565b9af8053,No,NoDisponible,,,,,,,
784,Heteromys gaumeri,248085,-90.230754,19.597024,,False,6,19.92,Mammalia,Rodentia,Heteromyidae,29,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005c96168ea07d9144c5edb1cb1b9684,005c96168ea07d9144c5edb1cb1b9684,No,NoDisponible,,,,,,,
47,Heteromys gaumeri,256895,-88.5884659,20.7161111,,False,6,20.94,Mammalia,Rodentia,Heteromyidae,19,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006d89c10a30fcc947204a0975d1d841,006d89c10a30fcc947204a0975d1d841,No,NoDisponible,,,,,,,
23,Heteromys gaumeri,256895,-88.5866697,20.6983336,,False,6,20.94,Mammalia,Rodentia,Heteromyidae,22,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009f82b3c7238ac929f164cc31e8f2fb,009f82b3c7238ac929f164cc31e8f2fb,No,NoDisponible,,,,,,,
1059,Heteromys gaumeri,261092,-88.1325,19.26,,False,6,22.16,Mammalia,Rodentia,Heteromyidae,42,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b6abe360377ab426cb41b5c06c0700,00b6abe360377ab426cb41b5c06c0700,No,NoDisponible,,,,,,,
1336,Heteromys gaumeri,243682,-90.5420277,18.1983333,,False,6,19.07,Mammalia,Rodentia,Heteromyidae,79,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e49fb64ff2f0c67239d3b071315365,00e49fb64ff2f0c67239d3b071315365,No,NoDisponible,,,,,,,
1402,Heteromys gaumeri,247956,-90.125,18.4583333,,False,6,20.7,Mammalia,Rodentia,Heteromyidae,179,Terrestre,1911,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01512e721d0713a1f89ba401f39dbb58,01512e721d0713a1f89ba401f39dbb58,No,NoDisponible,,,,,,,
1521,Heteromys gaumeri,261288,-88.1477778,21.0647222,,False,6,20.46,Mammalia,Rodentia,Heteromyidae,16,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=018b6d3cc1216e20b05cb95cf39b701a,018b6d3cc1216e20b05cb95cf39b701a,No,NoDisponible,,,,,,,
