,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
72,Ictidomys parvidens,156366,-101.5559341,25.23161,,True,0,-30.89,Mammalia,Rodentia,Sciuridae,2464,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0257fa3aab40709ec47c33432c7ebad4,0257fa3aab40709ec47c33432c7ebad4,No,NoDisponible,,,,,,,
17,Ictidomys parvidens,151581,-102.1827003,25.46207,,False,1,-4.44,Mammalia,Rodentia,Sciuridae,1477,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05df6c69169ef6ab3eee3ca688755343,05df6c69169ef6ab3eee3ca688755343,Si,NoDisponible,No,No,Si,,,,
96,Ictidomys parvidens,175740,-98.9506757,24.8927778,,False,2,11.17,Mammalia,Rodentia,Sciuridae,236,Terrestre,1930,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=060482f28473affe7e64adcfd52daa24,060482f28473affe7e64adcfd52daa24,No,NoDisponible,,,,,,,
144,Ictidomys parvidens,166103,-100.5275,26,,False,1,-7.7,Mammalia,Rodentia,Sciuridae,596,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08e7c84360dba63e3466ce79ba58c53f,08e7c84360dba63e3466ce79ba58c53f,No,NoDisponible,,,,,,,
129,Ictidomys parvidens,180583,-98.4752699,24.1777649,,False,1,8.48,Mammalia,Rodentia,Sciuridae,108,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a379c406da5a89ab53dba65466beaac,0a379c406da5a89ab53dba65466beaac,No,NoDisponible,,,,,,,
43,Ictidomys parvidens,185562,-98.1584332,24.8475,,False,2,9.77,Mammalia,Rodentia,Sciuridae,46,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a9db7c4941b756a8a5a38e7983f24d4,0a9db7c4941b756a8a5a38e7983f24d4,No,NoDisponible,,,,,,,
14,Ictidomys parvidens,166320,-100.0420577,27.292339,,False,2,21.31,Mammalia,Rodentia,Sciuridae,190,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f20c915714ce2b718f4746fe0468ae1,0f20c915714ce2b718f4746fe0468ae1,No,NoDisponible,,,,,,,
101,Ictidomys parvidens,161478,-101.1319,27.8375,,False,2,14.99,Mammalia,Rodentia,Sciuridae,345,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f4e8bb6263c8763285a1cb079e55bcf,0f4e8bb6263c8763285a1cb079e55bcf,No,NoDisponible,,,,,,,
147,Ictidomys parvidens,166118,-100.3116667,25.7519444,,False,2,13.53,Mammalia,Rodentia,Sciuridae,515,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fc0ec5e451b4f38396556adb1470a2a,0fc0ec5e451b4f38396556adb1470a2a,No,NoDisponible,,,,,,,
157,Ictidomys parvidens,137481,-103.8833333,26.5944444,,False,1,-0.13,Mammalia,Rodentia,Sciuridae,1114,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11f9466b62440c033976a1d61d0e579a,11f9466b62440c033976a1d61d0e579a,Si,NoDisponible,No,Si,Si,,,,
