,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
47,Lampronycteris brachyotis,226692,-93.0233333,17.0852778,,True,0,-103.43,Mammalia,Chiroptera,Phyllostomidae,765,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014a0720b3eb8a3b879107ff2b5924d1,014a0720b3eb8a3b879107ff2b5924d1,No,NoDisponible,,,,,,,
15,Lampronycteris brachyotis,209080,-95.0719444,18.6194444,,False,4,21.59,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05978bba79fdddac4e9b0009907f4698,05978bba79fdddac4e9b0009907f4698,No,NoDisponible,,,,,,,
43,Lampronycteris brachyotis,194893,-96.9874444,19.3818889,,True,2,-36.33,Mammalia,Chiroptera,Phyllostomidae,1204,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1195fb399a1fd9567e8ebf14c1281126,1195fb399a1fd9567e8ebf14c1281126,Si,NoDisponible,No,Si,Si,,,,
36,Lampronycteris brachyotis,209080,-95.0725,18.6194444,,False,4,21.59,Mammalia,Chiroptera,Phyllostomidae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18cffc6e10ffc99dbfedfe305b10146b,18cffc6e10ffc99dbfedfe305b10146b,No,NoDisponible,,,,,,,
16,Lampronycteris brachyotis,209080,-95.0719444,18.6194444,,False,4,21.59,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19681f90e546ed3f2542bccfb7d7d3ca,19681f90e546ed3f2542bccfb7d7d3ca,No,NoDisponible,,,,,,,
17,Lampronycteris brachyotis,209080,-95.0719444,18.6194444,,False,4,21.59,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24140450d518e701612ec4f717fa526c,24140450d518e701612ec4f717fa526c,No,NoDisponible,,,,,,,
18,Lampronycteris brachyotis,209080,-95.0719444,18.6194444,,False,4,21.59,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=369c220cfac362021bfb879f4a9f9816,369c220cfac362021bfb879f4a9f9816,No,NoDisponible,,,,,,,
50,Lampronycteris brachyotis,208887,-95.0388889,16.8777778,,False,3,-0.2,Mammalia,Chiroptera,Phyllostomidae,221,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=390289ba23d5a5a9de143b2f6a984149,390289ba23d5a5a9de143b2f6a984149,No,NoDisponible,,,,,,,
56,Lampronycteris brachyotis,235111,-91.5641667,16.5880556,,False,4,19.77,Mammalia,Chiroptera,Phyllostomidae,385,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a95f8292f0ed18a895ba78f42881073,3a95f8292f0ed18a895ba78f42881073,No,NoDisponible,,,,,,,
19,Lampronycteris brachyotis,209080,-95.0719444,18.6194444,,False,4,21.59,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3cba2cf8e97446b12a4464afd8723418,3cba2cf8e97446b12a4464afd8723418,No,NoDisponible,,,,,,,
51,Lampronycteris brachyotis,208887,-95.0388889,16.8777778,,False,3,-0.2,Mammalia,Chiroptera,Phyllostomidae,221,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3cfe6e3a24741c8b3b9f251792d4cb53,3cfe6e3a24741c8b3b9f251792d4cb53,No,NoDisponible,,,,,,,
