,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
122,Lasiurus cinereus,179928,-98.7628,19.1278,,False,2,22.05,Mammalia,Chiroptera,Vespertilionidae,2491,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=019c7be1175fe6b6e4d6843f7daf2012,019c7be1175fe6b6e4d6843f7daf2012,No,NoDisponible,,,,,,,
148,Lasiurus cinereus,105478,-108.0166667,27.8166667,,False,1,6.73,Mammalia,Chiroptera,Vespertilionidae,1391,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=022f0a10d438c79992bb65e3a6dbd421,022f0a10d438c79992bb65e3a6dbd421,No,NoDisponible,,,,,,,
91,Lasiurus cinereus,105821,-107.9128671,30.5588447,,False,0,-5.2,Mammalia,Chiroptera,Vespertilionidae,1420,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05157b4efc358713a0e30eec652e8691,05157b4efc358713a0e30eec652e8691,No,NoDisponible,,,,,,,
139,Lasiurus cinereus,105790,-107.6172222,30.1136111,,False,0,-6.45,Mammalia,Chiroptera,Vespertilionidae,1436,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=058f11976648d0912d11351b0558e077,058f11976648d0912d11351b0558e077,No,NoDisponible,,,,,,,
26,Lasiurus cinereus,184685,-97.8383278,17.1555611,,False,2,29.29,Mammalia,Chiroptera,Vespertilionidae,2384,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05f2e6ac904b11e0a9b0fbc87fb49f76,05f2e6ac904b11e0a9b0fbc87fb49f76,No,NoDisponible,,,,,,,
252,Lasiurus cinereus,97014,-108.9397222,31.0788889,,False,1,8.61,Mammalia,Chiroptera,Vespertilionidae,1863,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e0e4d639d2eb9f300640143ee9f82e,07e0e4d639d2eb9f300640143ee9f82e,No,NoDisponible,,,,,,,
66,Lasiurus cinereus,96501,-108.9286719,27.018056,,False,0,-3.55,Mammalia,Chiroptera,Vespertilionidae,371,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09c98a977630b198bd89c4db94e58280,09c98a977630b198bd89c4db94e58280,No,NoDisponible,,,,,,,
6,Lasiurus cinereus,46739,-115.45,30.8833056,,False,2,11.29,Mammalia,Chiroptera,Vespertilionidae,2070,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ac2f90e353c0001cb631c915f2d327b,0ac2f90e353c0001cb631c915f2d327b,No,NoDisponible,,,,,,,
73,Lasiurus cinereus,132067,-104.266667,20.263891,,False,1,8.21,Mammalia,Chiroptera,Vespertilionidae,1481,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b57857ce5c77ba8f0a48ef304f69bae,0b57857ce5c77ba8f0a48ef304f69bae,No,NoDisponible,,,,,,,
32,Lasiurus cinereus,170712,-99.9125,23.9558333,,False,2,15.05,Mammalia,Chiroptera,Vespertilionidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cc9cfa1d05b31b9a4cdfd2b6a096beb,0cc9cfa1d05b31b9a4cdfd2b6a096beb,No,NoDisponible,,,,,,,
242,Lasiurus cinereus,194738,-96.8138889,17.9416667,,False,2,31.79,Mammalia,Chiroptera,Vespertilionidae,1939,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f3c9fa0d17f5e13116cdcc64da31195,0f3c9fa0d17f5e13116cdcc64da31195,No,NoDisponible,,,,,,,
53,Lasiurus cinereus,118860,-106.1363888,26.6997222,,False,2,12.78,Mammalia,Chiroptera,Vespertilionidae,1895,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fb710e00b817403738ba7dbbb89334d,0fb710e00b817403738ba7dbbb89334d,No,NoDisponible,,,,,,,
160,Lasiurus cinereus,156405,-101.4325,25.46056,,False,0,-0.67,Mammalia,Chiroptera,Vespertilionidae,1313,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1024fe6c53e890607312ce37eeab2812,1024fe6c53e890607312ce37eeab2812,No,NoDisponible,,,,,,,
119,Lasiurus cinereus,175044,-99.3645572,19.3126011,,False,2,24.59,Mammalia,Chiroptera,Vespertilionidae,3246,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=109b73572c08be3b503da36ce8b1d34c,109b73572c08be3b503da36ce8b1d34c,No,NoDisponible,,,,,,,
7,Lasiurus cinereus,46613,-115.5161111,30.0205556,,False,0,-0.71,Mammalia,Chiroptera,Vespertilionidae,319,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12a5fe6df81e021f885f41028f71119f,12a5fe6df81e021f885f41028f71119f,No,NoDisponible,,,,,,,
187,Lasiurus cinereus,105934,-107.9077778,31.3627778,,False,0,-6.45,Mammalia,Chiroptera,Vespertilionidae,1290,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12ca8b2c71d38ac6f231e8dac8bae2a9,12ca8b2c71d38ac6f231e8dac8bae2a9,No,NoDisponible,,,,,,,
163,Lasiurus cinereus,175078,-99.154177,19.394048,,False,2,16.04,Mammalia,Chiroptera,Vespertilionidae,2238,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=132166f9367da71319f77d4113cd7b66,132166f9367da71319f77d4113cd7b66,No,NoDisponible,,,,,,,
