,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Lasiurus intermedius,222402,-93.664171,16.006654,,False,3,14.13,Mammalia,Chiroptera,Vespertilionidae,65,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=043db624cf764ea70708b86f0be5c536,043db624cf764ea70708b86f0be5c536,No,NoDisponible,,,,,,,
60,Lasiurus intermedius,136538,-103.8982134,18.977,,False,3,14.13,Mammalia,Chiroptera,Vespertilionidae,55,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04dc4dd98acf73898ce73f0f98c00981,04dc4dd98acf73898ce73f0f98c00981,No,NoDisponible,,,,,,,
10,Lasiurus intermedius,132068,-104.249929,20.342986,,False,2,6.19,Mammalia,Chiroptera,Vespertilionidae,1434,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06217d5efab023a34cdf01076d33c590,06217d5efab023a34cdf01076d33c590,No,NoDisponible,,,,,,,
95,Lasiurus intermedius,199420,-96.015,16.24722,,False,4,22.12,Mammalia,Chiroptera,Vespertilionidae,1977,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=069d581d87f9bc43761a1196fb0a943c,069d581d87f9bc43761a1196fb0a943c,No,NoDisponible,,,,,,,
194,Lasiurus intermedius,175345,-99.1461111,21.6361111,,False,3,13.5,Mammalia,Chiroptera,Vespertilionidae,914,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07340bb9d148c200fa1685ce79c03df6,07340bb9d148c200fa1685ce79c03df6,No,NoDisponible,,,,,,,
128,Lasiurus intermedius,169888,-99.80399,16.94587,,False,4,20.25,Mammalia,Chiroptera,Vespertilionidae,108,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07d3e2c507482b130b83c11550427582,07d3e2c507482b130b83c11550427582,No,NoDisponible,,,,,,,
37,Lasiurus intermedius,252446,-89.475,20.2583333,,False,2,10.48,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08230f3e86cd16d5be2ea16a6cfb2d52,08230f3e86cd16d5be2ea16a6cfb2d52,No,NoDisponible,,,,,,,
68,Lasiurus intermedius,127273,-104.716667,19.216667,Incongruencia en información geográfica (coordenada-localidad).,False,3,12.73,Mammalia,Chiroptera,Vespertilionidae,,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0892d75498087eb081e5835aac5e1c8c,0892d75498087eb081e5835aac5e1c8c,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental,,
38,Lasiurus intermedius,252446,-89.475,20.2583333,,False,2,10.48,Mammalia,Chiroptera,Vespertilionidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09111885e47d3dc1447bc37c7d5e56fb,09111885e47d3dc1447bc37c7d5e56fb,No,NoDisponible,,,,,,,
175,Lasiurus intermedius,185373,-98.1,23.35,,False,2,8.03,Mammalia,Chiroptera,Vespertilionidae,144,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09272956870cf52dae67767f98c39308,09272956870cf52dae67767f98c39308,No,NoDisponible,,,,,,,
104,Lasiurus intermedius,256900,-89.0177778,20.9313889,,False,2,9.07,Mammalia,Chiroptera,Vespertilionidae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0aad88dc6ee96be6a531c7050144ef90,0aad88dc6ee96be6a531c7050144ef90,No,NoDisponible,,,,,,,
101,Lasiurus intermedius,256900,-89.0178,20.9314,,False,2,9.07,Mammalia,Chiroptera,Vespertilionidae,22,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bad759bf210c907a970d0e5348abd57,0bad759bf210c907a970d0e5348abd57,No,NoDisponible,,,,,,,
89,Lasiurus intermedius,199604,-96.175,17.9416667,,False,2,8.39,Mammalia,Chiroptera,Vespertilionidae,39,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e7d453420aef8c8d57c25b5d3f9719c,0e7d453420aef8c8d57c25b5d3f9719c,No,NoDisponible,,,,,,,
105,Lasiurus intermedius,256900,-89.0177778,20.9313889,,False,2,9.07,Mammalia,Chiroptera,Vespertilionidae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1053394b42305f8e22951c80744da85d,1053394b42305f8e22951c80744da85d,No,NoDisponible,,,,,,,
148,Lasiurus intermedius,180217,-98.4363889,21.0761111,,False,2,7.66,Mammalia,Chiroptera,Vespertilionidae,209,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10f3fe8d691d256a7351ca2c903fda3c,10f3fe8d691d256a7351ca2c903fda3c,No,NoDisponible,,,,,,,
112,Lasiurus intermedius,209073,-95.1136111,18.4194444,,False,3,12.98,Mammalia,Chiroptera,Vespertilionidae,346,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11ad90d3a40414bc61a8607677e4fdbc,11ad90d3a40414bc61a8607677e4fdbc,No,NoDisponible,,,,,,,
75,Lasiurus intermedius,256895,-88.5886111,20.6980556,,False,2,7.43,Mammalia,Chiroptera,Vespertilionidae,53,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=127f8a0aa6199bd7fc25f0ddae831eeb,127f8a0aa6199bd7fc25f0ddae831eeb,No,NoDisponible,,,,,,,
144,Lasiurus intermedius,194666,-96.72,17.0677778,,False,3,15.81,Mammalia,Chiroptera,Vespertilionidae,1566,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12ac2c0c435b0ce3b734b39852717dcd,12ac2c0c435b0ce3b734b39852717dcd,No,NoDisponible,,,,,,,
176,Lasiurus intermedius,113919,-106.3838889,23.3905556,,False,2,6.34,Mammalia,Chiroptera,Vespertilionidae,87,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12ba35ec48ad69f9fcebfce003b33c5d,12ba35ec48ad69f9fcebfce003b33c5d,No,NoDisponible,,,,,,,
102,Lasiurus intermedius,256900,-89.0178,20.9314,,False,2,9.07,Mammalia,Chiroptera,Vespertilionidae,22,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1381dddb53183c5999d9872f413847df,1381dddb53183c5999d9872f413847df,No,NoDisponible,,,,,,,
64,Lasiurus intermedius,136590,-103.8974166,19.4371111,,False,4,25.36,Mammalia,Chiroptera,Vespertilionidae,2168,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14ea5c815999fb170071111094b9bc20,14ea5c815999fb170071111094b9bc20,No,NoDisponible,,,,,,,
