,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
526,Leptonycteris curasoae,170384,-99.8163333,21.0583333,,False,3,8.52,Mammalia,Chiroptera,Phyllostomidae,1342,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012d228718edbd8d8f02a43576982921,012d228718edbd8d8f02a43576982921,No,NoDisponible,,,,,,,
711,Leptonycteris curasoae,170568,-99.9180556,22.6513889,,False,2,-0.61,Mammalia,Chiroptera,Phyllostomidae,1033,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01517f21610881329d8a3bdaaeec793a,01517f21610881329d8a3bdaaeec793a,No,NoDisponible,,,,,,,
174,Leptonycteris curasoae,96480,-109.0166444,27.0640138,,False,2,2.3,Mammalia,Chiroptera,Phyllostomidae,493,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01647d76f9645d87bbffa64e504a11a7,01647d76f9645d87bbffa64e504a11a7,No,NoDisponible,,,,,,,
652,Leptonycteris curasoae,170073,-99.8711111,18.3652778,,False,3,14.57,Mammalia,Chiroptera,Phyllostomidae,1670,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01f460af34c4ba3dd38c69ee95bea797,01f460af34c4ba3dd38c69ee95bea797,No,NoDisponible,,,,,,,
584,Leptonycteris curasoae,194700,-96.9167,17.6508,,False,3,17.69,Mammalia,Chiroptera,Phyllostomidae,753,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0223135d2bfe0bf6bdca1272d2124d8e,0223135d2bfe0bf6bdca1272d2124d8e,No,NoDisponible,,,,,,,
556,Leptonycteris curasoae,194570,-96.98,16.5116667,,False,3,15.56,Mammalia,Chiroptera,Phyllostomidae,1421,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=022df08e66fd2829adb898ff1ce04444,022df08e66fd2829adb898ff1ce04444,No,NoDisponible,,,,,,,
955,Leptonycteris curasoae,180140,-98.3186111,20.3827778,,False,3,8.85,Mammalia,Chiroptera,Phyllostomidae,1550,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=027c84769d518d0e4cf1753034713ca6,027c84769d518d0e4cf1753034713ca6,No,NoDisponible,,,,,,,
919,Leptonycteris curasoae,194894,-97.0080556,19.4213889,,False,2,4.57,Mammalia,Chiroptera,Phyllostomidae,1312,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=028c2ec4b57c127d1c5fc4949dcfff7a,028c2ec4b57c127d1c5fc4949dcfff7a,No,NoDisponible,,,,,,,
284,Leptonycteris curasoae,136583,-103.9341666,19.3152777,,False,3,16.58,Mammalia,Chiroptera,Phyllostomidae,537,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02c0ecd208449b1725f97d447b12aad9,02c0ecd208449b1725f97d447b12aad9,No,NoDisponible,,,,,,,
835,Leptonycteris curasoae,165242,-100.1336111,18.465,,False,3,13.6,Mammalia,Chiroptera,Phyllostomidae,666,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=034a2f67d67048e9da8bd3889a17730f,034a2f67d67048e9da8bd3889a17730f,No,NoDisponible,,,,,,,
