,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
836,Lepus californicus,175677,-98.96214,24.4143277,,True,4,-3.76,Mammalia,Lagomorpha,Leporidae,314,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000e7fb5865d464a165fa3d73d0fdbab,000e7fb5865d464a165fa3d73d0fdbab,No,NoDisponible,,,,,,,
920,Lepus californicus,105513,-107.5880556,27.6430556,,True,4,-3.66,Mammalia,Lagomorpha,Leporidae,2516,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001f88b1fb995393e388c9c26a4e3990,001f88b1fb995393e388c9c26a4e3990,No,NoDisponible,,,,,,,
867,Lepus californicus,105595,-107.5730556,28.4319444,,False,5,-0.63,Mammalia,Lagomorpha,Leporidae,2215,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004b1f8513d959738342735af4006784,004b1f8513d959738342735af4006784,No,NoDisponible,,,,,,,
832,Lepus californicus,141984,-103.2110594,25.0034833,,False,5,4.26,Mammalia,Lagomorpha,Leporidae,1377,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00522003099b9a6f67bb39deb490f19b,00522003099b9a6f67bb39deb490f19b,No,NoDisponible,,,,,,,
317,Lepus californicus,137506,-103.7729944,26.6836917,,False,5,3.96,Mammalia,Lagomorpha,Leporidae,1140,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ae72b52bca8759b7a9487d90e31f48,00ae72b52bca8759b7a9487d90e31f48,No,NoDisponible,,,,,,,
1019,Lepus californicus,105463,-107.6686111,27.5427778,,True,3,-15.08,Mammalia,Lagomorpha,Leporidae,2179,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0123c718da5b19c32d36e1bf0af49425,0123c718da5b19c32d36e1bf0af49425,No,NoDisponible,,,,,,,
383,Lepus californicus,137487,-103.7828722,26.7641222,,False,5,4.09,Mammalia,Lagomorpha,Leporidae,1102,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0162890aa65036ea56e7798b8adde75a,0162890aa65036ea56e7798b8adde75a,No,NoDisponible,,,,,,,
1132,Lepus californicus,101002,-108.49472,27.18194,,True,2,-20.64,Mammalia,Lagomorpha,Leporidae,826,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c3bc4ab330b0f3f0e89b1f1de4be70,01c3bc4ab330b0f3f0e89b1f1de4be70,Si,NoDisponible,No,No,Si,,,,
354,Lepus californicus,137506,-103.7659,26.6863389,,False,5,3.96,Mammalia,Lagomorpha,Leporidae,1138,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e362e2489d7be5cfdfbf4c3b32974b,01e362e2489d7be5cfdfbf4c3b32974b,No,NoDisponible,,,,,,,
804,Lepus californicus,42138,-115.931103,30.951463,,False,5,3.13,Mammalia,Lagomorpha,Leporidae,172,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020555ad6c7593a62c1977f06734e902,020555ad6c7593a62c1977f06734e902,No,NoDisponible,,,,,,,
