,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
118,Lepus callotis,175033,-99.0191667,18.9183333,,False,5,12,Mammalia,Lagomorpha,Leporidae,1252,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0024979dc8d665109cc28170b24c0b94,0024979dc8d665109cc28170b24c0b94,No,NoDisponible,,,,,,,
165,Lepus callotis,146211,-102.5497222,20.2772222,,False,5,7.49,Mammalia,Lagomorpha,Leporidae,1542,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02b1e24dfa9f76092e705ff2980d5ad9,02b1e24dfa9f76092e705ff2980d5ad9,No,NoDisponible,,,,,,,
133,Lepus callotis,132021,-104.3444444,20.1288889,,False,5,7.6,Mammalia,Lagomorpha,Leporidae,1373,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=035cd7d24fd696beda5c42ba7ada3783,035cd7d24fd696beda5c42ba7ada3783,No,NoDisponible,,,,,,,
51,Lepus callotis,189712,-97.4666666,17.8,,False,5,13.75,Mammalia,Lagomorpha,Leporidae,2255,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0486dfb7b329c0cdd71d7dd462d9c7d8,0486dfb7b329c0cdd71d7dd462d9c7d8,No,NoDisponible,,,,,,,
95,Lepus callotis,136733,-103.8477778,20.6833333,,False,5,4.89,Mammalia,Lagomorpha,Leporidae,1275,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04c025719b34846b422cfda52ffaa9b6,04c025719b34846b422cfda52ffaa9b6,No,NoDisponible,,,,,,,
219,Lepus callotis,136657,-104.0488889,20.0361111,,False,5,7.15,Mammalia,Lagomorpha,Leporidae,1223,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d6c11e4e011fb282867e96dc278fbc,04d6c11e4e011fb282867e96dc278fbc,No,NoDisponible,,,,,,,
47,Lepus callotis,155916,-101.48,21.43,,False,5,12.35,Mammalia,Lagomorpha,Leporidae,2323,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=074d49a1bb3c608b95fccc4f744ac925,074d49a1bb3c608b95fccc4f744ac925,No,NoDisponible,,,,,,,
12,Lepus callotis,179990,-98.8769444,19.7183333,,False,5,4.79,Mammalia,Lagomorpha,Leporidae,2431,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08b8a0d8c08aad3124454d33db1fb6b1,08b8a0d8c08aad3124454d33db1fb6b1,No,NoDisponible,,,,,,,
60,Lepus callotis,110142,-107.0540822,29.1034547,,False,5,8.89,Mammalia,Lagomorpha,Leporidae,2020,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2d57083192f028ae449802fe4a4723,0a2d57083192f028ae449802fe4a4723,No,NoDisponible,,,,,,,
147,Lepus callotis,155668,-101.6541667,19.5255556,,False,5,9.02,Mammalia,Lagomorpha,Leporidae,2073,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a5ffdca0b4be21e22b2cd58935239cb,0a5ffdca0b4be21e22b2cd58935239cb,No,NoDisponible,,,,,,,
13,Lepus callotis,179990,-98.8769444,19.7183333,,False,5,4.79,Mammalia,Lagomorpha,Leporidae,2431,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c99d726fd085b45c060563987ff3a12,0c99d726fd085b45c060563987ff3a12,No,NoDisponible,,,,,,,
57,Lepus callotis,151164,-101.8314027,21.6723594,,False,5,11.33,Mammalia,Lagomorpha,Leporidae,2238,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cb0f0f7d2b2c06dc41a94b15c21a9a4,0cb0f0f7d2b2c06dc41a94b15c21a9a4,No,NoDisponible,,,,,,,
87,Lepus callotis,150996,-102.2091667,20.6222222,,False,5,10.01,Mammalia,Lagomorpha,Leporidae,2104,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d69f2204e9f7f994acf52678e7fdfdc,0d69f2204e9f7f994acf52678e7fdfdc,No,NoDisponible,,,,,,,
211,Lepus callotis,136957,-103.5630556,22.3036111,,False,5,9.19,Mammalia,Lagomorpha,Leporidae,2200,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e06fe20c7eeff6ebb84f29bb908ef6f,0e06fe20c7eeff6ebb84f29bb908ef6f,No,NoDisponible,,,,,,,
153,Lepus callotis,150994,-102.2969444,20.6561111,,False,5,8.21,Mammalia,Lagomorpha,Leporidae,2067,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e46724b8b8dcabf25947f4376539096,0e46724b8b8dcabf25947f4376539096,No,NoDisponible,,,,,,,
98,Lepus callotis,132506,-104.45,24.3166667,,False,5,9.46,Mammalia,Lagomorpha,Leporidae,1972,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1160612db2f50a73dddcffd8442cf9c8,1160612db2f50a73dddcffd8442cf9c8,No,NoDisponible,,,,,,,
52,Lepus callotis,189712,-97.4661111,17.8,,False,5,13.75,Mammalia,Lagomorpha,Leporidae,2257,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11a56054c1ac7473c28411657fe17e00,11a56054c1ac7473c28411657fe17e00,No,NoDisponible,,,,,,,
198,Lepus callotis,132544,-104.1241667,24.4519444,,False,5,9.42,Mammalia,Lagomorpha,Leporidae,2006,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11b3cccd44c7f8839ce8d54ab0566ab9,11b3cccd44c7f8839ce8d54ab0566ab9,No,NoDisponible,,,,,,,
224,Lepus callotis,141556,-103.1238889,21.1816667,,False,5,12.86,Mammalia,Lagomorpha,Leporidae,1606,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11c260ce73ce89655ac641d50c4ef910,11c260ce73ce89655ac641d50c4ef910,No,NoDisponible,,,,,,,
14,Lepus callotis,179990,-98.8769444,19.7183333,,False,5,4.79,Mammalia,Lagomorpha,Leporidae,2431,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13398a47350ee83d28f340da996791ae,13398a47350ee83d28f340da996791ae,No,NoDisponible,,,,,,,
232,Lepus callotis,156098,-101.74806,23.02722,,False,4,-3.53,Mammalia,Lagomorpha,Leporidae,2141,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=139ca071eaf0285af2a5eb182f2b660d,139ca071eaf0285af2a5eb182f2b660d,No,NoDisponible,,,,,,,
15,Lepus callotis,179990,-98.8769444,19.7183333,,False,5,4.79,Mammalia,Lagomorpha,Leporidae,2431,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=139cb2d504164d669c954895dcfd4786,139cb2d504164d669c954895dcfd4786,No,NoDisponible,,,,,,,
134,Lepus callotis,132021,-104.3444444,20.1288889,,False,5,7.6,Mammalia,Lagomorpha,Leporidae,1373,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13d15bda9b9dec075f6d604dac2bbab4,13d15bda9b9dec075f6d604dac2bbab4,No,NoDisponible,,,,,,,
135,Lepus callotis,118837,-106.0013889,26.5161111,,False,5,6.65,Mammalia,Lagomorpha,Leporidae,2339,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13f3a7fde1ff6935703222aeee580d07,13f3a7fde1ff6935703222aeee580d07,No,NoDisponible,,,,,,,
192,Lepus callotis,184887,-97.9186111,19.1044444,,False,5,13.08,Mammalia,Lagomorpha,Leporidae,2411,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=148e844921f63765882d84ffd92604bb,148e844921f63765882d84ffd92604bb,No,NoDisponible,,,,,,,
