,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
81,Lonchorhina aurita,208933,-95.1083333,17.175,,False,4,27.46,Mammalia,Chiroptera,Phyllostomidae,89,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0140fbeaa87ed1c24e67ece3a39b8766,0140fbeaa87ed1c24e67ece3a39b8766,No,NoDisponible,,,,,,,
18,Lonchorhina aurita,261117,-88.0458333,19.5958333,,False,4,22.95,Mammalia,Chiroptera,Phyllostomidae,25,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c7cfabcff365056d6ef0979fbed13f,01c7cfabcff365056d6ef0979fbed13f,No,NoDisponible,,,,,,,
4,Lonchorhina aurita,269597,-87.1833333,21.2166667,,False,3,19.45,Mammalia,Chiroptera,Phyllostomidae,6,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023f57776355619512f5924db66185cf,023f57776355619512f5924db66185cf,No,NoDisponible,,,,,,,
118,Lonchorhina aurita,226720,-92.8847222,17.5072222,,False,5,33.79,Mammalia,Chiroptera,Phyllostomidae,404,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03bb672197ffe4671f4dd0f723470c4c,03bb672197ffe4671f4dd0f723470c4c,No,NoDisponible,,,,,,,
119,Lonchorhina aurita,218112,-93.765,16.9816667,,False,5,30.05,Mammalia,Chiroptera,Phyllostomidae,250,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0511d64382cb4c6f2da5d23ab4f3cd0e,0511d64382cb4c6f2da5d23ab4f3cd0e,No,NoDisponible,,,,,,,
29,Lonchorhina aurita,208935,-95.0416666,17.1513888,,False,5,31.05,Mammalia,Chiroptera,Phyllostomidae,118,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=062fcb1aeb412257af780ecb0b4f0795,062fcb1aeb412257af780ecb0b4f0795,No,NoDisponible,,,,,,,
82,Lonchorhina aurita,208933,-95.1083333,17.175,,False,4,27.46,Mammalia,Chiroptera,Phyllostomidae,89,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=085a835deec064bbb8742c11fe350ff8,085a835deec064bbb8742c11fe350ff8,No,NoDisponible,,,,,,,
30,Lonchorhina aurita,208935,-95.0416666,17.1513888,,False,5,31.05,Mammalia,Chiroptera,Phyllostomidae,118,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=087ed03a29fbd3362c754d7dd2523533,087ed03a29fbd3362c754d7dd2523533,No,NoDisponible,,,,,,,
31,Lonchorhina aurita,208935,-95.0416666,17.1513888,,False,5,31.05,Mammalia,Chiroptera,Phyllostomidae,118,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bc6cb32d2953e277a220a8d804c2f0a,0bc6cb32d2953e277a220a8d804c2f0a,No,NoDisponible,,,,,,,
67,Lonchorhina aurita,230679,-92.4659335,15.257,,False,2,13.18,Mammalia,Chiroptera,Phyllostomidae,1102,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c696a57543201be743620cfe2f33f6f,0c696a57543201be743620cfe2f33f6f,No,NoDisponible,,,,,,,
