,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Macrophyllum macrophyllum,226763,-92.9109502,17.548,,False,0,40.63,Mammalia,Chiroptera,Phyllostomidae,82,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d52955b9a30caf08e1b2abf7bd3fe0a,2d52955b9a30caf08e1b2abf7bd3fe0a,No,NoDisponible,NoDisponible,,Si,,,,
1,Macrophyllum macrophyllum,226763,-92.9109502,17.548,,False,0,40.63,Mammalia,Chiroptera,Phyllostomidae,82,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=437188e0466823c97dd0d78f43c09407,437188e0466823c97dd0d78f43c09407,No,NoDisponible,NoDisponible,,Si,,,,
8,Macrophyllum macrophyllum,226720,-92.9138889,17.5247222,,False,2,42.63,Mammalia,Chiroptera,Phyllostomidae,333,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4628db3eb3365ba6ebdb9c4c3cca3992,4628db3eb3365ba6ebdb9c4c3cca3992,No,NoDisponible,NoDisponible,,Si,,,,
6,Macrophyllum macrophyllum,239214,-90.9508333,16.1066667,,False,3,43.78,Mammalia,Chiroptera,Phyllostomidae,145,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48b92445aaf499bcc6fb3e271336cb84,48b92445aaf499bcc6fb3e271336cb84,No,NoDisponible,NoDisponible,,Si,,,,
7,Macrophyllum macrophyllum,239214,-90.9205556,16.1380556,,False,3,43.78,Mammalia,Chiroptera,Phyllostomidae,155,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57b2c17498607d2afe1ddaf870a3a106,57b2c17498607d2afe1ddaf870a3a106,No,NoDisponible,NoDisponible,,Si,,,,
9,Macrophyllum macrophyllum,226720,-92.9138889,17.5247222,,False,2,42.63,Mammalia,Chiroptera,Phyllostomidae,333,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=602ffd6957cfaa260832de4684793ede,602ffd6957cfaa260832de4684793ede,No,NoDisponible,NoDisponible,,Si,,,,
3,Macrophyllum macrophyllum,226761,-92.9528,17.5481,,False,3,43.8,Mammalia,Chiroptera,Phyllostomidae,47,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=876f394211fa51fde3a3748501ef2fda,876f394211fa51fde3a3748501ef2fda,No,NoDisponible,NoDisponible,,Si,,,,
2,Macrophyllum macrophyllum,239216,-90.8986111,16.1541666,,False,1,41.82,Mammalia,Chiroptera,Phyllostomidae,176,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b6ddc15d81d877b5fb92670830a0a08,9b6ddc15d81d877b5fb92670830a0a08,No,NoDisponible,NoDisponible,,Si,,,,
10,Macrophyllum macrophyllum,226720,-92.9138889,17.5247222,,False,2,42.63,Mammalia,Chiroptera,Phyllostomidae,333,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cf97764502aaa474565e54b2a67a7697,cf97764502aaa474565e54b2a67a7697,No,NoDisponible,NoDisponible,,Si,,,,
4,Macrophyllum macrophyllum,226761,-92.9511111,17.5463889,,False,3,43.8,Mammalia,Chiroptera,Phyllostomidae,55,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=db36d0769bf3d4ae9995a53efbe43ce6,db36d0769bf3d4ae9995a53efbe43ce6,No,NoDisponible,NoDisponible,,Si,,,,
5,Macrophyllum macrophyllum,226761,-92.9511111,17.5463889,,False,3,43.8,Mammalia,Chiroptera,Phyllostomidae,55,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e80ae9abea870c9510ab4537a1ea9d0a,e80ae9abea870c9510ab4537a1ea9d0a,No,NoDisponible,NoDisponible,,Si,,,,
