,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
313,Macrotus californicus,91512,-109.425,23.445556,,False,5,10.21,Mammalia,Chiroptera,Phyllostomidae,,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001119e41fa1519b4006959b2923116c,001119e41fa1519b4006959b2923116c,Si,NoDIsponible,No,Si,Si,,,,
1621,Macrotus californicus,105399,-107.7257166,27.0359333,,False,5,2.72,Mammalia,Chiroptera,Phyllostomidae,584,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0064ac5f69003a61de2995b062804ed0,0064ac5f69003a61de2995b062804ed0,Si,NoDIsponible,No,No,Si,,,,
1294,Macrotus californicus,82998,-110.6280249,28.5994388,,False,5,12.36,Mammalia,Chiroptera,Phyllostomidae,334,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0072d3ad049af6b3f70f6dadd5dd7e93,0072d3ad049af6b3f70f6dadd5dd7e93,No,NoDIsponible,,,,,,,
484,Macrotus californicus,87026,-110.0344444,23.8,,False,5,11.64,Mammalia,Chiroptera,Phyllostomidae,460,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007f68d6993c48981523adb6cbfcfe71,007f68d6993c48981523adb6cbfcfe71,No,NoDIsponible,,,,,,,
1275,Macrotus californicus,83137,-110.955,29.6841667,,False,5,10.81,Mammalia,Chiroptera,Phyllostomidae,469,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008df6ec8191a935f427d1d26ef015e3,008df6ec8191a935f427d1d26ef015e3,No,NoDIsponible,,,,,,,
93,Macrotus californicus,51007,-114.4721666,27.5299999,,False,5,4.51,Mammalia,Chiroptera,Phyllostomidae,297,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a3679411ddd09711665f6d0e5beb1c,00a3679411ddd09711665f6d0e5beb1c,Si,NoDIsponible,No,Si,Si,,,,
1477,Macrotus californicus,82995,-110.5794388,28.4303805,,False,5,9.95,Mammalia,Chiroptera,Phyllostomidae,163,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a82d88350fb977c67036ea1324e4da,00a82d88350fb977c67036ea1324e4da,No,NoDIsponible,,,,,,,
406,Macrotus californicus,69160,-112.31065,27.3301666,,False,5,10.91,Mammalia,Chiroptera,Phyllostomidae,96,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b154b97f74a8c86ff02186ba6aedb4,00b154b97f74a8c86ff02186ba6aedb4,No,NoDIsponible,,,,,,,
1597,Macrotus californicus,105400,-107.719025,27.03975,,False,4,0.42,Mammalia,Chiroptera,Phyllostomidae,664,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d30aa3114c8cbe94380e6525d6e991,00d30aa3114c8cbe94380e6525d6e991,Si,NoDIsponible,No,No,Si,,,,
1295,Macrotus californicus,82998,-110.6280249,28.5994388,,False,5,12.36,Mammalia,Chiroptera,Phyllostomidae,334,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f34e6cd8dcf8211c4dd8da76fbbe97,00f34e6cd8dcf8211c4dd8da76fbbe97,No,NoDIsponible,,,,,,,
784,Macrotus californicus,83030,-110.95417,29.09889,,False,5,10.08,Mammalia,Chiroptera,Phyllostomidae,223,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00fd440ce669fb08bee962551f905a0a,00fd440ce669fb08bee962551f905a0a,No,NoDIsponible,,,,,,,
1198,Macrotus californicus,96373,-108.9417861,25.9943222,,False,5,10.62,Mammalia,Chiroptera,Phyllostomidae,22,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01112f30d3f90c080da867f67f1dd3f2,01112f30d3f90c080da867f67f1dd3f2,No,NoDIsponible,,,,,,,
166,Macrotus californicus,73619,-111.9794416,26.8900055,,False,5,12.99,Mammalia,Chiroptera,Phyllostomidae,17,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012cc11b060fe58e40c17d3f4df43c65,012cc11b060fe58e40c17d3f4df43c65,No,NoDIsponible,,,,,,,
717,Macrotus californicus,73881,-111.9408277,28.8860694,,False,5,11.02,Mammalia,Chiroptera,Phyllostomidae,6,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0132ef0795eca551df330ef38421aeba,0132ef0795eca551df330ef38421aeba,No,NoDIsponible,,,,,,,
269,Macrotus californicus,73526,-111.8213889,26.0561111,,False,5,10.3,Mammalia,Chiroptera,Phyllostomidae,430,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013c7b6f1ce0843a91fd6571f743d9e1,013c7b6f1ce0843a91fd6571f743d9e1,No,NoDIsponible,,,,,,,
