,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
85,Macrotus waterhousii,136542,-103.8817499,19.1493333,,False,2,16.4,Mammalia,Chiroptera,Phyllostomidae,225,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a3cab02feffc161c957d094f50620f,01a3cab02feffc161c957d094f50620f,No,NoDisponible,,,,,,,
148,Macrotus waterhousii,174977,-99.4242747,18.6463889,,False,2,13.21,Mammalia,Chiroptera,Phyllostomidae,1068,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02a6ba9d6baad51c02afefeefd0b4ddc,02a6ba9d6baad51c02afefeefd0b4ddc,No,NoDisponible,,,,,,,
220,Macrotus waterhousii,194611,-96.7844444,16.7311111,,False,2,12.21,Mammalia,Chiroptera,Phyllostomidae,1557,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0322b64f6e018ee14234f259a386de2c,0322b64f6e018ee14234f259a386de2c,No,NoDisponible,,,,,,,
50,Macrotus waterhousii,174989,-99.2986,18.7878,,False,2,15.94,Mammalia,Chiroptera,Phyllostomidae,1179,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0355aa4b2631207a9ec1308d45311ca7,0355aa4b2631207a9ec1308d45311ca7,No,NoDisponible,,,,,,,
199,Macrotus waterhousii,146193,-102.8905556,20.5816667,,False,1,3.02,Mammalia,Chiroptera,Phyllostomidae,1874,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04388308818a5112dc421e56c49d1032,04388308818a5112dc421e56c49d1032,No,NoDisponible,,,,,,,
150,Macrotus waterhousii,114073,-106.7436111,24.8061111,,False,2,11.7,Mammalia,Chiroptera,Phyllostomidae,616,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07341ebd0be37ad95cf4909be9c86404,07341ebd0be37ad95cf4909be9c86404,No,NoDisponible,,,,,,,
208,Macrotus waterhousii,256922,-88.9391667,21.1505556,,False,2,7.32,Mammalia,Chiroptera,Phyllostomidae,18,Terrestre,1884,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0773baf9240e7aaa80e3b1163d0ef8b1,0773baf9240e7aaa80e3b1163d0ef8b1,No,NoDisponible,,,,,,,
0,Macrotus waterhousii,69618,-112.35472,30.95417,,True,0,-15.36,Mammalia,Chiroptera,Phyllostomidae,329,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08110e6ecd33d7ca3d8c93269a056ecc,08110e6ecd33d7ca3d8c93269a056ecc,Si,NoDisponible,No,No,Si,,,,
181,Macrotus waterhousii,256900,-89.0186111,20.9322222,,False,2,6.37,Mammalia,Chiroptera,Phyllostomidae,23,Terrestre,1879,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09572a2270e7dde615042f5eb92ad3f7,09572a2270e7dde615042f5eb92ad3f7,No,NoDisponible,,,,,,,
51,Macrotus waterhousii,174989,-99.2986,18.7878,,False,2,15.94,Mammalia,Chiroptera,Phyllostomidae,1179,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d588b323319c099438ed0bf1ff2e67a,0d588b323319c099438ed0bf1ff2e67a,No,NoDisponible,,,,,,,
