,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1,Marmosa mayensis,256900,-89.0186111,20.9322222,,False,1,16.53,Mammalia,Didelphimorphia,Didelphidae,23,Terrestre,1913,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fac46e92e967e330a8415c7986030b7,0fac46e92e967e330a8415c7986030b7,No,NoDisponible,Si,,No,,,,
10,Marmosa mayensis,269665,-87.0497222,21.3530556,,False,0,9.72,Mammalia,Didelphimorphia,Didelphidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1084d8ec26884fea092bb4d1b98eec98,1084d8ec26884fea092bb4d1b98eec98,No,NoDisponible,Si,,No,,,,
6,Marmosa mayensis,261092,-88.1324999,19.26,,False,3,22.23,Mammalia,Didelphimorphia,Didelphidae,42,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14bcf15abe9110095738828e9c870a5a,14bcf15abe9110095738828e9c870a5a,No,NoDisponible,Si,,No,,,,
8,Marmosa mayensis,265373,-87.7833333,19.6166666,,False,2,18.8,Mammalia,Didelphimorphia,Didelphidae,13,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ee1e02dd7b4d9e2bb08663f781380f7,2ee1e02dd7b4d9e2bb08663f781380f7,No,NoDisponible,Si,,No,,,,
7,Marmosa mayensis,261092,-88.1324999,19.26,,False,3,22.23,Mammalia,Didelphimorphia,Didelphidae,42,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3839241d4826f7db3cf9266573f8f79b,3839241d4826f7db3cf9266573f8f79b,No,NoDisponible,Si,,No,,,,
3,Marmosa mayensis,247948,-90.0272222,18.2058333,,False,3,21.82,Mammalia,Didelphimorphia,Didelphidae,172,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c93b8d174200fb32ae33d773c327e14,4c93b8d174200fb32ae33d773c327e14,No,NoDisponible,Si,,,,,,
2,Marmosa mayensis,256900,-89.0186111,20.9322222,,False,1,16.53,Mammalia,Didelphimorphia,Didelphidae,23,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4fd23d02dfbc43a04156ab2dbdd4f089,4fd23d02dfbc43a04156ab2dbdd4f089,No,NoDisponible,Si,,No,,,,
13,Marmosa mayensis,256958,-88.62111,21.26917,,False,3,23.16,Mammalia,Didelphimorphia,Didelphidae,17,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=608176ea0bed3c38a6231db5946ec07c,608176ea0bed3c38a6231db5946ec07c,No,NoDisponible,Si,,No,,,,
5,Marmosa mayensis,252325,-89.3666666,18.8,,False,0,10.72,Mammalia,Didelphimorphia,Didelphidae,261,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=621fb38ac98c1b81cf5b0596c44b1e1d,621fb38ac98c1b81cf5b0596c44b1e1d,No,NoDisponible,Si,,,,,,
4,Marmosa mayensis,247952,-90.0272222,18.3561111,,False,3,24.8,Mammalia,Didelphimorphia,Didelphidae,214,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=623677060702266881237d0cf19c2e37,623677060702266881237d0cf19c2e37,No,NoDisponible,Si,,,,,,
9,Marmosa mayensis,256859,-88.8255556,20.5483333,,False,3,25.45,Mammalia,Didelphimorphia,Didelphidae,33,Terrestre,1912,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a4e4bf963487586bafee907cdf205888,a4e4bf963487586bafee907cdf205888,No,NoDisponible,Si,,No,,,,
0,Marmosa mayensis,256900,-89.017778,20.9313889,,False,1,16.53,Mammalia,Didelphimorphia,Didelphidae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b1c685d0bc5e9b213a6332aa6d3b83ff,b1c685d0bc5e9b213a6332aa6d3b83ff,No,NoDisponible,Si,,,,,,
11,Marmosa mayensis,256895,-88.5694444,20.6777778,,False,3,24.33,Mammalia,Didelphimorphia,Didelphidae,21,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d9bac277dd8c5e5db9ef4ef7f5529f70,d9bac277dd8c5e5db9ef4ef7f5529f70,No,NoDisponible,Si,,No,,,,
12,Marmosa mayensis,256895,-88.5694444,20.6777778,,False,3,24.33,Mammalia,Didelphimorphia,Didelphidae,21,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ecd7e21c21969a13ecc678b3d19d4aa7,ecd7e21c21969a13ecc678b3d19d4aa7,No,NoDisponible,Si,,No,,,,
