,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
31,Microtus californicus,38046,-116.5358333,32.5588889,,False,1,8.4,Mammalia,Rodentia,Cricetidae,607,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10fec08947839778e63ddffdba024235,10fec08947839778e63ddffdba024235,No,NoDisponible,,,,,,,
12,Microtus californicus,42172,-115.590903,30.9380605,,False,1,31.86,Mammalia,Rodentia,Cricetidae,1601,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b1e90c71779e20ae838403c91ddaf63,1b1e90c71779e20ae838403c91ddaf63,No,NoDisponible,,,,,,,
29,Microtus californicus,38046,-116.5358333,32.5588889,,False,1,8.4,Mammalia,Rodentia,Cricetidae,607,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e7b4f2d2da6829e544b729a85b5fa46,1e7b4f2d2da6829e544b729a85b5fa46,No,NoDisponible,,,,,,,
0,Microtus californicus,175141,-99.1447222,19.9094444,,True,0,-153.83,Mammalia,Rodentia,Cricetidae,2215,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=201d7a718ef7cd4ab888e7b10dd1f8bc,201d7a718ef7cd4ab888e7b10dd1f8bc,Si,NoDisponible,No,No,No,,,,
11,Microtus californicus,34148,-116.901744,32.194315,,False,1,24.71,Mammalia,Rodentia,Cricetidae,60,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38000fe77e275a32a0ae7e4dd8189ef1,38000fe77e275a32a0ae7e4dd8189ef1,No,NoDisponible,,,,,,,
34,Microtus californicus,42045,-115.6833333,30.0333333,,False,1,18.73,Mammalia,Rodentia,Cricetidae,177,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42006b34253d501b03401c75b0b2ece5,42006b34253d501b03401c75b0b2ece5,No,NoDisponible,,,,,,,
13,Microtus californicus,42116,-116.03105,30.71968,,False,1,25.27,Mammalia,Rodentia,Cricetidae,6,Terrestre,1925,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=444db2c49268f8bd7a65758a67b55244,444db2c49268f8bd7a65758a67b55244,No,NoDisponible,,,,,,,
39,Microtus californicus,38011,-116.14139,31.87389,,False,1,17.54,Mammalia,Rodentia,Cricetidae,851,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=47adba4fd843fac43ca15369f125b81a,47adba4fd843fac43ca15369f125b81a,No,NoDisponible,,,,,,,
14,Microtus californicus,42116,-116.03105,30.71968,,False,1,25.27,Mammalia,Rodentia,Cricetidae,6,Terrestre,1925,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a17171f016570742322fea9edec5f34,4a17171f016570742322fea9edec5f34,No,NoDisponible,,,,,,,
25,Microtus californicus,42173,-115.68913,31.02621,,False,1,29.07,Mammalia,Rodentia,Cricetidae,1035,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e665382452140b6b31853834de6a3eb,4e665382452140b6b31853834de6a3eb,No,NoDisponible,,,,,,,
20,Microtus californicus,38029,-116.53417,32.24167,,False,1,17.46,Mammalia,Rodentia,Cricetidae,421,Terrestre,1902,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57242c88e856d3fd8c70178c9bf9aafb,57242c88e856d3fd8c70178c9bf9aafb,No,NoDisponible,,,,,,,
15,Microtus californicus,42116,-116.03105,30.71968,,False,1,25.27,Mammalia,Rodentia,Cricetidae,6,Terrestre,1925,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59cfe72aa93667d8e9716d8ad59b6a9f,59cfe72aa93667d8e9716d8ad59b6a9f,No,NoDisponible,,,,,,,
16,Microtus californicus,42116,-116.03105,30.71968,,False,1,25.27,Mammalia,Rodentia,Cricetidae,6,Terrestre,1925,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5fcea5f54ae55f5cc82105008f6e86b0,5fcea5f54ae55f5cc82105008f6e86b0,No,NoDisponible,,,,,,,
24,Microtus californicus,42077,-115.9425,30.5602778,,False,1,18.55,Mammalia,Rodentia,Cricetidae,35,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6048236c9e9f11fea42c525df9a60983,6048236c9e9f11fea42c525df9a60983,No,NoDisponible,,,,,,,
1,Microtus californicus,175141,-99.1447222,19.9094444,,True,0,-153.83,Mammalia,Rodentia,Cricetidae,2215,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=63b802901a22a31cdb8ad1c1824a5c38,63b802901a22a31cdb8ad1c1824a5c38,Si,NoDisponible,No,No,No,,,,
21,Microtus californicus,38029,-116.53417,32.24167,,False,1,17.46,Mammalia,Rodentia,Cricetidae,421,Terrestre,1902,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=69dcd39cd885947b9679ed1b11bdc794,69dcd39cd885947b9679ed1b11bdc794,No,NoDisponible,,,,,,,
35,Microtus californicus,42119,-116.0166667,30.7491667,,False,1,21.9,Mammalia,Rodentia,Cricetidae,46,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=779bb38f110b55bcd29c9581e6211377,779bb38f110b55bcd29c9581e6211377,No,NoDisponible,,,,,,,
4,Microtus californicus,42039,-115.7166666,30.0583333,,False,1,19.74,Mammalia,Rodentia,Cricetidae,29,Terrestre,1926,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8b46ae292da260cc031744ae1e462cdc,8b46ae292da260cc031744ae1e462cdc,No,NoDisponible,,,,,,,
28,Microtus californicus,38046,-116.5255556,32.5627778,,False,1,8.4,Mammalia,Rodentia,Cricetidae,609,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8d22a3c35169ae7dcb46ce3448db4b3f,8d22a3c35169ae7dcb46ce3448db4b3f,No,NoDisponible,,,,,,,
30,Microtus californicus,38046,-116.5255556,32.5627778,,False,1,8.4,Mammalia,Rodentia,Cricetidae,609,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=92a402e2bbc4c9d88aee726c3cd7506b,92a402e2bbc4c9d88aee726c3cd7506b,No,NoDisponible,,,,,,,
