,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
17,Mimon cozumelae,209074,-95.0813889,18.4513889,,False,3,17.4,Mammalia,Chiroptera,Phyllostomidae,358,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c72637a42b70cb07df2978764df5da,00c72637a42b70cb07df2978764df5da,No,NoDisponible,,,,,,,
140,Mimon cozumelae,208887,-95.0416667,16.8916667,,False,3,22.34,Mammalia,Chiroptera,Phyllostomidae,236,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0336b2493bc868b4f94b04ed444e99db,0336b2493bc868b4f94b04ed444e99db,No,NoDisponible,,,,,,,
82,Mimon cozumelae,261300,-88.1508333,21.2019444,,False,3,19.89,Mammalia,Chiroptera,Phyllostomidae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05937c6cd3b233d070f8d3177049d03a,05937c6cd3b233d070f8d3177049d03a,No,NoDisponible,,,,,,,
141,Mimon cozumelae,208887,-95.0416667,16.8916667,,False,3,22.34,Mammalia,Chiroptera,Phyllostomidae,236,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05f269623bcccba97bdcb0d65e63e352,05f269623bcccba97bdcb0d65e63e352,No,NoDisponible,,,,,,,
133,Mimon cozumelae,243828,-90.4094444,19.5705555,,False,3,10.62,Mammalia,Chiroptera,Phyllostomidae,35,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=094c2568bb7c0c20a6f2bd78b028f1ff,094c2568bb7c0c20a6f2bd78b028f1ff,No,NoDisponible,,,,,,,
18,Mimon cozumelae,209074,-95.0813889,18.4513889,,False,3,17.4,Mammalia,Chiroptera,Phyllostomidae,358,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09c86b955274a58f52f4d6699400d7a3,09c86b955274a58f52f4d6699400d7a3,No,NoDisponible,,,,,,,
172,Mimon cozumelae,247969,-89.9619366,18.1480824,,False,3,17.18,Mammalia,Chiroptera,Phyllostomidae,215,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d208d7d4bb13cdbb72426d34a75eb69,0d208d7d4bb13cdbb72426d34a75eb69,No,NoDisponible,,,,,,,
105,Mimon cozumelae,247949,-90.0666666,18.25,,False,3,19.94,Mammalia,Chiroptera,Phyllostomidae,191,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fb8644bd119fac247d024b61a2247fd,0fb8644bd119fac247d024b61a2247fd,No,NoDisponible,,,,,,,
12,Mimon cozumelae,239293,-90.9691667,16.9013889,,False,3,24.3,Mammalia,Chiroptera,Phyllostomidae,122,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10d1151d4eebe59c5d623cebf22f00f6,10d1151d4eebe59c5d623cebf22f00f6,No,NoDisponible,,,,,,,
41,Mimon cozumelae,248169,-89.8284934,19.7572222,,False,3,13.66,Mammalia,Chiroptera,Phyllostomidae,74,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1100876bf8eb60f45f22a2b31e28a03b,1100876bf8eb60f45f22a2b31e28a03b,No,NoDisponible,,,,,,,
