,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
14,Mimon crenulatum,248244,-89.8775,20.5986111,,True,1,-25.3,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e109295bfa504b3b8045ef1d16a1fe6,1e109295bfa504b3b8045ef1d16a1fe6,Si,NoDisponible,NoDisponible,,No,,,,
0,Mimon crenulatum,239527,-90.9833333,18.8,,False,2,11.41,Mammalia,Chiroptera,Phyllostomidae,17,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3753c5561b2f94e4af6dd08098da2299,3753c5561b2f94e4af6dd08098da2299,No,NoDisponible,NoDisponible,,,,,,
15,Mimon crenulatum,261237,-88.2008333,20.6897222,,False,2,15.51,Mammalia,Chiroptera,Phyllostomidae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37a657bb5ae33f4b51f3a930d4d21255,37a657bb5ae33f4b51f3a930d4d21255,Si,NoDisponible,NoDisponible,,No,,,,
18,Mimon crenulatum,269551,-86.87135,20.43405,,False,2,10.29,Mammalia,Chiroptera,Phyllostomidae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a9589be8ec5b50f33f4342420f6d4d6,3a9589be8ec5b50f33f4342420f6d4d6,No,NoDisponible,NoDisponible,,,,,,
16,Mimon crenulatum,252561,-89.6427778,21.1069444,,True,1,-26.33,Mammalia,Chiroptera,Phyllostomidae,7,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43c2c6b8322e28d20d1371f74599e187,43c2c6b8322e28d20d1371f74599e187,Si,NoDisponible,NoDisponible,,No,,,,
19,Mimon crenulatum,252582,-89.3905105,21.0272695,,False,2,7.56,Mammalia,Chiroptera,Phyllostomidae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4561ac317f9210274e0f85422f0277e5,4561ac317f9210274e0f85422f0277e5,Si,NoDisponible,NoDisponible,,No,,,,
13,Mimon crenulatum,256900,-89.0186111,20.9322222,,True,1,-5.16,Mammalia,Chiroptera,Phyllostomidae,23,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a0fe142c6af8315b183182bae05cfa5,4a0fe142c6af8315b183182bae05cfa5,Si,NoDisponible,NoDisponible,,No,,,,
17,Mimon crenulatum,230958,-92.1188889,17.2605556,,False,2,34.78,Mammalia,Chiroptera,Phyllostomidae,195,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=52cf15ef0b4bfdb8b25bf6e2028ee30c,52cf15ef0b4bfdb8b25bf6e2028ee30c,No,NoDisponible,NoDisponible,,,,,,
9,Mimon crenulatum,256786,-89.0672222,20.0888889,,False,2,-1.89,Mammalia,Chiroptera,Phyllostomidae,40,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=676d21ff6bba4ab75c0befa682a74b44,676d21ff6bba4ab75c0befa682a74b44,Si,NoDisponible,NoDisponible,,No,,,,
6,Mimon crenulatum,248123,-89.7286111,19.4577778,,False,2,-1.66,Mammalia,Chiroptera,Phyllostomidae,172,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=710ff112f4cbef9f750610557d37ef13,710ff112f4cbef9f750610557d37ef13,No,NoDisponible,NoDisponible,,,,,,
10,Mimon crenulatum,248169,-89.8211111,19.7566667,,True,1,-17.01,Mammalia,Chiroptera,Phyllostomidae,70,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7f9b37eb1a78e617cc253c0246d64f73,7f9b37eb1a78e617cc253c0246d64f73,No,NoDisponible,NoDisponible,,,,,,
20,Mimon crenulatum,261102,-88.0361111,19.3975,,False,2,23.46,Mammalia,Chiroptera,Phyllostomidae,21,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=81098cce1d335c7203bb3a29967fb955,81098cce1d335c7203bb3a29967fb955,No,NoDisponible,NoDisponible,,,,,,
8,Mimon crenulatum,261303,-88.1508333,21.2158333,,False,2,0.84,Mammalia,Chiroptera,Phyllostomidae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9430ddf128fab21617e8d019600ba0a7,9430ddf128fab21617e8d019600ba0a7,Si,NoDisponible,NoDisponible,,No,,,,
4,Mimon crenulatum,248241,-89.9116667,20.5675,,True,1,-25.61,Mammalia,Chiroptera,Phyllostomidae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a516c7911e42e5cdea4cd3479945f14a,a516c7911e42e5cdea4cd3479945f14a,Si,NoDisponible,NoDisponible,,No,,,,
2,Mimon crenulatum,243672,-90.7361111,18.6066667,,False,2,10.31,Mammalia,Chiroptera,Phyllostomidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a724264a0e34f8085de35252978ebf27,a724264a0e34f8085de35252978ebf27,No,NoDisponible,NoDisponible,,,,,,
3,Mimon crenulatum,243672,-90.7361111,18.6066667,,False,2,10.31,Mammalia,Chiroptera,Phyllostomidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b5d04fce6886403a36a8c37e4d327f1f,b5d04fce6886403a36a8c37e4d327f1f,No,NoDisponible,NoDisponible,,,,,,
7,Mimon crenulatum,239214,-90.9508333,16.1066667,,False,2,38.97,Mammalia,Chiroptera,Phyllostomidae,145,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bf9d915865c2cba437ca46e4a2c3add4,bf9d915865c2cba437ca46e4a2c3add4,No,NoDisponible,NoDisponible,,,,,,
11,Mimon crenulatum,230871,-92.4508333,16.8702778,,True,0,-197.85,Mammalia,Chiroptera,Phyllostomidae,1454,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d0093ec5b848f935f446686366f03867,d0093ec5b848f935f446686366f03867,No,NoDisponible,NoDisponible,,,,,,
12,Mimon crenulatum,256895,-88.5908333,20.6986111,,False,2,14.47,Mammalia,Chiroptera,Phyllostomidae,37,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d4ecbdaf0892786d26d30181f84a3890,d4ecbdaf0892786d26d30181f84a3890,Si,NoDisponible,NoDisponible,,No,,,,
5,Mimon crenulatum,248241,-89.9105556,20.5513889,,True,1,-25.61,Mammalia,Chiroptera,Phyllostomidae,92,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e52f7631533d7a0fc7172c020f1a548e,e52f7631533d7a0fc7172c020f1a548e,Si,NoDisponible,NoDisponible,,No,,,,
1,Mimon crenulatum,239293,-90.9645833,16.8982222,,False,2,27.13,Mammalia,Chiroptera,Phyllostomidae,143,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e9c73d6b04412350e0ed4a6e51c5d45b,e9c73d6b04412350e0ed4a6e51c5d45b,No,NoDisponible,NoDisponible,,,,,,
