,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
64,Molossus molossus,170497,-99.9751326,21.932,,True,1,-8.86,Mammalia,Chiroptera,Molossidae,991,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0207e7e10a7594db8acb60cd0e4e2edc,0207e7e10a7594db8acb60cd0e4e2edc,Si,NoDisponible,No,No,Si,,,,
31,Molossus molossus,230976,-92.0322222,17.4925,,False,4,21.25,Mammalia,Chiroptera,Molossidae,77,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=034b77bec22fd360def3ff337a11940f,034b77bec22fd360def3ff337a11940f,Si,NoDisponible,No,Si,Si,,,,
97,Molossus molossus,235303,-91.6029166,18.2908888,,False,2,13.69,Mammalia,Chiroptera,Molossidae,25,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03884d02047d0754200220a7cb5ae8f6,03884d02047d0754200220a7cb5ae8f6,Si,NoDisponible,No,No,Si,,,,
115,Molossus molossus,222457,-93.2722222,16.2333333,,False,2,12.01,Mammalia,Chiroptera,Molossidae,563,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0393cb9474f13b4861aeec7fff6ae724,0393cb9474f13b4861aeec7fff6ae724,No,NoDisponible,,,,,,,
101,Molossus molossus,199362,-96.53111,16.01806,,False,4,21.7,Mammalia,Chiroptera,Molossidae,1411,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04e1c8433329b5a955dcb4ac992527dd,04e1c8433329b5a955dcb4ac992527dd,Si,NoDisponible,No,Si,Si,,,,
85,Molossus molossus,127394,-104.884078,20.38332,,False,2,10.5,Mammalia,Chiroptera,Molossidae,1641,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0608b0372ed4b5230bbb5a2ee5ef4bfe,0608b0372ed4b5230bbb5a2ee5ef4bfe,Si,NoDisponible,No,No,Si,,,,
60,Molossus molossus,165111,-100.2036111,17.42,,False,4,19.87,Mammalia,Chiroptera,Molossidae,1268,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06c7b789edb7d86a24f3c9e520c80fea,06c7b789edb7d86a24f3c9e520c80fea,No,NoDisponible,,,,,,,
0,Molossus molossus,127396,-104.824454,20.377064,,False,2,9.81,Mammalia,Chiroptera,Molossidae,1135,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d17408538abf60830c872ab8bd996d0,0d17408538abf60830c872ab8bd996d0,Si,NoDisponible,No,No,Si,,,,
57,Molossus molossus,150843,-101.8316667,18.9519444,,False,2,6.2,Mammalia,Chiroptera,Molossidae,450,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=108aa69b17a3012e442b2fb71fdf58ae,108aa69b17a3012e442b2fb71fdf58ae,Si,NoDisponible,No,No,Si,,,,
92,Molossus molossus,252549,-89.6216666,20.9677777,,False,2,13.36,Mammalia,Chiroptera,Molossidae,14,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12dbef6baddbf772c685d1a12291a259,12dbef6baddbf772c685d1a12291a259,Si,NoDisponible,No,No,No,,,,
12,Molossus molossus,194520,-97.075235,16.390253,,False,4,21.56,Mammalia,Chiroptera,Molossidae,1097,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1310cf5715405e310317d98749d3900c,1310cf5715405e310317d98749d3900c,No,NoDisponible,,,,,,,
98,Molossus molossus,235165,-91.8091666,17.4316666,,False,4,21.29,Mammalia,Chiroptera,Molossidae,275,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1651130cacf5430b910c5a66d7bb5340,1651130cacf5430b910c5a66d7bb5340,No,NoDisponible,,,,,,,
66,Molossus molossus,170497,-99.9971331,21.932,,True,1,-8.86,Mammalia,Chiroptera,Molossidae,1008,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=172f4995170570f2a8d65bc46d27011e,172f4995170570f2a8d65bc46d27011e,Si,NoDisponible,No,No,Si,,,,
75,Molossus molossus,208797,-95.238892,16.3244438,,False,3,14.79,Mammalia,Chiroptera,Molossidae,41,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a098536fc3e41d34b0c179cd8184605,1a098536fc3e41d34b0c179cd8184605,Si,NoDisponible,No,No,Si,,,,
82,Molossus molossus,208797,-95.2389,16.3244,,False,3,14.79,Mammalia,Chiroptera,Molossidae,41,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ea6801ee2d93d7e1d16151e6bde7bcf,1ea6801ee2d93d7e1d16151e6bde7bcf,Si,NoDisponible,No,No,Si,,,,
28,Molossus molossus,230976,-92.0255556,17.4913889,,False,4,21.25,Mammalia,Chiroptera,Molossidae,65,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23266c9304c3259eb32e0be565d2df8f,23266c9304c3259eb32e0be565d2df8f,No,NoDisponible,,,,,,,
13,Molossus molossus,194520,-97.075235,16.390253,,False,4,21.56,Mammalia,Chiroptera,Molossidae,1097,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=236028e812a73f5404281e6eac9a4eaa,236028e812a73f5404281e6eac9a4eaa,No,NoDisponible,,,,,,,
119,Molossus molossus,218038,-93.9908333,16.4072222,,False,2,10.24,Mammalia,Chiroptera,Molossidae,817,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=248e8c7bbb5377a6514d8aa941469261,248e8c7bbb5377a6514d8aa941469261,No,NoDisponible,,,,,,,
