,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0874626edc9d82066219e54f47f7675f,0874626edc9d82066219e54f47f7675f,Si,NoDisponible,NoDisponible,,No,,,,
8,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13db2394871631863f602c5374e1959f,13db2394871631863f602c5374e1959f,Si,NoDisponible,NoDisponible,,No,,,,
9,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14cbc57f6da7d749382b0a2927e12f22,14cbc57f6da7d749382b0a2927e12f22,Si,NoDisponible,NoDisponible,,No,,,,
10,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18214eab8ec14a7725a838c326af5cb3,18214eab8ec14a7725a838c326af5cb3,Si,NoDisponible,NoDisponible,,No,,,,
11,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d737dabf9193a04db144a3fc3982249,1d737dabf9193a04db144a3fc3982249,Si,NoDisponible,NoDisponible,,No,,,,
12,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=215c35d8ae4bde8403a8e9403fc3be5b,215c35d8ae4bde8403a8e9403fc3be5b,Si,NoDisponible,NoDisponible,,No,,,,
13,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25b8a7ce478c4d2c3b37dca3e2cc30a8,25b8a7ce478c4d2c3b37dca3e2cc30a8,Si,NoDisponible,NoDisponible,,No,,,,
14,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4117f8f97beaaa72100282bc839ac469,4117f8f97beaaa72100282bc839ac469,Si,NoDisponible,NoDisponible,,No,,,,
15,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4fcad918004cc7b3bdb4a67d0e6ae080,4fcad918004cc7b3bdb4a67d0e6ae080,Si,NoDisponible,NoDisponible,,No,,,,
16,Molossus pretiosus,230836,-92.1341666,16.2511111,,False,2,19.18,Mammalia,Chiroptera,Molossidae,1638,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4fcb1f638968edeee8cf95d90f59d677,4fcb1f638968edeee8cf95d90f59d677,Si,NoDisponible,NoDisponible,,No,,,,
