,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
58,Musonycteris harrisoni,136546,-103.7186111,18.75,,False,2,23.69,Mammalia,Chiroptera,Phyllostomidae,16,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03176beb2ed6f84f16869f51c620a59f,03176beb2ed6f84f16869f51c620a59f,No,NoDisponible,,,,,,,
26,Musonycteris harrisoni,136536,-103.9269238,19.168169,,False,2,32.28,Mammalia,Chiroptera,Phyllostomidae,261,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0324b020e9f40481cb9abc9628c1217b,0324b020e9f40481cb9abc9628c1217b,No,NoDisponible,,,,,,,
97,Musonycteris harrisoni,146015,-102.6672222,19.0947222,,False,2,6.92,Mammalia,Chiroptera,Phyllostomidae,275,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e202bc75cc3de350eba7ff2dc9ffe9d,0e202bc75cc3de350eba7ff2dc9ffe9d,No,NoDisponible,,,,,,,
0,Musonycteris harrisoni,136542,-103.8988553,19.1346953,,False,2,25.9,Mammalia,Chiroptera,Phyllostomidae,526,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11a3a80dd35a8e433578e1f43f35ec4d,11a3a80dd35a8e433578e1f43f35ec4d,No,NoDisponible,,,,,,,
109,Musonycteris harrisoni,136563,-103.6619444,18.9294444,,False,2,33.73,Mammalia,Chiroptera,Phyllostomidae,214,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11cc21a8736c0af6d6d07032f60d6413,11cc21a8736c0af6d6d07032f60d6413,No,NoDisponible,,,,,,,
84,Musonycteris harrisoni,160240,-100.63,17.2225,,False,2,28.83,Mammalia,Chiroptera,Phyllostomidae,30,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=128fdd864e8af1b9c8f6a39b2bfd808f,128fdd864e8af1b9c8f6a39b2bfd808f,No,NoDisponible,,,,,,,
99,Musonycteris harrisoni,122683,-105.2486111,20.0408333,,False,2,18.21,Mammalia,Chiroptera,Phyllostomidae,55,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=179dbbe646dc51d0640a279770255146,179dbbe646dc51d0640a279770255146,No,NoDisponible,,,,,,,
13,Musonycteris harrisoni,136542,-103.898857,19.1346951,,False,2,25.9,Mammalia,Chiroptera,Phyllostomidae,526,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18f56cd13e4fa370a7cddc26ef1778b1,18f56cd13e4fa370a7cddc26ef1778b1,No,NoDisponible,,,,,,,
101,Musonycteris harrisoni,131862,-104.5827778,19.1666667,,False,2,21.16,Mammalia,Chiroptera,Phyllostomidae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b03a7553f39aa4dadbfb03e87ef82bd,1b03a7553f39aa4dadbfb03e87ef82bd,No,NoDisponible,,,,,,,
14,Musonycteris harrisoni,136542,-103.882873,19.134743,,False,2,25.9,Mammalia,Chiroptera,Phyllostomidae,213,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ee2d1a45385c2cb118ba17458031f34,1ee2d1a45385c2cb118ba17458031f34,No,NoDisponible,,,,,,,
