,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
46,Myotis keaysi,252476,-89.122901,20.068781,,False,2,11.09,Mammalia,Chiroptera,Vespertilionidae,120,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03c258cd85b926a010469dbd302395ca,03c258cd85b926a010469dbd302395ca,No,NoDisponible,,,,,,,
73,Myotis keaysi,247997,-89.8254166,18.5204999,,False,2,14.33,Mammalia,Chiroptera,Vespertilionidae,181,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c9289e61976d9e87fe9520b022451c,05c9289e61976d9e87fe9520b022451c,No,NoDisponible,,,,,,,
145,Myotis keaysi,189860,-97.3069444,18.7477778,,True,0,-95.08,Mammalia,Chiroptera,Vespertilionidae,1968,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09082716d2f6ce34c102fcf09029ea7e,09082716d2f6ce34c102fcf09029ea7e,Si,NoDisponible,No,No,Si,,,,
159,Myotis keaysi,222495,-93.4561111,16.8788889,,False,3,20.21,Mammalia,Chiroptera,Vespertilionidae,1002,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09e387b1636ec1e5ef7c3663b70e8515,09e387b1636ec1e5ef7c3663b70e8515,No,NoDisponible,,,,,,,
148,Myotis keaysi,269561,-86.9466667,20.5383333,,False,3,18.21,Mammalia,Chiroptera,Vespertilionidae,,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c98fe08b2e902263e119c5ce3a59ce7,0c98fe08b2e902263e119c5ce3a59ce7,Si,NoDisponible,No,No,No,,,,
114,Myotis keaysi,243783,-90.7205556,19.3547222,,False,2,8.15,Mammalia,Chiroptera,Vespertilionidae,11,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d3f05ad182cdc450c4103888ab9bfa2,0d3f05ad182cdc450c4103888ab9bfa2,Si,NoDisponible,No,Si,No,,,,
26,Myotis keaysi,222561,-93.366669,17.0014648,,False,4,30.01,Mammalia,Chiroptera,Vespertilionidae,454,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0dd7e0adcb65c581c7f2bccece40bdd0,0dd7e0adcb65c581c7f2bccece40bdd0,No,NoDisponible,,,,,,,
147,Myotis keaysi,170137,-99.8508333,18.9108333,,False,2,7.07,Mammalia,Chiroptera,Vespertilionidae,2398,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fe6951e06adc269cfcd0957ca370938,0fe6951e06adc269cfcd0957ca370938,Si,NoDisponible,No,No,No,,,,
50,Myotis keaysi,248304,-89.6913889,21.0672222,,False,2,11.63,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=112cd3349672b06ab017d3fe1d3c710f,112cd3349672b06ab017d3fe1d3c710f,No,NoDisponible,,,,,,,
110,Myotis keaysi,261117,-88.0452778,19.6461111,,False,3,19.19,Mammalia,Chiroptera,Vespertilionidae,26,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14677b7a505134bf8645c660cf9061aa,14677b7a505134bf8645c660cf9061aa,No,NoDisponible,,,,,,,
91,Myotis keaysi,256900,-89.0178,20.9314,,False,2,11.3,Mammalia,Chiroptera,Vespertilionidae,22,Terrestre,1898,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14b522d0fecde8897cabbde8c14af118,14b522d0fecde8897cabbde8c14af118,No,NoDisponible,,,,,,,
40,Myotis keaysi,261202,-88.534903,20.658659,,False,2,13.64,Mammalia,Chiroptera,Vespertilionidae,33,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14fe82d0b89a254a8873be8681b60cee,14fe82d0b89a254a8873be8681b60cee,No,NoDisponible,,,,,,,
72,Myotis keaysi,265458,-87.6136111,20.0783333,,False,3,19.12,Mammalia,Chiroptera,Vespertilionidae,31,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17b13a57a13b888b30ea7599d35b6403,17b13a57a13b888b30ea7599d35b6403,No,NoDisponible,,,,,,,
24,Myotis keaysi,252446,-89.4833333,20.25,,False,2,10.26,Mammalia,Chiroptera,Vespertilionidae,43,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=183f7accc54062e1926a297a74722e06,183f7accc54062e1926a297a74722e06,No,NoDisponible,,,,,,,
74,Myotis keaysi,247997,-89.8254166,18.5204999,,False,2,14.33,Mammalia,Chiroptera,Vespertilionidae,181,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18c7fcf7b6d00481f4419315cffb36b1,18c7fcf7b6d00481f4419315cffb36b1,No,NoDisponible,,,,,,,
31,Myotis keaysi,222513,-93.366669,16.7756977,,False,2,10.21,Mammalia,Chiroptera,Vespertilionidae,1064,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1add6c0d4d3fa519b77123ca9b55c290,1add6c0d4d3fa519b77123ca9b55c290,No,NoDisponible,,,,,,,
