,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
21,Myotis peninsularis,87047,-110.2965555,24.1233611,,False,4,12.8,Mammalia,Chiroptera,Vespertilionidae,40,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=010a53aa83a6048abef32ac8190c4ef9,010a53aa83a6048abef32ac8190c4ef9,No,NoDisponible,,,,,,,
135,Myotis peninsularis,91464,-109.7011111,23.1783333,,False,6,20.97,Mammalia,Chiroptera,Vespertilionidae,65,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01aded7192a9d8e3b6b7b10d0820bc9c,01aded7192a9d8e3b6b7b10d0820bc9c,No,NoDisponible,,,,,,,
70,Myotis peninsularis,91477,-109.7645449,23.365042,,False,6,20.12,Mammalia,Chiroptera,Vespertilionidae,206,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b382312653e7c10dae6e3f97c96918,01b382312653e7c10dae6e3f97c96918,No,NoDisponible,,,,,,,
92,Myotis peninsularis,91460,-109.7066666,23.0583333,,False,6,20.84,Mammalia,Chiroptera,Vespertilionidae,45,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031e416ae7a45583365932512df377ae,031e416ae7a45583365932512df377ae,No,NoDisponible,,,,,,,
57,Myotis peninsularis,91469,-109.6313856,23.0758322,,False,7,21.93,Mammalia,Chiroptera,Vespertilionidae,18,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037fcd0a035ea2c92a9100583defbccd,037fcd0a035ea2c92a9100583defbccd,No,NoDisponible,,,,,,,
71,Myotis peninsularis,91477,-109.7645449,23.365042,,False,6,20.12,Mammalia,Chiroptera,Vespertilionidae,206,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0444c4f21b01c956cd93b2b2253d14be,0444c4f21b01c956cd93b2b2253d14be,No,NoDisponible,,,,,,,
2,Myotis peninsularis,87047,-110.2966667,24.1233333,,False,4,12.8,Mammalia,Chiroptera,Vespertilionidae,40,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0490139b8d234a24ea69243a61c2094c,0490139b8d234a24ea69243a61c2094c,No,NoDisponible,,,,,,,
168,Myotis peninsularis,87017,-109.9290009,23.5160007,,True,0,-31.14,Mammalia,Chiroptera,Vespertilionidae,1595,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04b61be4557720192620930292d4e61a,04b61be4557720192620930292d4e61a,Si,NoDisponible,No,Si,Si,,,,
169,Myotis peninsularis,91470,-109.6110001,23.1739998,,False,7,23.23,Mammalia,Chiroptera,Vespertilionidae,169,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=053ad9b9fc6a55bd08ac3b0326d17e37,053ad9b9fc6a55bd08ac3b0326d17e37,No,NoDisponible,,,,,,,
72,Myotis peninsularis,91477,-109.7645449,23.365042,,False,6,20.12,Mammalia,Chiroptera,Vespertilionidae,206,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07588e8bf7f95015469b8055a8f7548d,07588e8bf7f95015469b8055a8f7548d,No,NoDisponible,,,,,,,
