,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Myotis velifer,127647,-104.961049,22.81972,,False,1,4.07,Mammalia,Chiroptera,Vespertilionidae,695,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0034763eb4a385ebdaaea51321064398,0034763eb4a385ebdaaea51321064398,Si,NoDisponible,No,No,Si,,,,
78,Myotis velifer,165353,-100.1180556,19.2044444,,False,3,19.19,Mammalia,Chiroptera,Vespertilionidae,1902,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0082de77a096aa34cec68614e12249c1,0082de77a096aa34cec68614e12249c1,No,NoDisponible,,,,,,,
223,Myotis velifer,92187,-109.5935975,28.931327,,False,1,1.53,Mammalia,Chiroptera,Vespertilionidae,363,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ed441d49d7674bf634355d49584070,00ed441d49d7674bf634355d49584070,No,NoDisponible,,,,,,,
250,Myotis velifer,175001,-99.25,18.95,,False,2,14.32,Mammalia,Chiroptera,Vespertilionidae,1673,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a7c69da53643f50974b2aea82323ee,01a7c69da53643f50974b2aea82323ee,No,NoDisponible,,,,,,,
56,Myotis velifer,136637,-103.6088888,19.61,,False,3,27.32,Mammalia,Chiroptera,Vespertilionidae,3015,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e6248d9b55c35fcec87fcf2931a0b7,01e6248d9b55c35fcec87fcf2931a0b7,No,NoDisponible,,,,,,,
3,Myotis velifer,96480,-109.003757,27.059349,,False,1,0.43,Mammalia,Chiroptera,Vespertilionidae,475,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02624958ff1c19cd18a9e76596ee300c,02624958ff1c19cd18a9e76596ee300c,No,NoDisponible,,,,,,,
131,Myotis velifer,194822,-97.1036111,18.8494444,,False,3,20.93,Mammalia,Chiroptera,Vespertilionidae,1260,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=026b0d032833b764fa53d9276d31a897,026b0d032833b764fa53d9276d31a897,No,NoDisponible,,,,,,,
251,Myotis velifer,175001,-99.25,18.95,,False,2,14.32,Mammalia,Chiroptera,Vespertilionidae,1673,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e5c15890b203e9602614bcd4c8d76e,03e5c15890b203e9602614bcd4c8d76e,No,NoDisponible,,,,,,,
629,Myotis velifer,127400,-104.7863889,20.5252778,,False,2,13.39,Mammalia,Chiroptera,Vespertilionidae,1244,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=049835177e96ac9d9783fede45f329bb,049835177e96ac9d9783fede45f329bb,No,NoDisponible,,,,,,,
514,Myotis velifer,175006,-99.2894444,19.1355556,,False,2,15.66,Mammalia,Chiroptera,Vespertilionidae,3047,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=064110013fc3ed68c169381aca4e4c2a,064110013fc3ed68c169381aca4e4c2a,No,NoDisponible,,,,,,,
