,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
29,Neotamias bulleri,118863,-106.1,26.733333,,False,3,17.64,Mammalia,Rodentia,Sciuridae,2159,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04eecabdf93eafb44f6d0ca58f9c76ea,04eecabdf93eafb44f6d0ca58f9c76ea,Si,NoDisponible,No,No,Si,,,,
33,Neotamias bulleri,132371,-104.5083333,23.2583333,,False,3,5.01,Mammalia,Rodentia,Sciuridae,1804,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ae9e1fe685609b7f0f7d7890a0c6d9e,0ae9e1fe685609b7f0f7d7890a0c6d9e,Si,NoDisponible,No,Si,Si,,,,
57,Neotamias bulleri,166022,-100.5791667,25.2722222,,True,0,-81.29,Mammalia,Rodentia,Sciuridae,2193,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=135c6635c003f16147bd4cffb3fcbcbe,135c6635c003f16147bd4cffb3fcbcbe,Si,NoDisponible,No,No,Si,,,,
13,Neotamias bulleri,118838,-106.0349999,26.5252777,,False,4,28.87,Mammalia,Rodentia,Sciuridae,2626,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16de6c3865c63cb61de03bcb1f3943d6,16de6c3865c63cb61de03bcb1f3943d6,Si,NoDisponible,No,No,Si,,,,
39,Neotamias bulleri,132407,-104.2480556,23.3875,,False,4,33.36,Mammalia,Rodentia,Sciuridae,2490,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ec8b2fbf4e8fc5ef7bdd199ca273ea2,1ec8b2fbf4e8fc5ef7bdd199ca273ea2,No,NoDisponible,,,,,,,
8,Neotamias bulleri,137013,-103.7125,22.8286111,,False,4,30.54,Mammalia,Rodentia,Sciuridae,2609,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f99256db1a3dd3fa45cb89b151f9219,1f99256db1a3dd3fa45cb89b151f9219,No,NoDisponible,,,,,,,
62,Neotamias bulleri,137107,-103.9825,23.7297222,,True,2,-19.25,Mammalia,Rodentia,Sciuridae,1926,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20aafee43de71835effb13dfe5fe3685,20aafee43de71835effb13dfe5fe3685,Si,NoDisponible,No,No,Si,,,,
3,Neotamias bulleri,137013,-103.7327778,22.8513889,,False,4,30.54,Mammalia,Rodentia,Sciuridae,2582,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2968a3a4eb1f762b94a6a625cea50263,2968a3a4eb1f762b94a6a625cea50263,No,NoDisponible,,,,,,,
56,Neotamias bulleri,118698,-105.8691111,25.1189167,,False,3,19.95,Mammalia,Rodentia,Sciuridae,2648,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2cbfedd27fdffb42f2c153decd30893e,2cbfedd27fdffb42f2c153decd30893e,Si,NoDisponible,No,No,Si,,,,
14,Neotamias bulleri,118838,-106.0349999,26.5252777,,False,4,28.87,Mammalia,Rodentia,Sciuridae,2626,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2fe26dc483e4d08bcad0e372084f342b,2fe26dc483e4d08bcad0e372084f342b,Si,NoDisponible,No,No,Si,,,,
34,Neotamias bulleri,132371,-104.5083333,23.2583333,,False,3,5.01,Mammalia,Rodentia,Sciuridae,1804,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3096f9e8071e04f9af80e3e6dce5a337,3096f9e8071e04f9af80e3e6dce5a337,Si,NoDisponible,No,Si,Si,,,,
18,Neotamias bulleri,137047,-103.9844444,23.3716666,,False,4,34.8,Mammalia,Rodentia,Sciuridae,2425,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=339b6dbfc57276fbc734c32287ee1591,339b6dbfc57276fbc734c32287ee1591,No,NoDisponible,,,,,,,
50,Neotamias bulleri,132408,-104.2744444,23.4027778,,False,4,35.95,Mammalia,Rodentia,Sciuridae,2642,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35a4fd65a29ff5cf6d5d193543d3d425,35a4fd65a29ff5cf6d5d193543d3d425,No,NoDisponible,,,,,,,
44,Neotamias bulleri,132407,-104.2722222,23.3938889,,False,4,33.36,Mammalia,Rodentia,Sciuridae,2588,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ef854fc79d8590a7d62d04e7885ea2a,3ef854fc79d8590a7d62d04e7885ea2a,No,NoDisponible,,,,,,,
15,Neotamias bulleri,118838,-106.0349999,26.5252777,,False,4,28.87,Mammalia,Rodentia,Sciuridae,2626,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=48a3eee5b97847d641b187abd09587e1,48a3eee5b97847d641b187abd09587e1,Si,NoDisponible,No,No,Si,,,,
61,Neotamias bulleri,123091,-105.6872222,23.7286111,,True,2,-13.32,Mammalia,Rodentia,Sciuridae,2577,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a86d6054e2be0217b72790931ab8d1f,4a86d6054e2be0217b72790931ab8d1f,Si,NoDisponible,No,No,Si,,,,
63,Neotamias bulleri,132292,-104.5011111,22.5105556,,True,1,-44.16,Mammalia,Rodentia,Sciuridae,560,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4d5f61fc9c08c2d659de5c7ba3b1f052,4d5f61fc9c08c2d659de5c7ba3b1f052,Si,NoDisponible,No,No,Si,,,,
45,Neotamias bulleri,132388,-104.2558333,23.0647222,,False,4,34.47,Mammalia,Rodentia,Sciuridae,2891,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f788fbee0e7c9cfab112a5e03f22983,4f788fbee0e7c9cfab112a5e03f22983,No,NoDisponible,,,,,,,
58,Neotamias bulleri,127868,-104.7055556,24.3205556,,False,3,7.64,Mammalia,Rodentia,Sciuridae,1918,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=507b7324f5db6888dc8a23ffae973f3a,507b7324f5db6888dc8a23ffae973f3a,Si,NoDisponible,No,Si,Si,,,,
46,Neotamias bulleri,132388,-104.2558333,23.0647222,,False,4,34.47,Mammalia,Rodentia,Sciuridae,2891,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=527af780203006e1f56eca2212f3b217,527af780203006e1f56eca2212f3b217,No,NoDisponible,,,,,,,
2,Neotamias bulleri,118860,-106.1010083,26.7060556,,False,3,21,Mammalia,Rodentia,Sciuridae,2232,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=532f80aaf8c8e882e285fe55aacce0f5,532f80aaf8c8e882e285fe55aacce0f5,Si,NoDisponible,No,No,Si,,,,
51,Neotamias bulleri,132406,-104.2833333,23.4055556,,False,4,39.27,Mammalia,Rodentia,Sciuridae,2667,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=55950238215d298a01fa27db3fabf1b2,55950238215d298a01fa27db3fabf1b2,No,NoDisponible,,,,,,,
47,Neotamias bulleri,132388,-104.2558333,23.0647222,,False,4,34.47,Mammalia,Rodentia,Sciuridae,2891,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=572c721b67622f9d05e54e357de11183,572c721b67622f9d05e54e357de11183,No,NoDisponible,,,,,,,
27,Neotamias bulleri,136998,-103.744076,22.652894,,False,4,24.68,Mammalia,Rodentia,Sciuridae,2287,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=588cf94bba9c4ab85598476173ff5986,588cf94bba9c4ab85598476173ff5986,No,NoDisponible,,,,,,,
40,Neotamias bulleri,132407,-104.2480556,23.3875,,False,4,33.36,Mammalia,Rodentia,Sciuridae,2490,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a2e4fe0b9db742a2acdd50b3fe34c8f,5a2e4fe0b9db742a2acdd50b3fe34c8f,No,NoDisponible,,,,,,,
16,Neotamias bulleri,118838,-106.0349999,26.5252777,,False,4,28.87,Mammalia,Rodentia,Sciuridae,2626,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a3301a0c589681f9f7688665298b463,5a3301a0c589681f9f7688665298b463,Si,NoDisponible,No,No,Si,,,,
41,Neotamias bulleri,132407,-104.2480556,23.3875,,False,4,33.36,Mammalia,Rodentia,Sciuridae,2490,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5dd02cbbac48bc20b68a43ee90e9fc7f,5dd02cbbac48bc20b68a43ee90e9fc7f,No,NoDisponible,,,,,,,
