,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
66,Neotamias durangae,123110,-105.4762902,23.67517,,False,5,38.93,Mammalia,Rodentia,Sciuridae,2667,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02f3e5bf88ad454e1a82295a08a28d87,02f3e5bf88ad454e1a82295a08a28d87,No,NoDisponible,,,,,,,
153,Neotamias durangae,132441,-104.4466667,23.7716667,,False,4,14.2,Mammalia,Rodentia,Sciuridae,1905,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=032aaa6b7859916b2e11ff22d21da60d,032aaa6b7859916b2e11ff22d21da60d,Si,NoDisponible,No,Si,Si,,,,
57,Neotamias durangae,123085,-105.6166667,23.6166667,,False,5,27.31,Mammalia,Rodentia,Sciuridae,2329,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04656e70c81200cf5d176ca2b63d44a9,04656e70c81200cf5d176ca2b63d44a9,No,NoDisponible,,,,,,,
192,Neotamias durangae,123109,-105.4772222,23.6533333,,False,5,38.07,Mammalia,Rodentia,Sciuridae,2342,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0504a4edf512a06cc8db5977e8b490df,0504a4edf512a06cc8db5977e8b490df,No,NoDisponible,,,,,,,
47,Neotamias durangae,123085,-105.5753124,23.65916,,False,5,27.31,Mammalia,Rodentia,Sciuridae,1988,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0539066a2018793052197a0b7b22a754,0539066a2018793052197a0b7b22a754,No,NoDisponible,,,,,,,
59,Neotamias durangae,123121,-105.433093,23.760513,,False,5,31.36,Mammalia,Rodentia,Sciuridae,2654,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05c44393eb4d362542d2f5eb101ee45f,05c44393eb4d362542d2f5eb101ee45f,No,NoDisponible,,,,,,,
131,Neotamias durangae,123130,-105.335,23.82,,False,5,30.53,Mammalia,Rodentia,Sciuridae,2511,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05cf5537cd4ffad046b601e51fc168c3,05cf5537cd4ffad046b601e51fc168c3,No,NoDisponible,,,,,,,
180,Neotamias durangae,132406,-104.2908333,23.4166667,,False,5,23.34,Mammalia,Rodentia,Sciuridae,2713,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=088d2470f3b8b2df65c324e448e6cbdf,088d2470f3b8b2df65c324e448e6cbdf,No,NoDisponible,,,,,,,
228,Neotamias durangae,118689,-106.0494444,25.0691667,,False,5,35.48,Mammalia,Rodentia,Sciuridae,2706,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08e3d53af95d5c4c1a2abad0b2bdf271,08e3d53af95d5c4c1a2abad0b2bdf271,No,NoDisponible,,,,,,,
45,Neotamias durangae,123085,-105.6087931,23.62833,,False,5,27.31,Mammalia,Rodentia,Sciuridae,2097,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bf0e45089227dd826d64fca9b5ec15d,0bf0e45089227dd826d64fca9b5ec15d,No,NoDisponible,,,,,,,
