,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
25,Neotoma angustapalata,175438,-99.275,22.6661111,,False,3,23.3,Mammalia,Rodentia,Cricetidae,337,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f8174ca5f872929c15c53d498a7550,03f8174ca5f872929c15c53d498a7550,No,NoDisponible,,,,,,,
11,Neotoma angustapalata,175503,-99.1919389,23.0994389,,False,3,33.95,Mammalia,Rodentia,Cricetidae,1169,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f79eed7a47336369f0abc9b0735f65,06f79eed7a47336369f0abc9b0735f65,No,NoDisponible,,,,,,,
2,Neotoma angustapalata,175539,-99.1001167,23.2386111,,False,3,28.91,Mammalia,Rodentia,Cricetidae,420,Terrestre,1950,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08aeef7a98d248d341cb2c01c3d1e57a,08aeef7a98d248d341cb2c01c3d1e57a,No,NoDisponible,,,,,,,
19,Neotoma angustapalata,175504,-99.1916667,23.1916667,,False,3,37.28,Mammalia,Rodentia,Cricetidae,689,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=098a48f553233fef8a4c201202aed76e,098a48f553233fef8a4c201202aed76e,Si,NoDisponible,No,Si,Si,,,,
9,Neotoma angustapalata,175503,-99.2416667,23.1083333,,False,3,33.95,Mammalia,Rodentia,Cricetidae,2028,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c85f639c80dca4e432d71b5f2b31cd5,1c85f639c80dca4e432d71b5f2b31cd5,Si,NoDisponible,No,Si,Si,,,,
5,Neotoma angustapalata,175503,-99.2081748,23.0977778,,False,3,33.95,Mammalia,Rodentia,Cricetidae,1220,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=318ac087f2da7c4fd3798d259a35d8b7,318ac087f2da7c4fd3798d259a35d8b7,No,NoDisponible,,,,,,,
22,Neotoma angustapalata,175497,-99.275,22.9827778,,False,3,29.25,Mammalia,Rodentia,Cricetidae,1102,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3231d0dfed47481a2d096144bff61295,3231d0dfed47481a2d096144bff61295,No,NoDisponible,,,,,,,
18,Neotoma angustapalata,175464,-99.05333,22.60861,,False,3,24.22,Mammalia,Rodentia,Cricetidae,200,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=433cc082526ac5c92b8c9cf571af1a0a,433cc082526ac5c92b8c9cf571af1a0a,No,NoDisponible,,,,,,,
23,Neotoma angustapalata,185387,-97.7922222,22.9658333,,True,0,-17.4,Mammalia,Rodentia,Cricetidae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4821ddcfdda267db4aa76cc668b65e95,4821ddcfdda267db4aa76cc668b65e95,Si,NoDisponible,No,No,Si,,,,
0,Neotoma angustapalata,175522,-99.1720833,23.0477944,,True,2,-2.37,Mammalia,Rodentia,Cricetidae,682,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=51b4059bb019f4b42db777ce5e517d1e,51b4059bb019f4b42db777ce5e517d1e,No,NoDisponible,,,,,,,
