,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
2,Neotoma devia,60764,-113.6052,31.91752,,False,2,25.32,Mammalia,Rodentia,Cricetidae,203,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bebf53ba5ef6e72611dbb29c918fab2,0bebf53ba5ef6e72611dbb29c918fab2,No,NoDisponible,,,,,,,
34,Neotoma devia,60737,-113.789806,31.628448,,False,2,26.17,Mammalia,Rodentia,Cricetidae,11,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f63f5b9f156fcef2e4112125219ed80,0f63f5b9f156fcef2e4112125219ed80,No,NoDisponible,,,,,,,
35,Neotoma devia,60737,-113.789806,31.628448,,False,2,26.17,Mammalia,Rodentia,Cricetidae,11,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ffa1a7edbdd7b5cd276d1cc7e78dd91,0ffa1a7edbdd7b5cd276d1cc7e78dd91,No,NoDisponible,,,,,,,
3,Neotoma devia,60764,-113.6052,31.91752,,False,2,25.32,Mammalia,Rodentia,Cricetidae,203,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10156ff7fc5e27997f9cb2457304a4b6,10156ff7fc5e27997f9cb2457304a4b6,No,NoDisponible,,,,,,,
8,Neotoma devia,60773,-113.5020164,31.7714116,,False,1,21.49,Mammalia,Rodentia,Cricetidae,1102,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1909cda521c05341cf604fc4ccf70658,1909cda521c05341cf604fc4ccf70658,No,NoDisponible,,,,,,,
9,Neotoma devia,60773,-113.5020164,31.7714116,,False,1,21.49,Mammalia,Rodentia,Cricetidae,1102,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=202012db9f00d97127adb19754969756,202012db9f00d97127adb19754969756,No,NoDisponible,,,,,,,
16,Neotoma devia,60782,-113.3907481,31.8154689,,False,3,28.7,Mammalia,Rodentia,Cricetidae,241,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2aa8b174c94360768efa6ea65a7ce28d,2aa8b174c94360768efa6ea65a7ce28d,Si,NoDisponible,No,No,Si,,,,
36,Neotoma devia,60737,-113.789806,31.628448,,False,2,26.17,Mammalia,Rodentia,Cricetidae,11,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2abd41b4326de90e9f66ff71e4a0b389,2abd41b4326de90e9f66ff71e4a0b389,No,NoDisponible,,,,,,,
4,Neotoma devia,60764,-113.6052,31.91752,,False,2,25.32,Mammalia,Rodentia,Cricetidae,203,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f07f496910242d896457d63c3180b62,2f07f496910242d896457d63c3180b62,No,NoDisponible,,,,,,,
20,Neotoma devia,60699,-113.6025127,31.3893425,,False,2,26.17,Mammalia,Rodentia,Cricetidae,74,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=32cb2b1e3cd02d57bcbe09fb6848a40f,32cb2b1e3cd02d57bcbe09fb6848a40f,No,NoDisponible,,,,,,,
37,Neotoma devia,60737,-113.789806,31.628448,,False,2,26.17,Mammalia,Rodentia,Cricetidae,11,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3367413a796a4d0d6cd91a5aef35dd30,3367413a796a4d0d6cd91a5aef35dd30,No,NoDisponible,,,,,,,
