,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Neotoma goldmani,160806,-100.8366667,22.1366667,,False,4,18.39,Mammalia,Rodentia,Cricetidae,1842,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00673acaf92ec705bce0d8bad3681038,00673acaf92ec705bce0d8bad3681038,Si,NoDisponible,No,Si,Si,,,,
108,Neotoma goldmani,156030,-101.3025,22.385,,False,4,16.04,Mammalia,Rodentia,Cricetidae,2024,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a690831f5af372e12705383d6eef38,00a690831f5af372e12705383d6eef38,No,,,,,,,,
102,Neotoma goldmani,137369,-103.8475,25.8327778,,False,2,6.28,Mammalia,Rodentia,Cricetidae,1309,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04e46d02b909eceda247d5fb491d4630,04e46d02b909eceda247d5fb491d4630,No,,,,,,,,
53,Neotoma goldmani,156449,-101.42222,25.57056,,False,3,7.63,Mammalia,Rodentia,Cricetidae,1187,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08fed49c0c407455c3052cf312927cd4,08fed49c0c407455c3052cf312927cd4,No,,,,,,,,
19,Neotoma goldmani,170384,-99.75,21.0666667,,False,2,0.68,Mammalia,Rodentia,Cricetidae,1725,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=090993707644d5b8e25814b4c1db9b37,090993707644d5b8e25814b4c1db9b37,Si,NoDisponible,No,No,Si,,,,
45,Neotoma goldmani,155984,-101.4878162,22.0894455,,False,4,15.26,Mammalia,Rodentia,Cricetidae,2207,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a17314c75111d2ffe0ecc27b426461f,0a17314c75111d2ffe0ecc27b426461f,Si,NoDisponible,No,Si,Si,,,,
81,Neotoma goldmani,160797,-100.982802,22.324331,,False,4,14.83,Mammalia,Rodentia,Cricetidae,1835,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b1226e82296c1ba33e4512f0159a299,0b1226e82296c1ba33e4512f0159a299,No,,,,,,,,
105,Neotoma goldmani,161005,-100.7247222,23.6541667,,False,4,19.32,Mammalia,Rodentia,Cricetidae,1842,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d7d244097df80422e25a337609aab47,0d7d244097df80422e25a337609aab47,No,,,,,,,,
29,Neotoma goldmani,142038,-103.4224403,25.5135717,,False,2,2.02,Mammalia,Rodentia,Cricetidae,1124,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f6d323bde8bb356f78ae40137d54a56,0f6d323bde8bb356f78ae40137d54a56,No,,,,,,,,
20,Neotoma goldmani,170384,-99.75,21.0666667,,False,2,0.68,Mammalia,Rodentia,Cricetidae,1725,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=100e65346873667b08901051d4a1a522,100e65346873667b08901051d4a1a522,Si,NoDisponible,No,No,Si,,,,
