,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
244,Neotoma lepida,42116,-115.992295,30.691402,,False,4,10.03,Mammalia,Rodentia,Cricetidae,9,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0022d244ff72917a8aa8c1bcce342cee,0022d244ff72917a8aa8c1bcce342cee,No,NoDisponible,,,,,,,
309,Neotoma lepida,42217,-115.6487503,31.1344203,,False,4,11.27,Mammalia,Rodentia,Cricetidae,1386,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004b6b6e0a0fabaf960aceb5a39ee661,004b6b6e0a0fabaf960aceb5a39ee661,No,NoDisponible,,,,,,,
192,Neotoma lepida,91463,-109.7175,23.093611,,False,3,-0.34,Mammalia,Rodentia,Cricetidae,65,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0079aeb4ed1f4ed569f192249c039898,0079aeb4ed1f4ed569f192249c039898,No,NoDisponible,,,,,,,
184,Neotoma lepida,37924,-116.337776,31.2157879,,False,4,9.13,Mammalia,Rodentia,Cricetidae,93,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a4ff68ddd9cb5633bffbfedcb49913,00a4ff68ddd9cb5633bffbfedcb49913,No,NoDisponible,,,,,,,
45,Neotoma lepida,91464,-109.6882556,23.1793278,,False,3,2.09,Mammalia,Rodentia,Cricetidae,67,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ae498e47392e477fdb8384ce6b3021,01ae498e47392e477fdb8384ce6b3021,No,NoDisponible,,,,,,,
0,Neotoma lepida,55829,-114.340015,29.548082,,False,4,14.39,Mammalia,Rodentia,Cricetidae,381,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=030f2637b10e5d21830096d3a6646820,030f2637b10e5d21830096d3a6646820,No,NoDisponible,,,,,,,
46,Neotoma lepida,91464,-109.6882556,23.1793278,,False,3,2.09,Mammalia,Rodentia,Cricetidae,67,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=032b354862e5cc0946d29eade3d83078,032b354862e5cc0946d29eade3d83078,No,NoDisponible,,,,,,,
2,Neotoma lepida,86941,-110.185383,23.386247,,False,4,8.17,Mammalia,Rodentia,Cricetidae,38,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=038cd637e5147001175a68f9fc35a3bd,038cd637e5147001175a68f9fc35a3bd,No,NoDisponible,,,,,,,
6,Neotoma lepida,73614,-111.901515,26.835878,,False,4,10.37,Mammalia,Rodentia,Cricetidae,37,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03ce6844faafff3ed3315586c27011a4,03ce6844faafff3ed3315586c27011a4,No,NoDisponible,,,,,,,
106,Neotoma lepida,86990,-110.223303,23.717204,,False,3,1.93,Mammalia,Rodentia,Cricetidae,266,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0476aadf58da2f1e2fe0f4843d43ee11,0476aadf58da2f1e2fe0f4843d43ee11,No,NoDisponible,,,,,,,
284,Neotoma lepida,38003,-116.2806014,31.9016,,False,4,11.17,Mammalia,Rodentia,Cricetidae,689,Terrestre,1987,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=047d59e189679470a591b75813990059,047d59e189679470a591b75813990059,No,NoDisponible,,,,,,,
154,Neotoma lepida,55679,-113.8669444,28.0502777,,False,4,12.31,Mammalia,Rodentia,Cricetidae,66,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04b98f4957cba18db8c057600ad5a185,04b98f4957cba18db8c057600ad5a185,No,NoDisponible,,,,,,,
245,Neotoma lepida,42116,-115.992295,30.691402,,False,4,10.03,Mammalia,Rodentia,Cricetidae,9,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04eb2cb7fea9d610ce24a46bf1dba796,04eb2cb7fea9d610ce24a46bf1dba796,No,NoDisponible,,,,,,,
202,Neotoma lepida,82398,-110.783333,23.972651,,False,4,8.59,Mammalia,Rodentia,Cricetidae,58,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0540fea997444e7e915e80c8c88525f1,0540fea997444e7e915e80c8c88525f1,No,NoDisponible,,,,,,,
286,Neotoma lepida,55803,-113.9042892,28.8934631,,False,4,14.2,Mammalia,Rodentia,Cricetidae,232,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=054da1ac126f9c041704ac12fedde2b4,054da1ac126f9c041704ac12fedde2b4,No,NoDisponible,,,,,,,
197,Neotoma lepida,91470,-109.65345,23.149987,,False,3,-2.11,Mammalia,Rodentia,Cricetidae,115,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0584c4e890dc991e18e6a790bf70b9e8,0584c4e890dc991e18e6a790bf70b9e8,No,NoDisponible,,,,,,,
10,Neotoma lepida,55759,-114.170256,28.776576,,False,4,10.02,Mammalia,Rodentia,Cricetidae,82,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06424192d9f66b74f0adf7a155d90e63,06424192d9f66b74f0adf7a155d90e63,No,NoDisponible,,,,,,,
123,Neotoma lepida,60228,-113.7199999,27.7324999,,False,4,9.05,Mammalia,Rodentia,Cricetidae,29,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0729feb3e733151422398951af771088,0729feb3e733151422398951af771088,No,NoDisponible,,,,,,,
224,Neotoma lepida,86924,-110.109167,23.046667,,False,3,4.02,Mammalia,Rodentia,Cricetidae,,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0792b7e70207daf0e389723198d69016,0792b7e70207daf0e389723198d69016,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental,,
203,Neotoma lepida,82398,-110.783333,23.972651,,False,4,8.59,Mammalia,Rodentia,Cricetidae,58,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0841fb1905c84ef4826ff1ad864ec63c,0841fb1905c84ef4826ff1ad864ec63c,No,NoDisponible,,,,,,,
44,Neotoma lepida,46977,-115.5170227,32.59972,,False,4,7.56,Mammalia,Rodentia,Cricetidae,1,Terrestre,1894,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0909d18227800fe4933dd15066cfc1f1,0909d18227800fe4933dd15066cfc1f1,No,NoDisponible,,,,,,,
