,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
315,Neotoma leucodon,137484,-103.7763639,26.6628028,,False,2,1.31,Mammalia,Rodentia,Cricetidae,1137,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007b0c00f2f9b2a3d6c5f519c356494d,007b0c00f2f9b2a3d6c5f519c356494d,No,NoDisponible,,,,,,,
371,Neotoma leucodon,137506,-103.740825,26.6919306,,False,2,-0.04,Mammalia,Rodentia,Cricetidae,1151,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e1015b72011c1079634694d9a2ea6c,01e1015b72011c1079634694d9a2ea6c,No,NoDisponible,,,,,,,
244,Neotoma leucodon,137484,-103.7906111,26.6741194,,False,2,1.31,Mammalia,Rodentia,Cricetidae,1124,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e24477f2ea6fa6fe66f144e2e491aa,01e24477f2ea6fa6fe66f144e2e491aa,No,NoDisponible,,,,,,,
566,Neotoma leucodon,166211,-100.5266188,26.6327288,,False,2,1.46,Mammalia,Rodentia,Cricetidae,482,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=021f8d4cecfffabf1748252b721643f6,021f8d4cecfffabf1748252b721643f6,No,NoDisponible,,,,,,,
273,Neotoma leucodon,137484,-103.7765417,26.6620833,,False,2,1.31,Mammalia,Rodentia,Cricetidae,1132,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02f7edcb458e7820f00a1e1bb041d13d,02f7edcb458e7820f00a1e1bb041d13d,No,NoDisponible,,,,,,,
372,Neotoma leucodon,137506,-103.740825,26.6919306,,False,2,-0.04,Mammalia,Rodentia,Cricetidae,1151,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=047c4ffad19583035ab5906dfc9ee3e3,047c4ffad19583035ab5906dfc9ee3e3,No,NoDisponible,,,,,,,
527,Neotoma leucodon,137509,-103.7708444,26.7573917,,False,2,0.79,Mammalia,Rodentia,Cricetidae,1112,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04bdc5ffc373d10e873392fa58e58a35,04bdc5ffc373d10e873392fa58e58a35,No,NoDisponible,,,,,,,
501,Neotoma leucodon,137506,-103.7408222,26.6930694,,False,2,-0.04,Mammalia,Rodentia,Cricetidae,1143,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04ca66f94dd09cd2f34a4f8b5ad6653d,04ca66f94dd09cd2f34a4f8b5ad6653d,No,NoDisponible,,,,,,,
107,Neotoma leucodon,128152,-105.116435,27.05504,,False,3,4.28,Mammalia,Rodentia,Cricetidae,1472,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=053175d517c405c9eec85af01cb890b7,053175d517c405c9eec85af01cb890b7,No,NoDisponible,,,,,,,
316,Neotoma leucodon,137484,-103.7763639,26.6628028,,False,2,1.31,Mammalia,Rodentia,Cricetidae,1137,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06277454674c4ebbd54c0d26e8273c48,06277454674c4ebbd54c0d26e8273c48,No,NoDisponible,,,,,,,
