,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33bf1a75415b65a365d330121a2eceaf,33bf1a75415b65a365d330121a2eceaf,No,NoDisponible,NoDisponible,,,,,,
2,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39108a8fef806dfc0fb32a633c1a60c6,39108a8fef806dfc0fb32a633c1a60c6,No,NoDisponible,NoDisponible,,,,,,
3,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3cdb32ab49fc92d618a9db46d7103e06,3cdb32ab49fc92d618a9db46d7103e06,No,NoDisponible,NoDisponible,,,,,,
12,Neotoma nelsoni,189946,-97.2427778,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=42e368907e524dec6394f5607b344cb6,42e368907e524dec6394f5607b344cb6,No,NoDisponible,NoDisponible,,,,,,
19,Neotoma nelsoni,189946,-97.2427778,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44cf3d9b7f35748af133f0a5b5310c85,44cf3d9b7f35748af133f0a5b5310c85,No,NoDisponible,NoDisponible,,,,,,
13,Neotoma nelsoni,189946,-97.2427778,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4cee3d4f430f2e196346e1cf7278d0e2,4cee3d4f430f2e196346e1cf7278d0e2,No,NoDisponible,NoDisponible,,,,,,
14,Neotoma nelsoni,189946,-97.2427778,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=66a39b2c8f8a74222c5dfb24fb826121,66a39b2c8f8a74222c5dfb24fb826121,No,NoDisponible,NoDisponible,,,,,,
4,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=76980cc7620d8442432ab92fd9c2e6be,76980cc7620d8442432ab92fd9c2e6be,No,NoDisponible,NoDisponible,,,,,,
5,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7ce2b861cb7d0c826f02c6334704462e,7ce2b861cb7d0c826f02c6334704462e,No,NoDisponible,NoDisponible,,,,,,
15,Neotoma nelsoni,189946,-97.2427778,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=84d650958fa0ee5d021c3786d6086933,84d650958fa0ee5d021c3786d6086933,No,NoDisponible,NoDisponible,,,,,,
6,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=89c5d8fa782435cd7ef48852a971a9c0,89c5d8fa782435cd7ef48852a971a9c0,No,NoDisponible,NoDisponible,,,,,,
7,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8ed689e54708a14974725c57c835b512,8ed689e54708a14974725c57c835b512,No,NoDisponible,NoDisponible,,,,,,
8,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9fa0b8f3d282bc657ff2e2499f01a329,9fa0b8f3d282bc657ff2e2499f01a329,No,NoDisponible,NoDisponible,,,,,,
16,Neotoma nelsoni,189946,-97.2427778,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a132ac85b1137c308bbed93861ffd99c,a132ac85b1137c308bbed93861ffd99c,No,NoDisponible,NoDisponible,,,,,,
9,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c59bc5edc3ca7811068b24b3000994b9,c59bc5edc3ca7811068b24b3000994b9,No,NoDisponible,NoDisponible,,,,,,
10,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c99bd620d819d008fab8f31c946d52d3,c99bd620d819d008fab8f31c946d52d3,No,NoDisponible,NoDisponible,,,,,,
11,Neotoma nelsoni,189946,-97.24278,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f2b009c9954f8df4fa6cc5fa0ed19cf6,f2b009c9954f8df4fa6cc5fa0ed19cf6,No,NoDisponible,NoDisponible,,,,,,
17,Neotoma nelsoni,189946,-97.2427778,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f4d15e2e6534fc1b56a9c8895574448c,f4d15e2e6534fc1b56a9c8895574448c,No,NoDisponible,NoDisponible,,,,,,
18,Neotoma nelsoni,189946,-97.2427778,19.56,,True,0,-148.67,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f730e23214a846b09402e6ea747a7af2,f730e23214a846b09402e6ea747a7af2,No,NoDisponible,NoDisponible,,,,,,
0,Neotoma nelsoni,189862,-97.3952006,18.87856,,False,1,53.1,Mammalia,Rodentia,Cricetidae,2455,Terrestre,1951,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=faef7181976dd1c0197e016f0a303a57,faef7181976dd1c0197e016f0a303a57,Si,NoDisponible,NoDisponible,,No,,,,
