,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
64,Notocitellus annulatus,131893,-104.3155556,19.0516667,,False,5,19.99,Mammalia,Rodentia,Sciuridae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=034e27818a2d57da48f558d79761e8a2,034e27818a2d57da48f558d79761e8a2,No,NoDisponible,,,,,,,
72,Notocitellus annulatus,127510,-105.20639,21.81111,,False,5,14.07,Mammalia,Rodentia,Sciuridae,31,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=088ebffafcc7ad08a9ca3a183893d7da,088ebffafcc7ad08a9ca3a183893d7da,No,NoDisponible,,,,,,,
47,Notocitellus annulatus,136508,-103.5110808,18.477248,,False,5,22.38,Mammalia,Rodentia,Sciuridae,61,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09fc0e59e9501a15be9e9e897714a178,09fc0e59e9501a15be9e9e897714a178,No,NoDisponible,,,,,,,
55,Notocitellus annulatus,131893,-104.3156,19.0517,,False,5,19.99,Mammalia,Rodentia,Sciuridae,28,Terrestre,1892,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c328f76f3cf886149e6fd1329ffedf9,0c328f76f3cf886149e6fd1329ffedf9,No,NoDisponible,,,,,,,
3,Notocitellus annulatus,131979,-104.4180527,19.7322214,,False,5,23.09,Mammalia,Rodentia,Sciuridae,1646,Terrestre,1892,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1008f2dce1aabec170426f2056789b08,1008f2dce1aabec170426f2056789b08,No,NoDisponible,,,,,,,
66,Notocitellus annulatus,127477,-104.9005556,21.2369444,,False,4,3.17,Mammalia,Rodentia,Sciuridae,855,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=103ba30bd3786b981235d630a7a6b22c,103ba30bd3786b981235d630a7a6b22c,No,NoDisponible,,,,,,,
16,Notocitellus annulatus,122812,-105.224185,21.165981,,False,5,15.13,Mammalia,Rodentia,Sciuridae,17,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=126a31077dc2b9f11a6a1f1948989980,126a31077dc2b9f11a6a1f1948989980,No,NoDisponible,,,,,,,
26,Notocitellus annulatus,136539,-103.8306666,18.9354999,,False,5,24.94,Mammalia,Rodentia,Sciuridae,40,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=185191231edd08120860005889ad1034,185191231edd08120860005889ad1034,No,NoDisponible,,,,,,,
43,Notocitellus annulatus,136520,-103.930306,18.872472,,False,5,19.07,Mammalia,Rodentia,Sciuridae,19,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c24209bd5556d7621161d7e60f6bc01,1c24209bd5556d7621161d7e60f6bc01,No,NoDisponible,,,,,,,
21,Notocitellus annulatus,136590,-103.865,19.42,,False,5,16.45,Mammalia,Rodentia,Sciuridae,1842,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c579fd226c018aac282c95af6ac89e2,1c579fd226c018aac282c95af6ac89e2,Si,NoDisponible,No,Si,Si,,,,
12,Notocitellus annulatus,136617,-103.622352,19.238503,,False,5,18.18,Mammalia,Rodentia,Sciuridae,583,Terrestre,1952,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d27027ea34948113ee2439e5c822e1e,1d27027ea34948113ee2439e5c822e1e,No,NoDisponible,,,,,,,
17,Notocitellus annulatus,122812,-105.224185,21.165981,,False,5,15.13,Mammalia,Rodentia,Sciuridae,17,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1df1863fe8674dcb965de399b7bd2ee0,1df1863fe8674dcb965de399b7bd2ee0,No,NoDisponible,,,,,,,
82,Notocitellus annulatus,122862,-105.2852778,21.5394444,,False,4,11.79,Mammalia,Rodentia,Sciuridae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e187096880d869a05094d7e6806ae7a,1e187096880d869a05094d7e6806ae7a,No,NoDisponible,,,,,,,
33,Notocitellus annulatus,136612,-103.640759,19.305679,,False,5,19.71,Mammalia,Rodentia,Sciuridae,779,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e30cb30266f75879ed3759627cc2a55,1e30cb30266f75879ed3759627cc2a55,No,NoDisponible,,,,,,,
56,Notocitellus annulatus,131893,-104.3156,19.0517,,False,5,19.99,Mammalia,Rodentia,Sciuridae,28,Terrestre,1892,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e9f77b48eecabb122556845bb4fb403,1e9f77b48eecabb122556845bb4fb403,No,NoDisponible,,,,,,,
18,Notocitellus annulatus,150804,-102.253409,19.015865,,False,5,16.74,Mammalia,Rodentia,Sciuridae,284,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2006f8243953ba16f7b0f246d7c1d221,2006f8243953ba16f7b0f246d7c1d221,No,NoDisponible,,,,,,,
4,Notocitellus annulatus,131979,-104.4180527,19.7322214,,False,5,23.09,Mammalia,Rodentia,Sciuridae,1646,Terrestre,1892,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2062c00b02d9b94a6f91ae93eff78f49,2062c00b02d9b94a6f91ae93eff78f49,No,NoDisponible,,,,,,,
79,Notocitellus annulatus,150719,-101.8019444,17.9805556,,False,4,9.54,Mammalia,Rodentia,Sciuridae,72,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21629f68a93d56b63a4f61201a9e5bc8,21629f68a93d56b63a4f61201a9e5bc8,No,NoDisponible,,,,,,,
14,Notocitellus annulatus,131907,-104.533169,19.246099,,False,5,23.54,Mammalia,Rodentia,Sciuridae,78,Terrestre,1943,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=251759e60b37808609bdfd290d977154,251759e60b37808609bdfd290d977154,No,NoDisponible,,,,,,,
49,Notocitellus annulatus,145886,-102.7565108,18.0728177,,False,5,18.42,Mammalia,Rodentia,Sciuridae,13,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a359470c2a9b7dd81102cc25395e2dd,2a359470c2a9b7dd81102cc25395e2dd,Si,NoDisponible,No,Si,No,,,,
54,Notocitellus annulatus,131980,-104.35471,19.8135038,,False,5,19.14,Mammalia,Rodentia,Sciuridae,982,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3721dc5bf3f77d20568a35bb7ee8596a,3721dc5bf3f77d20568a35bb7ee8596a,No,NoDisponible,,,,,,,
57,Notocitellus annulatus,131893,-104.3156,19.0517,,False,5,19.99,Mammalia,Rodentia,Sciuridae,28,Terrestre,1892,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=41985efa8e34d5061034e683e2367482,41985efa8e34d5061034e683e2367482,No,NoDisponible,,,,,,,
