,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Nyctinomops aurispinosus,136536,-103.93083,19.16667,,False,4,17.76,Mammalia,Chiroptera,Molossidae,263,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09b8f2bfa1932573f3c1920f6a6f4e86,09b8f2bfa1932573f3c1920f6a6f4e86,No,NoDisponible,,,,,,,
1,Nyctinomops aurispinosus,136536,-103.9308333,19.1666666,,False,4,17.76,Mammalia,Chiroptera,Molossidae,263,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4059c422885c74fbbf71166efd2b27fb,4059c422885c74fbbf71166efd2b27fb,No,NoDisponible,,,,,,,
2,Nyctinomops aurispinosus,136536,-103.9308333,19.1666666,,False,4,17.76,Mammalia,Chiroptera,Molossidae,263,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=79d0b93f785acc800022ef07f66c3f60,79d0b93f785acc800022ef07f66c3f60,Si,NoDisponible,No,No,Si,,,,
3,Nyctinomops aurispinosus,136536,-103.9308333,19.1666666,,False,4,17.76,Mammalia,Chiroptera,Molossidae,263,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ae3302860870f06b7b15af03a3ba02bd,ae3302860870f06b7b15af03a3ba02bd,Si,NoDisponible,No,No,Si,,,,
4,Nyctinomops aurispinosus,136536,-103.9327778,19.1666667,,False,4,17.76,Mammalia,Chiroptera,Molossidae,267,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c29a35a5d4e60709ac073139ea7eb03c,c29a35a5d4e60709ac073139ea7eb03c,No,NoDisponible,,,,,,,
5,Nyctinomops aurispinosus,136536,-103.9327778,19.1666667,,False,4,17.76,Mammalia,Chiroptera,Molossidae,267,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d01acd9b8f18cffad6fdf44477c43929,d01acd9b8f18cffad6fdf44477c43929,Si,NoDisponible,No,No,No,,,,
6,Nyctinomops aurispinosus,136542,-103.8988553,19.1346953,,False,4,15.62,Mammalia,Chiroptera,Molossidae,526,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e670bd6734e1b327e8c4fb92bec98e7,0e670bd6734e1b327e8c4fb92bec98e7,No,NoDisponible,,,,,,,
7,Nyctinomops aurispinosus,136542,-103.90083,19.11389,,False,4,15.62,Mammalia,Chiroptera,Molossidae,192,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=286ba91b81ad191965df323066fd80ed,286ba91b81ad191965df323066fd80ed,Si,NoDisponible,No,No,Si,,,,
8,Nyctinomops aurispinosus,136542,-103.90083,19.11389,,False,4,15.62,Mammalia,Chiroptera,Molossidae,192,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3397e99e342e562e286b34c6b9af675c,3397e99e342e562e286b34c6b9af675c,No,NoDisponible,,,,,,,
9,Nyctinomops aurispinosus,136542,-103.90083,19.11389,,False,4,15.62,Mammalia,Chiroptera,Molossidae,192,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=390b88d83e80575cd58fa09fd981d38e,390b88d83e80575cd58fa09fd981d38e,No,NoDisponible,,,,,,,
10,Nyctinomops aurispinosus,136542,-103.90083,19.11389,,False,4,15.62,Mammalia,Chiroptera,Molossidae,192,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fabd3bb215354826b6b1d78e5f2897c,3fabd3bb215354826b6b1d78e5f2897c,No,NoDisponible,,,,,,,
