,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
613,Oligoryzomys fulvescens,185272,-97.9369444,22.3958333,,False,4,9.24,Mammalia,Rodentia,Cricetidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00892c60fd4510c3e38553800cf929b1,00892c60fd4510c3e38553800cf929b1,No,NoDisponible,,,,,,,
591,Oligoryzomys fulvescens,204206,-95.5305556,16.6855556,,False,4,8.91,Mammalia,Rodentia,Cricetidae,831,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a21201874c6b87d119419ca8dc7380,00a21201874c6b87d119419ca8dc7380,No,NoDisponible,,,,,,,
405,Oligoryzomys fulvescens,175431,-99.383603,22.586228,,False,4,9.31,Mammalia,Rodentia,Cricetidae,450,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014e0aff65670a886e46a9f36b98cb1b,014e0aff65670a886e46a9f36b98cb1b,Si,NoDisponible,No,No,Si,,,,
509,Oligoryzomys fulvescens,226533,-92.8472222,15.4783333,,False,5,20.94,Mammalia,Rodentia,Cricetidae,194,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c3ae9fd3604b51e01de81bd2c8b7ba,01c3ae9fd3604b51e01de81bd2c8b7ba,No,NoDisponible,,,,,,,
109,Oligoryzomys fulvescens,235024,-91.7325,16.1313889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1487,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01fa32c326edcff69bfbbcdaa39a2bd4,01fa32c326edcff69bfbbcdaa39a2bd4,No,NoDisponible,,,,,,,
531,Oligoryzomys fulvescens,235170,-91.6544722,17.1153627,,False,5,21.66,Mammalia,Rodentia,Cricetidae,614,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03ba920593cdefbec196f3798a30d60e,03ba920593cdefbec196f3798a30d60e,No,NoDisponible,,,,,,,
3,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044672a0f0f48f99a4daaf07b722bcb1,044672a0f0f48f99a4daaf07b722bcb1,No,NoDisponible,,,,,,,
508,Oligoryzomys fulvescens,226533,-92.8494444,15.4791666,,False,5,20.94,Mammalia,Rodentia,Cricetidae,195,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044f81c6a303a6ad5fc531bc1227933b,044f81c6a303a6ad5fc531bc1227933b,No,NoDisponible,,,,,,,
600,Oligoryzomys fulvescens,132114,-104.6236111,21.1613889,,False,4,9.61,Mammalia,Rodentia,Cricetidae,826,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04bc6cda5ccfefc227907ac713bc59dc,04bc6cda5ccfefc227907ac713bc59dc,Si,NoDisponible,No,No,Si,,,,
4,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04bd5df9f6ce7e4e7dd101fdc9efa9e6,04bd5df9f6ce7e4e7dd101fdc9efa9e6,No,NoDisponible,,,,,,,
658,Oligoryzomys fulvescens,256932,-88.7513889,20.9025,,False,4,16.5,Mammalia,Rodentia,Cricetidae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06363666f92f44f7891ad4512ff9deef,06363666f92f44f7891ad4512ff9deef,No,NoDisponible,,,,,,,
5,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06b3607008d600ce32fe1e93af533096,06b3607008d600ce32fe1e93af533096,No,NoDisponible,,,,,,,
661,Oligoryzomys fulvescens,194888,-97.0580556,19.4213889,,False,5,20.66,Mammalia,Rodentia,Cricetidae,1722,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06ffe4a0331842cca8c6b8f1ba8157d2,06ffe4a0331842cca8c6b8f1ba8157d2,No,NoDisponible,,,,,,,
246,Oligoryzomys fulvescens,235024,-91.7325,16.1313889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1487,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=070d09534d524e8ecdd3beb26c9e4062,070d09534d524e8ecdd3beb26c9e4062,No,NoDisponible,,,,,,,
2,Oligoryzomys fulvescens,235024,-91.7255556,16.1305556,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1557,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0719ea3e76f7fb005c6ee97c4c8061d1,0719ea3e76f7fb005c6ee97c4c8061d1,No,NoDisponible,,,,,,,
486,Oligoryzomys fulvescens,239414,-91.06914,18.085953,,False,4,18.08,Mammalia,Rodentia,Cricetidae,77,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=082e7324ee8d095fcd3d07c995ca0442,082e7324ee8d095fcd3d07c995ca0442,No,NoDisponible,,,,,,,
646,Oligoryzomys fulvescens,243719,-90.7361111,18.8233333,,False,4,13.57,Mammalia,Rodentia,Cricetidae,79,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=083544980a66de228544b0ba10d864f8,083544980a66de228544b0ba10d864f8,No,NoDisponible,,,,,,,
433,Oligoryzomys fulvescens,231081,-92.1166666,18.1333333,,False,5,21.37,Mammalia,Rodentia,Cricetidae,10,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0835760b8ef16d82cf5f129560fd62a7,0835760b8ef16d82cf5f129560fd62a7,No,NoDisponible,,,,,,,
377,Oligoryzomys fulvescens,235081,-91.8086111,16.4805555,,False,5,26.99,Mammalia,Rodentia,Cricetidae,2135,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08464509653bebcbaa151275d3248569,08464509653bebcbaa151275d3248569,No,NoDisponible,,,,,,,
456,Oligoryzomys fulvescens,239541,-91.1,19.05,,False,4,12.37,Mammalia,Rodentia,Cricetidae,26,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08518051ab6c812879b194bd3811c609,08518051ab6c812879b194bd3811c609,Si,NoDisponible,No,Si,Si,,,,
110,Oligoryzomys fulvescens,235024,-91.7325,16.1313889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1487,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=086ab3f6d991a105f8f61a9809ca5f51,086ab3f6d991a105f8f61a9809ca5f51,No,NoDisponible,,,,,,,
415,Oligoryzomys fulvescens,136634,-103.593061,19.529825,,False,4,1.92,Mammalia,Rodentia,Cricetidae,2980,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08933cd1bf477402c095a4232e45469b,08933cd1bf477402c095a4232e45469b,No,NoDisponible,,,,,,,
506,Oligoryzomys fulvescens,226533,-92.8458333,15.4791666,,False,5,20.94,Mammalia,Rodentia,Cricetidae,195,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08fe6b1e8916e5245decba7a47a68065,08fe6b1e8916e5245decba7a47a68065,No,NoDisponible,,,,,,,
623,Oligoryzomys fulvescens,235068,-91.4508333,16.2511111,,False,5,22.31,Mammalia,Rodentia,Cricetidae,719,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0905384bd5cdfe8ec64d0fb1d9023b86,0905384bd5cdfe8ec64d0fb1d9023b86,No,NoDisponible,,,,,,,
247,Oligoryzomys fulvescens,235024,-91.7325,16.1313889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1487,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=096201f06771344907583582ae1c0600,096201f06771344907583582ae1c0600,No,NoDisponible,,,,,,,
134,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09bef2107cb9317841ded372d013937f,09bef2107cb9317841ded372d013937f,No,NoDisponible,,,,,,,
6,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09cb8a341c13c3d046369f7b6ec22907,09cb8a341c13c3d046369f7b6ec22907,No,NoDisponible,,,,,,,
103,Oligoryzomys fulvescens,235024,-91.7247222,16.1272222,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1500,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09fec4be3d33b659ba5d42fbb443cb08,09fec4be3d33b659ba5d42fbb443cb08,No,NoDisponible,,,,,,,
394,Oligoryzomys fulvescens,226766,-92.9529518,17.796,,False,5,19.81,Mammalia,Rodentia,Cricetidae,10,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2b943f9f5c116b9360c416fdb9c599,0a2b943f9f5c116b9360c416fdb9c599,No,NoDisponible,,,,,,,
643,Oligoryzomys fulvescens,170747,-99.4966667,23.7438889,,True,2,-21.1,Mammalia,Rodentia,Cricetidae,1404,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a3e5ca9ccc8ef6962e05f31cefaac36,0a3e5ca9ccc8ef6962e05f31cefaac36,Si,NoDisponible,No,No,Si,,,,
303,Oligoryzomys fulvescens,199502,-96.4108333,17.2188889,,False,4,6.37,Mammalia,Rodentia,Cricetidae,2313,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a42b41d7271ba8b2a26f7ddf8c340f3,0a42b41d7271ba8b2a26f7ddf8c340f3,No,NoDisponible,,,,,,,
437,Oligoryzomys fulvescens,226652,-92.9,16.83,,False,4,11.5,Mammalia,Rodentia,Cricetidae,1121,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a577da75db4dfe109541a26299607c8,0a577da75db4dfe109541a26299607c8,No,NoDisponible,,,,,,,
135,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ab7af25d1c187de4679647a6c850f4b,0ab7af25d1c187de4679647a6c850f4b,No,NoDisponible,,,,,,,
136,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ac5905681ef56ed19813ba784dbd44d,0ac5905681ef56ed19813ba784dbd44d,No,NoDisponible,,,,,,,
349,Oligoryzomys fulvescens,199567,-96.3274639,17.6841056,,False,5,25.74,Mammalia,Rodentia,Cricetidae,917,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b25a2e16781ea8767d44ecc079b9933,0b25a2e16781ea8767d44ecc079b9933,Si,NoDisponible,No,No,Si,,,,
443,Oligoryzomys fulvescens,226652,-92.9,16.8333333,,False,4,11.5,Mammalia,Rodentia,Cricetidae,1116,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b65b2553f525777aecf217ea46fb6cf,0b65b2553f525777aecf217ea46fb6cf,No,NoDisponible,,,,,,,
667,Oligoryzomys fulvescens,226690,-93.1,17.1166667,,False,7,45.07,Mammalia,Rodentia,Cricetidae,752,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ba4ec31d2d4859ca34e35cb85755930,0ba4ec31d2d4859ca34e35cb85755930,No,NoDisponible,,,,,,,
444,Oligoryzomys fulvescens,226652,-92.9,16.8333333,,False,4,11.5,Mammalia,Rodentia,Cricetidae,1116,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c153c992eb9b602d030f499fc5cfbe7,0c153c992eb9b602d030f499fc5cfbe7,No,NoDisponible,,,,,,,
631,Oligoryzomys fulvescens,243772,-90.3069444,19.0102778,,False,4,11.78,Mammalia,Rodentia,Cricetidae,54,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c49db4ce34a4d6b2b46bf07b352c492,0c49db4ce34a4d6b2b46bf07b352c492,No,NoDisponible,,,,,,,
137,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0caae48dd91601ea711805f9f007366a,0caae48dd91601ea711805f9f007366a,No,NoDisponible,,,,,,,
7,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e02e80c393bdc7d05ac561751e35588,0e02e80c393bdc7d05ac561751e35588,No,NoDisponible,,,,,,,
480,Oligoryzomys fulvescens,247965,-90.104771,18.565714,,False,4,12.08,Mammalia,Rodentia,Cricetidae,117,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e14b76ef035e1a64ef8b205c9230b54,0e14b76ef035e1a64ef8b205c9230b54,No,NoDisponible,,,,,,,
8,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e9b748571464353b7a0223845276a1d,0e9b748571464353b7a0223845276a1d,No,NoDisponible,,,,,,,
481,Oligoryzomys fulvescens,247965,-90.104771,18.565714,,False,4,12.08,Mammalia,Rodentia,Cricetidae,117,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eace7f663d60260c4a670a0e765a865,0eace7f663d60260c4a670a0e765a865,No,NoDisponible,,,,,,,
656,Oligoryzomys fulvescens,136574,-103.5972222,19.1719444,,False,4,5.6,Mammalia,Rodentia,Cricetidae,513,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fc39d3f367096b5a258eadba4b52e5a,0fc39d3f367096b5a258eadba4b52e5a,No,NoDisponible,,,,,,,
111,Oligoryzomys fulvescens,235024,-91.7325,16.1313889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1487,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=114179720db7b08d81ac88cc4a83d4a8,114179720db7b08d81ac88cc4a83d4a8,No,NoDisponible,,,,,,,
335,Oligoryzomys fulvescens,194896,-96.9361111,19.4402778,,False,5,26.4,Mammalia,Rodentia,Cricetidae,1115,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1147bc0cf023c529f130b1df0cd398af,1147bc0cf023c529f130b1df0cd398af,No,NoDisponible,,,,,,,
471,Oligoryzomys fulvescens,235157,-91.958618,17.432423,,False,4,18.99,Mammalia,Rodentia,Cricetidae,445,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12488d222cfa37c1699dfbb189a478a7,12488d222cfa37c1699dfbb189a478a7,No,NoDisponible,,,,,,,
659,Oligoryzomys fulvescens,256932,-88.7513889,20.9025,,False,4,16.5,Mammalia,Rodentia,Cricetidae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=127f8b8f2fdea13a50b3774465decf60,127f8b8f2fdea13a50b3774465decf60,No,NoDisponible,,,,,,,
644,Oligoryzomys fulvescens,170747,-99.4966667,23.7438889,,True,2,-21.1,Mammalia,Rodentia,Cricetidae,1404,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=130d44907f1a8a5ba8a2dfa056b0b757,130d44907f1a8a5ba8a2dfa056b0b757,Si,NoDisponible,No,No,Si,,,,
653,Oligoryzomys fulvescens,194909,-97.0088889,19.5869444,,False,4,18,Mammalia,Rodentia,Cricetidae,2022,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13246441ef2c46b9cad6f06b3197be31,13246441ef2c46b9cad6f06b3197be31,No,NoDisponible,,,,,,,
138,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=133a6bd8ed4071445fd56f2a8e37ff5c,133a6bd8ed4071445fd56f2a8e37ff5c,No,NoDisponible,,,,,,,
604,Oligoryzomys fulvescens,170918,-99.6833333,25.2577778,,False,3,-3.05,Mammalia,Rodentia,Cricetidae,307,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1378e3cd6a9ce477bd0ca9b398bb44e0,1378e3cd6a9ce477bd0ca9b398bb44e0,No,NoDisponible,,,,,,,
139,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13c80b6c58eec656cb7da67ed6346939,13c80b6c58eec656cb7da67ed6346939,No,NoDisponible,,,,,,,
9,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13d13e34051cbdf4b8985011c45256f3,13d13e34051cbdf4b8985011c45256f3,No,NoDisponible,,,,,,,
326,Oligoryzomys fulvescens,194894,-96.9716667,19.3852778,,False,5,19.13,Mammalia,Rodentia,Cricetidae,1177,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13d71e2fe106cd0895e7aea3792542b7,13d71e2fe106cd0895e7aea3792542b7,No,NoDisponible,,,,,,,
140,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1424133b96bce043a761b1fa8e88b83a,1424133b96bce043a761b1fa8e88b83a,No,NoDisponible,,,,,,,
10,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14592c824164cecd2f165c67bef90beb,14592c824164cecd2f165c67bef90beb,No,NoDisponible,,,,,,,
385,Oligoryzomys fulvescens,218107,-93.716667,16.7333333,,False,4,13.48,Mammalia,Rodentia,Cricetidae,720,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1496435a7ada1b50edc83845426c77e4,1496435a7ada1b50edc83845426c77e4,No,NoDisponible,,,,,,,
310,Oligoryzomys fulvescens,199561,-96.3899694,17.6044389,,False,6,38.34,Mammalia,Rodentia,Cricetidae,1544,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14edfc7215a89a1f68081a8830a362d5,14edfc7215a89a1f68081a8830a362d5,Si,NoDisponible,No,No,Si,,,,
130,Oligoryzomys fulvescens,235024,-91.7069444,16.1060833,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1515,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=154d4e570bbe6e4525a9ae8f5be4f001,154d4e570bbe6e4525a9ae8f5be4f001,No,NoDisponible,,,,,,,
248,Oligoryzomys fulvescens,235024,-91.7325,16.1313889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1487,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15fea4543736c26ac631965c4031cb4f,15fea4543736c26ac631965c4031cb4f,No,NoDisponible,,,,,,,
304,Oligoryzomys fulvescens,199502,-96.4108333,17.2188889,,False,4,6.37,Mammalia,Rodentia,Cricetidae,2313,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16980cdf03562dd7c71486b44adf860f,16980cdf03562dd7c71486b44adf860f,No,NoDisponible,,,,,,,
434,Oligoryzomys fulvescens,239533,-90.98,18.8,,False,4,12.91,Mammalia,Rodentia,Cricetidae,21,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16c3950a208e0191b907b3cdcd9bc4a8,16c3950a208e0191b907b3cdcd9bc4a8,No,NoDisponible,,,,,,,
487,Oligoryzomys fulvescens,239414,-91.06914,18.085953,,False,4,18.08,Mammalia,Rodentia,Cricetidae,77,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16f4e0712e64d35cbe5e32896271e304,16f4e0712e64d35cbe5e32896271e304,No,NoDisponible,,,,,,,
556,Oligoryzomys fulvescens,199362,-96.53111,16.01806,,False,5,30.58,Mammalia,Rodentia,Cricetidae,1411,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=172d2569848c2f331b157642d6dee915,172d2569848c2f331b157642d6dee915,No,NoDisponible,,,,,,,
432,Oligoryzomys fulvescens,231081,-92.12,18.13,,False,5,21.37,Mammalia,Rodentia,Cricetidae,18,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18d206f6775a54c08c3756a9c59ab3ab,18d206f6775a54c08c3756a9c59ab3ab,No,NoDisponible,,,,,,,
11,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18da2d00b2595f472d87fd0ab713be16,18da2d00b2595f472d87fd0ab713be16,No,NoDisponible,,,,,,,
534,Oligoryzomys fulvescens,194822,-97.1036,18.8497,,False,5,22.06,Mammalia,Rodentia,Cricetidae,1255,Terrestre,1894,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19a0590b56bf071f2353b9fec11ed486,19a0590b56bf071f2353b9fec11ed486,No,NoDisponible,,,,,,,
249,Oligoryzomys fulvescens,235024,-91.7325,16.1313889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1487,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a08fd1e564553820b475203827568d0,1a08fd1e564553820b475203827568d0,No,NoDisponible,,,,,,,
141,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a6a91cdcef801e09a05bdaf177a671f,1a6a91cdcef801e09a05bdaf177a671f,No,NoDisponible,,,,,,,
12,Oligoryzomys fulvescens,235024,-91.7277778,16.1338889,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1479,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ac2fce12f90339430dbfb01f8220096,1ac2fce12f90339430dbfb01f8220096,No,NoDisponible,,,,,,,
142,Oligoryzomys fulvescens,235024,-91.7258333,16.1352778,,False,5,24.26,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ade832a715d620b8580712eee18d25b,1ade832a715d620b8580712eee18d25b,No,NoDisponible,,,,,,,
