,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
185,Onychomys torridus,161010,-100.8317426,23.8181118,,True,4,-8.57,Mammalia,Rodentia,Cricetidae,1900,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004a4da53e535b7719f0e1ff429efe51,004a4da53e535b7719f0e1ff429efe51,Si,NoDisponible,No,No,Si,,,,
339,Onychomys torridus,132336,-104.1002778,22.64,,True,4,-5.93,Mammalia,Rodentia,Cricetidae,1197,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005ff677db9cc6078cb2eec604b55de7,005ff677db9cc6078cb2eec604b55de7,Si,NoDisponible,No,No,Si,,,,
360,Onychomys torridus,161003,-100.6436111,23.4622222,,True,4,-6.79,Mammalia,Rodentia,Cricetidae,1498,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ee526b452a48b8a166183e6723e9f9,00ee526b452a48b8a166183e6723e9f9,Si,NoDisponible,No,No,Si,,,,
354,Onychomys torridus,119190,-106.3333333,29.6166667,,False,5,2.55,Mammalia,Rodentia,Cricetidae,1582,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=016a62bc724dbe15f4a2bc3e58b93c19,016a62bc724dbe15f4a2bc3e58b93c19,Si,NoDisponible,No,No,Si,,,,
229,Onychomys torridus,83090,-110.9210996,29.487098,,False,5,8.93,Mammalia,Rodentia,Cricetidae,368,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=026d6e11d3581e3591b3698618793701,026d6e11d3581e3591b3698618793701,No,NoDisponible,,,,,,,
355,Onychomys torridus,127851,-104.7016667,24.0016667,,True,4,-1.94,Mammalia,Rodentia,Cricetidae,1893,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02f3be1f2a410845c1c881fa189adda2,02f3be1f2a410845c1c881fa189adda2,Si,NoDisponible,No,No,Si,,,,
245,Onychomys torridus,119115,-106.0889,28.6353,,False,5,0.83,Mammalia,Rodentia,Cricetidae,1424,Terrestre,1893,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031c1cd24f1a4e7b9b1ffa5d6b5c7528,031c1cd24f1a4e7b9b1ffa5d6b5c7528,Si,NoDisponible,No,No,Si,,,,
90,Onychomys torridus,69601,-112.3344131,30.6431681,,False,5,6.16,Mammalia,Rodentia,Cricetidae,209,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03da0effdeddb64cbea97f8a91641e56,03da0effdeddb64cbea97f8a91641e56,No,NoDisponible,,,,,,,
300,Onychomys torridus,123683,-105.3619444,28.1469444,,False,5,1.12,Mammalia,Rodentia,Cricetidae,1196,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=043522cf37625ff56917b76014c904d9,043522cf37625ff56917b76014c904d9,Si,NoDisponible,No,No,Si,,,,
249,Onychomys torridus,109587,-107.3844,24.7992,,False,5,-0.51,Mammalia,Rodentia,Cricetidae,70,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044bf2634398b08eb64c7647b08d11b0,044bf2634398b08eb64c7647b08d11b0,No,NoDisponible,,,,,,,
25,Onychomys torridus,92012,-109.2588881,27.2250003,,False,5,5.15,Mammalia,Rodentia,Cricetidae,70,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=049113dd59dd06f5885cf0980ed0ecbe,049113dd59dd06f5885cf0980ed0ecbe,No,NoDisponible,,,,,,,
75,Onychomys torridus,78634,-111.0473201,29.704092,,False,5,5.95,Mammalia,Rodentia,Cricetidae,527,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04ae26817c24f87cc08a42cd071c86da,04ae26817c24f87cc08a42cd071c86da,No,NoDisponible,,,,,,,
328,Onychomys torridus,156046,-101.5977778,22.6275,,True,4,-5.96,Mammalia,Rodentia,Cricetidae,2165,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=055878b1cca7828568ba2afce420d385,055878b1cca7828568ba2afce420d385,Si,NoDisponible,No,No,Si,,,,
199,Onychomys torridus,105791,-107.573996,30.065326,,False,5,1.97,Mammalia,Rodentia,Cricetidae,1448,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=058576b1c60c1c5036403acdcf5946b0,058576b1c60c1c5036403acdcf5946b0,Si,NoDisponible,No,No,Si,,,,
285,Onychomys torridus,123506,-105.4308333,26.9308333,,False,5,0.01,Mammalia,Rodentia,Cricetidae,1646,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=065987c8498790b507b920c5bceacfd7,065987c8498790b507b920c5bceacfd7,Si,NoDisponible,No,No,Si,,,,
307,Onychomys torridus,127922,-104.9011111,24.8613889,,True,4,-1.88,Mammalia,Rodentia,Cricetidae,1952,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0663a1bda08e0354f21e31c2f6d506b8,0663a1bda08e0354f21e31c2f6d506b8,Si,NoDisponible,No,No,Si,,,,
335,Onychomys torridus,127861,-104.9011111,24.4113889,,True,4,-10.43,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06c325ad7686e7aa5e45f9b4ab0f3f66,06c325ad7686e7aa5e45f9b4ab0f3f66,Si,NoDisponible,No,No,Si,,,,
149,Onychomys torridus,42227,-115.7333333,31.3666666,,False,5,1.52,Mammalia,Rodentia,Cricetidae,764,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071146fba902c185582c228b7e79329b,071146fba902c185582c228b7e79329b,No,NoDisponible,,,,,,,
22,Onychomys torridus,60688,-113.55194,31.30273,,False,5,5.39,Mammalia,Rodentia,Cricetidae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07a874133fc4f9a24dca6db4168e3251,07a874133fc4f9a24dca6db4168e3251,Si,NoDisponible,No,Si,Si,,,,
159,Onychomys torridus,161007,-100.635155,23.597,,True,4,-8.34,Mammalia,Rodentia,Cricetidae,1490,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07b84a4f9f89d084c50f438f438e121f,07b84a4f9f89d084c50f438f438e121f,Si,NoDisponible,No,No,Si,,,,
80,Onychomys torridus,78634,-111.0666666,29.7133333,,False,5,5.95,Mammalia,Rodentia,Cricetidae,580,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07d6d8c30da5fa4cc780163f30141061,07d6d8c30da5fa4cc780163f30141061,No,NoDisponible,,,,,,,
288,Onychomys torridus,114809,-106.4355556,30.3977778,,False,5,1.71,Mammalia,Rodentia,Cricetidae,1434,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0801a16f21ac6033dce33039263f963e,0801a16f21ac6033dce33039263f963e,Si,NoDisponible,No,No,Si,,,,
