,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
78,Orthogeomys hispidus,230976,-91.9916667,17.525,,False,5,17.78,Mammalia,Rodentia,Geomyidae,78,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a2ec33801a8f004eef592bcbb1df49,01a2ec33801a8f004eef592bcbb1df49,No,NoDisponible,,,,,,,
297,Orthogeomys hispidus,260959,-88.3052778,18.5036111,,False,5,17.81,Mammalia,Rodentia,Geomyidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01da4f0266fae7739bf780d3bd63d18b,01da4f0266fae7739bf780d3bd63d18b,No,NoDisponible,,,,,,,
353,Orthogeomys hispidus,175522,-99.1541667,23.0461111,,False,5,10.85,Mammalia,Rodentia,Geomyidae,379,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=028807bbfa8608459c19ee32f6c5381a,028807bbfa8608459c19ee32f6c5381a,No,NoDisponible,,,,,,,
112,Orthogeomys hispidus,222495,-93.452,16.891,,False,5,18.03,Mammalia,Rodentia,Geomyidae,942,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=038d24aea8804e4f7ce79d74b6a236df,038d24aea8804e4f7ce79d74b6a236df,No,NoDisponible,,,,,,,
288,Orthogeomys hispidus,194908,-96.9091667,19.5380556,,False,5,18.6,Mammalia,Rodentia,Geomyidae,1423,Terrestre,1941,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06042628b55458cd16f57b7dc4e57f8b,06042628b55458cd16f57b7dc4e57f8b,No,NoDisponible,,,,,,,
186,Orthogeomys hispidus,194856,-96.8,18.8905555,,False,5,27.44,Mammalia,Rodentia,Geomyidae,527,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0688255390cae0f1d772c903ba589d0b,0688255390cae0f1d772c903ba589d0b,Si,NoDisponible,No,No,Si,,,,
371,Orthogeomys hispidus,261288,-88.1744444,21.0188889,,False,5,18.38,Mammalia,Rodentia,Geomyidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0720d9188be315951e16b00929c36f57,0720d9188be315951e16b00929c36f57,Si,NoDisponible,No,No,Si,,,,
335,Orthogeomys hispidus,190021,-97.67778,20.4375,,False,5,20.07,Mammalia,Rodentia,Geomyidae,330,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=077182b2a4317ac18ab30363f8fb9007,077182b2a4317ac18ab30363f8fb9007,No,NoDisponible,,,,,,,
238,Orthogeomys hispidus,199661,-96.135,18.2405555,,False,5,17.4,Mammalia,Rodentia,Geomyidae,48,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=079f91120d83af07c7253ee21361c434,079f91120d83af07c7253ee21361c434,No,NoDisponible,,,,,,,
187,Orthogeomys hispidus,194856,-96.8,18.8905555,,False,5,27.44,Mammalia,Rodentia,Geomyidae,527,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07b51adfbe91598b0a5c6777e64c846a,07b51adfbe91598b0a5c6777e64c846a,Si,NoDisponible,No,No,Si,,,,
188,Orthogeomys hispidus,194856,-96.8,18.8905555,,False,5,27.44,Mammalia,Rodentia,Geomyidae,527,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07df65aa58b0cf1ec2b41b0eb68b92ea,07df65aa58b0cf1ec2b41b0eb68b92ea,Si,NoDisponible,No,No,Si,,,,
189,Orthogeomys hispidus,194856,-96.8,18.8905555,,False,5,27.44,Mammalia,Rodentia,Geomyidae,527,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08854771e9d41d059da4dcbecd75c9f2,08854771e9d41d059da4dcbecd75c9f2,Si,NoDisponible,No,No,Si,,,,
293,Orthogeomys hispidus,261300,-88.15083,21.14222,,False,5,17.63,Mammalia,Rodentia,Geomyidae,24,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=089920a103c50abf66a23d78e71b7024,089920a103c50abf66a23d78e71b7024,Si,NoDisponible,No,No,Si,,,,
147,Orthogeomys hispidus,247965,-90.104771,18.565714,,False,5,13.47,Mammalia,Rodentia,Geomyidae,117,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09ccbf935f0f1deaf47984763cc5e6ba,09ccbf935f0f1deaf47984763cc5e6ba,No,NoDisponible,,,,,,,
270,Orthogeomys hispidus,230876,-92.3458333,16.7875,,False,5,19.17,Mammalia,Rodentia,Geomyidae,1984,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a07fc6cc9a3bd837593fce9a0459e30,0a07fc6cc9a3bd837593fce9a0459e30,No,NoDisponible,,,,,,,
261,Orthogeomys hispidus,230876,-92.3458333,16.7874999,,False,5,19.17,Mammalia,Rodentia,Geomyidae,1984,Terrestre,2000,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b171301f4ba3f146d8345b88f7098fb,0b171301f4ba3f146d8345b88f7098fb,No,NoDisponible,,,,,,,
336,Orthogeomys hispidus,256958,-88.62111,21.26917,,False,5,16.77,Mammalia,Rodentia,Geomyidae,17,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ba86e093febc4de47e9b817df2e704e,0ba86e093febc4de47e9b817df2e704e,Si,NoDisponible,No,No,Si,,,,
79,Orthogeomys hispidus,230976,-91.9916667,17.525,,False,5,17.78,Mammalia,Rodentia,Geomyidae,78,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bf3a78b8479923ba5002726f67137cf,0bf3a78b8479923ba5002726f67137cf,No,NoDisponible,,,,,,,
173,Orthogeomys hispidus,204379,-95.7952777,18.365,,False,5,16.92,Mammalia,Rodentia,Geomyidae,22,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c29bc81a33fe27598f4d157884591e1,0c29bc81a33fe27598f4d157884591e1,No,NoDisponible,,,,,,,
321,Orthogeomys hispidus,194894,-96.9638889,19.4322222,,False,5,16.11,Mammalia,Rodentia,Geomyidae,1141,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c677b2ab4ce100185e095239a470812,0c677b2ab4ce100185e095239a470812,Si,NoDisponible,No,No,Si,,,,
358,Orthogeomys hispidus,256922,-88.9397222,21.1494444,,False,5,12.37,Mammalia,Rodentia,Geomyidae,18,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0caebb70d00a96b8ae6a1f5d6d2dd244,0caebb70d00a96b8ae6a1f5d6d2dd244,Si,NoDisponible,No,No,Si,,,,
329,Orthogeomys hispidus,256794,-88.9213889,20.1255556,,False,5,13.9,Mammalia,Rodentia,Geomyidae,38,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d3835bb0506ed680c032d329d2d431a,0d3835bb0506ed680c032d329d2d431a,No,NoDisponible,,,,,,,
136,Orthogeomys hispidus,239541,-91.1,19.05,,False,5,13.19,Mammalia,Rodentia,Geomyidae,26,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d5d3d6e7214305acb7be0b7da1e835b,0d5d3d6e7214305acb7be0b7da1e835b,Si,NoDisponible,No,No,Si,,,,
160,Orthogeomys hispidus,194824,-97.0225,18.87,,False,5,16.12,Mammalia,Rodentia,Geomyidae,991,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e55be635613400e854d9fc17522b098,0e55be635613400e854d9fc17522b098,Si,NoDisponible,No,No,Si,,,,
296,Orthogeomys hispidus,260959,-88.3053,18.5036,,False,5,17.81,Mammalia,Rodentia,Geomyidae,15,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ea0c5769bfc6dc8fab3550d02c4e1e3,0ea0c5769bfc6dc8fab3550d02c4e1e3,No,NoDisponible,,,,,,,
128,Orthogeomys hispidus,261098,-88.1,19.2833333,,False,5,18.59,Mammalia,Rodentia,Geomyidae,18,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f1894e50589adf2a488e3fab7ef0990,0f1894e50589adf2a488e3fab7ef0990,No,NoDisponible,,,,,,,
337,Orthogeomys hispidus,256895,-88.57134,20.684,,False,5,17.29,Mammalia,Rodentia,Geomyidae,31,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fdbd35477ddb421920f8783a3adfc46,0fdbd35477ddb421920f8783a3adfc46,No,NoDisponible,,,,,,,
148,Orthogeomys hispidus,247965,-90.104771,18.565714,,False,5,13.47,Mammalia,Rodentia,Geomyidae,117,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10210c96b10c6d39d0b5013808908a0a,10210c96b10c6d39d0b5013808908a0a,No,NoDisponible,,,,,,,
