,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
56,Oryzomys albiventer,33028,-104.3537262,21.029266,,False,5,25.43,Mammalia,Rodentia,Cricetidae,1103,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009ee43a9d724f8e676bea2830a64f96,009ee43a9d724f8e676bea2830a64f96,No,NoDisponible,Si,,No,,,,
17,Oryzomys albiventer,31812,-105.0163889,19.4002778,,False,1,11.01,Mammalia,Rodentia,Cricetidae,17,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06c0fde20aa6dda39221f2cdb3d437b1,06c0fde20aa6dda39221f2cdb3d437b1,No,NoDisponible,Si,,,,,,
63,Oryzomys albiventer,36542,-102.5820111,20.1389639,,False,3,18.33,Mammalia,Rodentia,Cricetidae,1525,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f5a6dbb223c2a2b317895ba897778d9,0f5a6dbb223c2a2b317895ba897778d9,No,NoDisponible,Si,,No,,,,
69,Oryzomys albiventer,38947,-101.5801639,20.2861556,,False,2,14.42,Mammalia,Rodentia,Cricetidae,1693,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=128123cc4f949eb9a91fd73052f873c5,128123cc4f949eb9a91fd73052f873c5,No,NoDisponible,Si,,No,,,,
25,Oryzomys albiventer,34181,-104.0008333,20.5430556,,False,5,27.72,Mammalia,Rodentia,Cricetidae,1241,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16f7293116da35585b28fca8c751c99e,16f7293116da35585b28fca8c751c99e,No,NoDisponible,Si,,,,,,
46,Oryzomys albiventer,35317,-103.3788116,19.0409436,,False,1,9.87,Mammalia,Rodentia,Cricetidae,379,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1797e1faa2f45e4c51665e872049e5a8,1797e1faa2f45e4c51665e872049e5a8,No,NoDisponible,Si,,,,,,
0,Oryzomys albiventer,31812,-105.0105556,19.3888889,,False,1,11.01,Mammalia,Rodentia,Cricetidae,14,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18fb6c0205826c96d867fbf618bc6626,18fb6c0205826c96d867fbf618bc6626,No,NoDisponible,Si,,,,,,
26,Oryzomys albiventer,34181,-103.9208333,20.5330556,,False,5,27.72,Mammalia,Rodentia,Cricetidae,1239,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1935cf8ac60001516f2c8801ab07fa3b,1935cf8ac60001516f2c8801ab07fa3b,No,NoDisponible,Si,,,,,,
30,Oryzomys albiventer,36545,-102.7716667,20.3405556,,False,4,23.8,Mammalia,Rodentia,Cricetidae,1531,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a5e83dd5b57a08e5680a7669724b502,1a5e83dd5b57a08e5680a7669724b502,No,NoDisponible,Si,,,,,,
27,Oryzomys albiventer,34181,-103.9208333,20.5330556,,False,5,27.72,Mammalia,Rodentia,Cricetidae,1239,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bae0d035b8ffaa40bfd33c6eb59d4b2,1bae0d035b8ffaa40bfd33c6eb59d4b2,No,NoDisponible,Si,,,,,,
1,Oryzomys albiventer,31812,-105.0105556,19.3888889,,False,1,11.01,Mammalia,Rodentia,Cricetidae,14,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24d89dbb18ec1298247c140e6376026c,24d89dbb18ec1298247c140e6376026c,No,NoDisponible,Si,,,,,,
35,Oryzomys albiventer,36545,-102.77167,20.35083,,False,4,23.8,Mammalia,Rodentia,Cricetidae,1536,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=259f1305ede5603a0087c5882d67b0be,259f1305ede5603a0087c5882d67b0be,No,NoDisponible,Si,,,,,,
55,Oryzomys albiventer,43878,-99.3804021,23.4052778,,True,0,-6.72,Mammalia,Rodentia,Cricetidae,763,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25ab9066ba652c6726c08cfc52dbccc4,25ab9066ba652c6726c08cfc52dbccc4,No,NoDisponible,Si,,No,,,,
36,Oryzomys albiventer,36545,-102.77167,20.35083,,False,4,23.8,Mammalia,Rodentia,Cricetidae,1536,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29e3e8cc494faae7d612b8984c8b9309,29e3e8cc494faae7d612b8984c8b9309,No,NoDisponible,Si,,,,,,
64,Oryzomys albiventer,36542,-102.5820111,20.1389639,,False,3,18.33,Mammalia,Rodentia,Cricetidae,1525,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c3f61828f0600ee94f1690397943a46,2c3f61828f0600ee94f1690397943a46,No,NoDisponible,Si,,No,,,,
