,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
204,Oryzomys melanotis,247965,-90.104771,18.565714,,False,6,12.32,Mammalia,Rodentia,Cricetidae,117,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ae5b82fcea478a2230c6affafe1b8a,00ae5b82fcea478a2230c6affafe1b8a,Si,NoDisponible,No,No,No,,,,
330,Oryzomys melanotis,261092,-88.1324999,19.26,,False,6,17.12,Mammalia,Rodentia,Cricetidae,42,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=019d793ef8fa5474768e5cf4bd617896,019d793ef8fa5474768e5cf4bd617896,Si,NoDisponible,No,No,No,,,,
321,Oryzomys melanotis,239287,-90.9828889,16.8817778,,False,6,24.08,Mammalia,Rodentia,Cricetidae,90,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01e82e76768c631c89c786fc4d7b6d03,01e82e76768c631c89c786fc4d7b6d03,Si,NoDisponible,No,No,No,,,,
188,Oryzomys melanotis,248085,-90.230754,19.597024,,False,6,11.86,Mammalia,Rodentia,Cricetidae,29,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0209bacd9a6d55281ce50a81f2fe1cfb,0209bacd9a6d55281ce50a81f2fe1cfb,Si,NoDisponible,No,No,No,,,,
221,Oryzomys melanotis,235307,-91.433084,18.118324,,False,6,15.94,Mammalia,Rodentia,Cricetidae,8,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ee1dade46f4b37d6620ac78a9adef3,02ee1dade46f4b37d6620ac78a9adef3,Si,NoDisponible,No,No,No,,,,
411,Oryzomys melanotis,127419,-104.6727778,20.5883333,,False,5,-5.21,Mammalia,Rodentia,Cricetidae,2163,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02f074839ec8170fb346519b29d98083,02f074839ec8170fb346519b29d98083,No,NoDisponible,,,,,,,
273,Oryzomys melanotis,248186,-89.782962,20.10293,,False,6,10.96,Mammalia,Rodentia,Cricetidae,104,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=032b681122f1835f1cba14a7e676df7b,032b681122f1835f1cba14a7e676df7b,Si,NoDisponible,No,No,No,,,,
414,Oryzomys melanotis,243772,-90.3069444,19.0102778,,False,6,9.15,Mammalia,Rodentia,Cricetidae,54,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0335981414529d5cfa91255946d9eed7,0335981414529d5cfa91255946d9eed7,Si,NoDisponible,No,No,No,,,,
374,Oryzomys melanotis,150726,-102.2891667,18.3569444,,False,6,10.5,Mammalia,Rodentia,Cricetidae,833,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044b6ffb429f6373108d6bc014fa7d97,044b6ffb429f6373108d6bc014fa7d97,No,NoDisponible,,,,,,,
322,Oryzomys melanotis,239216,-90.8528055,16.1249999,,False,6,24.13,Mammalia,Rodentia,Cricetidae,184,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04bd02e95514e5cbbf3658103c2807b8,04bd02e95514e5cbbf3658103c2807b8,Si,NoDisponible,No,No,No,,,,
230,Oryzomys melanotis,243670,-90.807735,18.612801,,False,6,12.45,Mammalia,Rodentia,Cricetidae,87,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04f4f9a0887f5aa5d5bd513a2e09d88d,04f4f9a0887f5aa5d5bd513a2e09d88d,Si,NoDisponible,No,No,No,,,,
332,Oryzomys melanotis,194845,-96.9719444,19.0697222,,False,6,12.39,Mammalia,Rodentia,Cricetidae,1337,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=051149d2cbf806923cf6bc670e66d4d2,051149d2cbf806923cf6bc670e66d4d2,Si,NoDisponible,No,No,Si,,,,
104,Oryzomys melanotis,226761,-92.9528,17.5481,,False,6,21.04,Mammalia,Rodentia,Cricetidae,47,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0604492f1553cbbf0277033db41cf3e2,0604492f1553cbbf0277033db41cf3e2,Si,NoDisponible,No,No,No,,,,
23,Oryzomys melanotis,213580,-94.5991667,17.0769444,,False,6,26.13,Mammalia,Rodentia,Cricetidae,450,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071b5e9a0bc96b4c9fd4fccc6b8c5b18,071b5e9a0bc96b4c9fd4fccc6b8c5b18,Si,NoDisponible,No,No,Si,,,,
72,Oryzomys melanotis,127268,-104.79,19.3002778,,False,6,19.22,Mammalia,Rodentia,Cricetidae,12,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0790b5be48abd0c7673907b4cadf4bd8,0790b5be48abd0c7673907b4cadf4bd8,No,NoDisponible,,,,,,,
195,Oryzomys melanotis,252342,-89.329989,19.1168,,False,5,5.44,Mammalia,Rodentia,Cricetidae,170,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=079db0e3fe683c34d7ea6299e9f9424e,079db0e3fe683c34d7ea6299e9f9424e,Si,NoDisponible,No,No,No,,,,
380,Oryzomys melanotis,175485,-98.9722222,22.8425,,False,5,1.61,Mammalia,Rodentia,Cricetidae,79,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0825be3471b2669859a5ff8dbe969501,0825be3471b2669859a5ff8dbe969501,Si,NoDisponible,No,No,No,,,,
86,Oryzomys melanotis,127494,-105.20695,21.543719,,False,6,16.85,Mammalia,Rodentia,Cricetidae,127,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0833b0aebec52ceaffe94960b336496a,0833b0aebec52ceaffe94960b336496a,No,NoDisponible,,,,,,,
446,Oryzomys melanotis,226708,-93.0127778,17.3686111,,False,6,32.63,Mammalia,Rodentia,Cricetidae,268,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0916a08b3a20b5cf6061d9e131524209,0916a08b3a20b5cf6061d9e131524209,Si,NoDisponible,No,No,No,,,,
306,Oryzomys melanotis,239293,-90.9736389,16.898,,False,6,21.2,Mammalia,Rodentia,Cricetidae,180,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=096999aa90cdbad434d48a636d9e3c21,096999aa90cdbad434d48a636d9e3c21,Si,NoDisponible,No,No,No,,,,
304,Oryzomys melanotis,175366,-99.4277778,22.1258333,,False,5,3.91,Mammalia,Rodentia,Cricetidae,771,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=097d7bba1db1e1116a32facb9756fd9a,097d7bba1db1e1116a32facb9756fd9a,Si,NoDisponible,No,No,No,,,,
