,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Oryzomys saturatior,226702,-92.9799509,17.2366667,,False,3,71.88,Mammalia,Rodentia,Cricetidae,1132,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02d03c735b75ab7531225ec3eb6e3ad8,02d03c735b75ab7531225ec3eb6e3ad8,No,NoDisponible,NoDisponible,,Si,,,,
7,Oryzomys saturatior,226701,-92.9682835,17.1594444,,False,1,38.85,Mammalia,Rodentia,Cricetidae,1611,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=049134cba32799a2ebd8c09d3c6dbaf6,049134cba32799a2ebd8c09d3c6dbaf6,No,NoDisponible,NoDisponible,,Si,,,,
26,Oryzomys saturatior,230939,-92.3166667,17.2777778,,False,2,48.51,Mammalia,Rodentia,Cricetidae,1516,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bb86f7ada14dcfa9d921ac89ea15d7d,0bb86f7ada14dcfa9d921ac89ea15d7d,No,NoDisponible,NoDisponible,,Si,,,,
19,Oryzomys saturatior,230690,-92.26056,14.90806,,False,0,22.41,Mammalia,Rodentia,Cricetidae,178,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=110040eb74955fc408470133dfd75e47,110040eb74955fc408470133dfd75e47,No,NoDisponible,NoDisponible,,Si,,,,
27,Oryzomys saturatior,230939,-92.3166667,17.2777778,,False,2,48.51,Mammalia,Rodentia,Cricetidae,1516,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15d27cd20307079752fa6aed9e2d68e4,15d27cd20307079752fa6aed9e2d68e4,No,NoDisponible,NoDisponible,,Si,,,,
24,Oryzomys saturatior,230939,-92.3166667,17.2777778,,False,2,48.51,Mammalia,Rodentia,Cricetidae,1516,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=167eac6dfe800fc1e9117f488766e2af,167eac6dfe800fc1e9117f488766e2af,No,NoDisponible,NoDisponible,,Si,,,,
28,Oryzomys saturatior,230939,-92.3166667,17.2777778,,False,2,48.51,Mammalia,Rodentia,Cricetidae,1516,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18a9e8f8f2ff6c696da083001d11cfc6,18a9e8f8f2ff6c696da083001d11cfc6,No,NoDisponible,NoDisponible,,Si,,,,
4,Oryzomys saturatior,226702,-92.97,17.2055556,,False,3,71.88,Mammalia,Rodentia,Cricetidae,1864,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cb95d9bfb7380345c314505e844ba58,1cb95d9bfb7380345c314505e844ba58,No,NoDisponible,NoDisponible,,Si,,,,
29,Oryzomys saturatior,230939,-92.3166667,17.2777778,,False,2,48.51,Mammalia,Rodentia,Cricetidae,1516,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30b77478babacae7ef3a785577aa4547,30b77478babacae7ef3a785577aa4547,No,NoDisponible,NoDisponible,,Si,,,,
22,Oryzomys saturatior,239262,-91.2638889,16.9563889,,False,0,27.52,Mammalia,Rodentia,Cricetidae,401,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3306bf7648fb2ef44065b34198fc7ba0,3306bf7648fb2ef44065b34198fc7ba0,No,NoDisponible,NoDisponible,,Si,,,,
30,Oryzomys saturatior,230939,-92.3166667,17.2777778,,False,2,48.51,Mammalia,Rodentia,Cricetidae,1516,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3441aeb73fed57affaa80dbe543af45e,3441aeb73fed57affaa80dbe543af45e,No,NoDisponible,NoDisponible,,Si,,,,
12,Oryzomys saturatior,239214,-90.9308333,16.1227777,,False,1,31.14,Mammalia,Rodentia,Cricetidae,167,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a4b874c2e25b94d5b3fb27ea82d4ac1,3a4b874c2e25b94d5b3fb27ea82d4ac1,No,NoDisponible,NoDisponible,,Si,,,,
13,Oryzomys saturatior,239214,-90.9308333,16.1227777,,False,1,31.14,Mammalia,Rodentia,Cricetidae,167,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4149d7971e2cbd8f240596abf16b6851,4149d7971e2cbd8f240596abf16b6851,No,NoDisponible,NoDisponible,,Si,,,,
