,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
32,Otonyctomys hatti,248241,-89.9116667,20.5675,,True,1,-10.25,Mammalia,Rodentia,Cricetidae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0828b46dcbc1c5ea6befdd64fab8476b,0828b46dcbc1c5ea6befdd64fab8476b,No,NoDisponible,,,,,,,
19,Otonyctomys hatti,247955,-90.12,18.38,,False,3,20.52,Mammalia,Rodentia,Cricetidae,154,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a5f9357b201456ca65995c61a9e0f11,0a5f9357b201456ca65995c61a9e0f11,No,NoDisponible,,,,,,,
46,Otonyctomys hatti,252513,-89.3844444,20.2697222,,True,1,-5.82,Mammalia,Rodentia,Cricetidae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ece747b24ea25b6d18d423d6b3f75bd,0ece747b24ea25b6d18d423d6b3f75bd,No,NoDisponible,,,,,,,
30,Otonyctomys hatti,261092,-88.1324999,19.26,,False,4,24.31,Mammalia,Rodentia,Cricetidae,42,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fbb9c3f032383f1596d4d145b653be0,0fbb9c3f032383f1596d4d145b653be0,No,NoDisponible,,,,,,,
51,Otonyctomys hatti,269597,-87.1833333,21.2166667,,False,3,20.72,Mammalia,Rodentia,Cricetidae,6,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e5aa7463e430d47d7678d71ac57a2f3,1e5aa7463e430d47d7678d71ac57a2f3,Si,NoDisponible,No,Si,Si,,,,
20,Otonyctomys hatti,247949,-90.07,18.25,,False,4,25.98,Mammalia,Rodentia,Cricetidae,184,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fd2a40284fb4181265626a56fda839c,1fd2a40284fb4181265626a56fda839c,No,NoDisponible,,,,,,,
40,Otonyctomys hatti,261205,-88.5,20.6666667,,False,4,23.82,Mammalia,Rodentia,Cricetidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=250c3f95bd486903e6afacaf7a336899,250c3f95bd486903e6afacaf7a336899,No,NoDisponible,,,,,,,
2,Otonyctomys hatti,256895,-88.57134,20.684,,False,4,23.82,Mammalia,Rodentia,Cricetidae,31,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2cae3034f8a92e7387c264ea937adf86,2cae3034f8a92e7387c264ea937adf86,No,NoDisponible,,,,,,,
31,Otonyctomys hatti,261092,-88.1324999,19.26,,False,4,24.31,Mammalia,Rodentia,Cricetidae,42,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d15bd70226dccd43fef3c786a40d059,2d15bd70226dccd43fef3c786a40d059,No,NoDisponible,,,,,,,
41,Otonyctomys hatti,243874,-90.5316667,19.8422222,,True,0,-14.07,Mammalia,Rodentia,Cricetidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2dca26f76e0b0ea6e7a356ffcd060151,2dca26f76e0b0ea6e7a356ffcd060151,Si,NoDisponible,No,No,Si,,,,
