,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
26,Otospermophilus atricapillus,73526,-111.8125,26.0625,,False,1,20.44,Mammalia,Rodentia,Sciuridae,465,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=019c40fa83ac77f747cb217edc2128f8,019c40fa83ac77f747cb217edc2128f8,No,NoDisponible,NoDisponible,,,,,,
27,Otospermophilus atricapillus,73526,-111.8125,26.0625,,False,1,20.44,Mammalia,Rodentia,Sciuridae,465,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b21dd79a2e8ae26fb3540e3f633d5d,01b21dd79a2e8ae26fb3540e3f633d5d,No,NoDisponible,NoDisponible,,,,,,
19,Otospermophilus atricapillus,78010,-111.0552778,24.8708333,,False,1,16.16,Mammalia,Rodentia,Sciuridae,206,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ff247c67d11e8de6bb5cb2b73b8b6f,01ff247c67d11e8de6bb5cb2b73b8b6f,No,NoDisponible,NoDisponible,,,,,,
1,Otospermophilus atricapillus,64615,-112.8958333,27.2819444,,False,1,22.13,Mammalia,Rodentia,Sciuridae,113,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04c8dbdcc4c81005438ecebd8a5a86bf,04c8dbdcc4c81005438ecebd8a5a86bf,No,NoDisponible,NoDisponible,,,,,,
44,Otospermophilus atricapillus,73526,-111.82028,26.05944,,False,1,20.44,Mammalia,Rodentia,Sciuridae,296,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=076c01b4e6f2c1b4a19d0d59b8c5e7c1,076c01b4e6f2c1b4a19d0d59b8c5e7c1,No,NoDisponible,NoDisponible,,,,,,
28,Otospermophilus atricapillus,73526,-111.8125,26.0625,,False,1,20.44,Mammalia,Rodentia,Sciuridae,465,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08ab10420d4d447f930cb2826a89d141,08ab10420d4d447f930cb2826a89d141,No,NoDisponible,NoDisponible,,,,,,
54,Otospermophilus atricapillus,64614,-112.9083333,27.3083333,,False,1,21.7,Mammalia,Rodentia,Sciuridae,157,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a5a0f69e5d51d8d3103324ec10ed05a,0a5a0f69e5d51d8d3103324ec10ed05a,No,NoDisponible,NoDisponible,,,,,,
55,Otospermophilus atricapillus,64614,-112.9083333,27.3083333,,False,1,21.7,Mammalia,Rodentia,Sciuridae,157,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b4ac012a76558d14abbdbc353e9089e,0b4ac012a76558d14abbdbc353e9089e,No,NoDisponible,NoDisponible,,,,,,
11,Otospermophilus atricapillus,73504,-111.8440018,26.0709991,,False,1,22.83,Mammalia,Rodentia,Sciuridae,517,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cee1a96bfb2fcf4cf1c6bae683b2db6,0cee1a96bfb2fcf4cf1c6bae683b2db6,No,NoDisponible,NoDisponible,,,,,,
46,Otospermophilus atricapillus,73526,-111.8209991,26.059,,False,1,20.44,Mammalia,Rodentia,Sciuridae,313,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12a4f176a838a9ec19b73a8c7f389355,12a4f176a838a9ec19b73a8c7f389355,No,NoDisponible,NoDisponible,,,,,,
47,Otospermophilus atricapillus,73526,-111.8209991,26.059,,False,1,20.44,Mammalia,Rodentia,Sciuridae,313,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ddc8845a306c698bbc5250ceeb99cec,1ddc8845a306c698bbc5250ceeb99cec,No,NoDisponible,NoDisponible,,,,,,
29,Otospermophilus atricapillus,73526,-111.8125,26.0625,,False,1,20.44,Mammalia,Rodentia,Sciuridae,465,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=280fe4697da4efff0bd571dc5a46a21d,280fe4697da4efff0bd571dc5a46a21d,No,NoDisponible,NoDisponible,,,,,,
63,Otospermophilus atricapillus,78089,-111.343582,25.6067715,,False,1,13.89,Mammalia,Rodentia,Sciuridae,573,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=287fc13ce90f73aab2d5a55a5981417b,287fc13ce90f73aab2d5a55a5981417b,No,NoDisponible,NoDisponible,,,,,,
30,Otospermophilus atricapillus,73526,-111.8125,26.0625,,False,1,20.44,Mammalia,Rodentia,Sciuridae,465,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b89259ddacba7f46c2605085219fde8,2b89259ddacba7f46c2605085219fde8,No,NoDisponible,NoDisponible,,,,,,
31,Otospermophilus atricapillus,73526,-111.8125,26.0625,,False,1,20.44,Mammalia,Rodentia,Sciuridae,465,Terrestre,1931,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2bae737ad9e876d9e788967555e11b50,2bae737ad9e876d9e788967555e11b50,No,NoDisponible,NoDisponible,,,,,,
