,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
33,Otospermophilus beecheyi,46739,-115.482033,30.8939388,,False,4,27.22,Mammalia,Rodentia,Sciuridae,2060,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e31ac5f8ba47db819b81ce04673598e,0e31ac5f8ba47db819b81ce04673598e,No,NoDisponible,NoDisponible,,Si,,,,
5,Otospermophilus beecheyi,37971,-116.6109008,31.8994008,,False,3,22.16,Mammalia,Rodentia,Sciuridae,65,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f792f8fddc98bc2d60c18925eecff27,0f792f8fddc98bc2d60c18925eecff27,No,NoDisponible,NoDisponible,,Si,,,,
41,Otospermophilus beecheyi,46739,-115.481833,30.8940469,,False,4,27.22,Mammalia,Rodentia,Sciuridae,2060,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=186032b3ef03b1ed206962c18b8dc9ac,186032b3ef03b1ed206962c18b8dc9ac,No,NoDisponible,NoDisponible,,Si,,,,
61,Otospermophilus beecheyi,34166,-116.926428,32.5376405,,False,3,18.25,Mammalia,Rodentia,Sciuridae,140,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18c2ccf3400ec5b8e4b871c690bc2246,18c2ccf3400ec5b8e4b871c690bc2246,No,NoDisponible,NoDisponible,,Si,,,,
31,Otospermophilus beecheyi,46739,-115.4637441,30.8877691,,False,4,27.22,Mammalia,Rodentia,Sciuridae,2068,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19c5b82374acf22133a5b89b8867271a,19c5b82374acf22133a5b89b8867271a,No,NoDisponible,NoDisponible,,Si,,,,
46,Otospermophilus beecheyi,46739,-115.4716805,30.8940888,,False,4,27.22,Mammalia,Rodentia,Sciuridae,2068,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c7c5062bc95852d6b15cc901b37b50d,1c7c5062bc95852d6b15cc901b37b50d,No,NoDisponible,NoDisponible,,Si,,,,
40,Otospermophilus beecheyi,46739,-115.4637358,30.8877469,,False,4,27.22,Mammalia,Rodentia,Sciuridae,2068,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e11227e10cd0505ba62f2974a4b94c7,1e11227e10cd0505ba62f2974a4b94c7,No,NoDisponible,NoDisponible,,Si,,,,
39,Otospermophilus beecheyi,46739,-115.4778669,30.9080858,,False,4,27.22,Mammalia,Rodentia,Sciuridae,2063,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e9e2ba66d4683ee0c81c9a0912d4e1a,1e9e2ba66d4683ee0c81c9a0912d4e1a,No,NoDisponible,NoDisponible,,Si,,,,
21,Otospermophilus beecheyi,42164,-115.746208,30.9717191,,False,4,26.34,Mammalia,Rodentia,Sciuridae,644,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2048179bef2eda6e12caf54267d362de,2048179bef2eda6e12caf54267d362de,No,NoDisponible,NoDisponible,,Si,,,,
78,Otospermophilus beecheyi,38010,-116.2619444,31.9463889,,False,3,20.27,Mammalia,Rodentia,Sciuridae,694,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23cb9414a8fcfc9054c6f140aa2b37ca,23cb9414a8fcfc9054c6f140aa2b37ca,No,NoDisponible,NoDisponible,,Si,,,,
