,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
752,Ototylomys phyllotis,261300,-88.15083,21.14222,,False,4,20.78,Mammalia,Rodentia,Cricetidae,24,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001c2ad95c88944f1916df556c0a83c8,001c2ad95c88944f1916df556c0a83c8,No,NoDisponible,,,,,,,
182,Ototylomys phyllotis,252446,-89.475,20.2583333,,False,4,14.48,Mammalia,Rodentia,Cricetidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0109f53737d608efc358f7c798a9eb58,0109f53737d608efc358f7c798a9eb58,No,NoDisponible,,,,,,,
853,Ototylomys phyllotis,261209,-88.383107,20.539013,,False,4,20.19,Mammalia,Rodentia,Cricetidae,33,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0143fcb7e9b5c44983419444b853442d,0143fcb7e9b5c44983419444b853442d,No,NoDisponible,,,,,,,
401,Ototylomys phyllotis,247955,-90.12,18.38,,False,4,19.65,Mammalia,Rodentia,Cricetidae,154,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=015b0de5b2f765c00bc29482b3d5f2af,015b0de5b2f765c00bc29482b3d5f2af,No,NoDisponible,,,,,,,
306,Ototylomys phyllotis,243672,-90.7343451,18.6066667,,False,4,16.24,Mammalia,Rodentia,Cricetidae,87,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01fe79c78494700ec18a5f926b5f6a0a,01fe79c78494700ec18a5f926b5f6a0a,No,NoDisponible,,,,,,,
781,Ototylomys phyllotis,261237,-88.2013889,20.6905556,,False,4,22.74,Mammalia,Rodentia,Cricetidae,6,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020b66e78a3684ea29c84d7afc07dd98,020b66e78a3684ea29c84d7afc07dd98,No,NoDisponible,,,,,,,
924,Ototylomys phyllotis,261295,-88.0072222,20.9363889,,False,4,17.72,Mammalia,Rodentia,Cricetidae,17,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0292015ab906b8849675194107637ab4,0292015ab906b8849675194107637ab4,No,NoDisponible,,,,,,,
734,Ototylomys phyllotis,239293,-90.9645833,16.8982222,,False,4,18.97,Mammalia,Rodentia,Cricetidae,143,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0294c7625f9f7813dee8a41715253018,0294c7625f9f7813dee8a41715253018,Si,NoDisponible,No,Si,Si,,,,
247,Ototylomys phyllotis,243670,-90.8099029,18.6066667,,False,4,17.94,Mammalia,Rodentia,Cricetidae,102,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0295271bf1949f30dea1e4b2d08794e3,0295271bf1949f30dea1e4b2d08794e3,No,NoDisponible,,,,,,,
680,Ototylomys phyllotis,239367,-91.323679,17.739494,,False,4,19.35,Mammalia,Rodentia,Cricetidae,55,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=029842f20c1fe07b2741edf9dba5d7f2,029842f20c1fe07b2741edf9dba5d7f2,Si,NoDisponible,No,No,Si,,,,
441,Ototylomys phyllotis,243719,-90.75,18.82,,False,4,17.62,Mammalia,Rodentia,Cricetidae,45,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031940029ccfcec74ee0985811c32818,031940029ccfcec74ee0985811c32818,No,NoDisponible,,,,,,,
402,Ototylomys phyllotis,247955,-90.12,18.38,,False,4,19.65,Mammalia,Rodentia,Cricetidae,154,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03d8bb206db2baf95a90f2ab8b791c7a,03d8bb206db2baf95a90f2ab8b791c7a,No,NoDisponible,,,,,,,
834,Ototylomys phyllotis,239486,-90.9527778,18.6066667,,False,4,17.13,Mammalia,Rodentia,Cricetidae,29,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03eacf41a6dbe832188246163f998755,03eacf41a6dbe832188246163f998755,No,NoDisponible,,,,,,,
