,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
2,Ovis aries,155934,-101.5929788,21.8597058,,False,1,11.95,Mammalia,Artiodactyla,Bovidae,2227,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b2b814e914cdc3b53aaa245d44f3894,0b2b814e914cdc3b53aaa245d44f3894,No,NoDisponible,NoDisponible,,,,,,
6,Ovis aries,184903,-98.1700613,19.3723594,,False,2,17.75,Mammalia,Artiodactyla,Bovidae,2330,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0da59fa5141ba81cd8b4c4895f6dbf2b,0da59fa5141ba81cd8b4c4895f6dbf2b,No,NoDisponible,NoDisponible,,,,,,
9,Ovis aries,156963,-101.3760849,29.6840708,,False,0,9.73,Mammalia,Artiodactyla,Bovidae,340,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e1c6cc15d0395f0dee169fb0d47cefa,0e1c6cc15d0395f0dee169fb0d47cefa,No,NoDisponible,NoDisponible,,,,,,
4,Ovis aries,165487,-100.0687188,20.4060508,,False,2,16.38,Mammalia,Artiodactyla,Bovidae,1927,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=259f5ed834d10f7161c262726a5f199f,259f5ed834d10f7161c262726a5f199f,No,NoDisponible,NoDisponible,,,,,,
7,Ovis aries,170818,-99.9740366,24.580933,,False,3,21.64,Mammalia,Artiodactyla,Bovidae,2236,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=84fb314a7613c11e3c2f9f39d794a94e,84fb314a7613c11e3c2f9f39d794a94e,No,NoDisponible,NoDisponible,,,,,,
10,Ovis aries,151139,-101.9206808,21.3806355,,False,0,8.29,Mammalia,Artiodactyla,Bovidae,1884,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b8f002dd9d8780f1a4f2e12dc7cf081,9b8f002dd9d8780f1a4f2e12dc7cf081,No,NoDisponible,NoDisponible,,,,,,
8,Ovis aries,175008,-99.1978958,19.1142319,,False,2,14.96,Mammalia,Artiodactyla,Bovidae,3016,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a3370f8bbe3744c90b80f69d2bd90868,a3370f8bbe3744c90b80f69d2bd90868,No,NoDisponible,NoDisponible,,,,,,
5,Ovis aries,165487,-100.0673449,20.3989719,,False,2,16.38,Mammalia,Artiodactyla,Bovidae,1924,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=be4db63c27b3ab82af62d79db95d67da,be4db63c27b3ab82af62d79db95d67da,No,NoDisponible,NoDisponible,,,,,,
3,Ovis aries,165487,-100.0934138,20.4019708,,False,2,16.38,Mammalia,Artiodactyla,Bovidae,1932,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c0da796ddd855dc3c4fcda469677446a,c0da796ddd855dc3c4fcda469677446a,No,NoDisponible,NoDisponible,,,,,,
1,Ovis aries,165484,-100.0735249,20.3938227,,False,3,20.35,Mammalia,Artiodactyla,Bovidae,1930,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e067bbe2b704cf9c6fd59e35d71f8bb8,e067bbe2b704cf9c6fd59e35d71f8bb8,No,NoDisponible,NoDisponible,,,,,,
0,Ovis aries,46735,-115.2916666,30.7941666,,False,2,18.56,Mammalia,Artiodactyla,Bovidae,1687,Terrestre,1818,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f08a287c1241f45092d4aaf32834f017,f08a287c1241f45092d4aaf32834f017,No,NoDisponible,NoDisponible,,,,,,
