,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
82,Parastrellus hesperus,132426,-104.45765,23.5335333,,False,2,4.54,Mammalia,Chiroptera,Vespertilionidae,1720,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020feeceb88f04cc2f4afcec95785cc1,020feeceb88f04cc2f4afcec95785cc1,No,NoDisponible,NoDisponible,,Si,,,,
114,Parastrellus hesperus,60356,-113.7518311,28.73917,,False,3,9.38,Mammalia,Chiroptera,Vespertilionidae,435,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04d01507859e9fd31c1bff75a5661b0e,04d01507859e9fd31c1bff75a5661b0e,No,NoDisponible,NoDisponible,,Si,,,,
5,Parastrellus hesperus,78391,-111.13005,28.0047333,,False,3,7.76,Mammalia,Chiroptera,Vespertilionidae,80,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08a28f968ebbeb7339c695f4796d2e6b,08a28f968ebbeb7339c695f4796d2e6b,No,NoDisponible,NoDisponible,,Si,,,,
49,Parastrellus hesperus,92186,-109.6188204,28.968627,,False,1,0.79,Mammalia,Chiroptera,Vespertilionidae,313,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c6ccf93fbbd4b91d95f8334a0be8875,0c6ccf93fbbd4b91d95f8334a0be8875,No,NoDisponible,NoDisponible,,Si,,,,
45,Parastrellus hesperus,78394,-111.0935894,27.972698,,False,3,6.73,Mammalia,Chiroptera,Vespertilionidae,14,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fa2afff9ca9d3d99719f77ca73e6413,0fa2afff9ca9d3d99719f77ca73e6413,No,NoDisponible,NoDisponible,,Si,,,,
83,Parastrellus hesperus,132426,-104.45765,23.5335333,,False,2,4.54,Mammalia,Chiroptera,Vespertilionidae,1720,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11167f80987f5ef01433a13b8922b684,11167f80987f5ef01433a13b8922b684,No,NoDisponible,NoDisponible,,Si,,,,
40,Parastrellus hesperus,92173,-109.6287422,28.757798,,False,1,0.04,Mammalia,Chiroptera,Vespertilionidae,210,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12b8352b860eeaf0eb97158455bca0cc,12b8352b860eeaf0eb97158455bca0cc,No,NoDisponible,NoDisponible,,Si,,,,
46,Parastrellus hesperus,78394,-111.0935894,27.972698,,False,3,6.73,Mammalia,Chiroptera,Vespertilionidae,14,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13f3921d5676454a3576be436436b767,13f3921d5676454a3576be436436b767,No,NoDisponible,NoDisponible,,Si,,,,
6,Parastrellus hesperus,78391,-111.13005,28.0047333,,False,3,7.76,Mammalia,Chiroptera,Vespertilionidae,80,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=142c433e212ff3cac22f6605c95f01c0,142c433e212ff3cac22f6605c95f01c0,No,NoDisponible,NoDisponible,,Si,,,,
159,Parastrellus hesperus,141984,-103.2450058,24.9838799,,False,3,8.98,Mammalia,Chiroptera,Vespertilionidae,1332,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=147cc186b054a1c501b8ce6e1cdab1bb,147cc186b054a1c501b8ce6e1cdab1bb,No,NoDisponible,NoDisponible,,Si,,,,
7,Parastrellus hesperus,78391,-111.13005,28.0047333,,False,3,7.76,Mammalia,Chiroptera,Vespertilionidae,80,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=153e61a979e30ffcf59e5637d534d21b,153e61a979e30ffcf59e5637d534d21b,No,NoDisponible,NoDisponible,,Si,,,,
8,Parastrellus hesperus,78391,-111.13005,28.0047333,,False,3,7.76,Mammalia,Chiroptera,Vespertilionidae,80,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=169f44ecce8aa47aae3eca7f5742145f,169f44ecce8aa47aae3eca7f5742145f,No,NoDisponible,NoDisponible,,Si,,,,
42,Parastrellus hesperus,161276,-100.6681498,25.9260914,,False,3,7.69,Mammalia,Chiroptera,Vespertilionidae,659,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=174a8c824f45dc830c5d05c5778e5b38,174a8c824f45dc830c5d05c5778e5b38,No,NoDisponible,NoDisponible,,Si,,,,
65,Parastrellus hesperus,137752,-103.917735,29.099179,,False,2,4.9,Mammalia,Chiroptera,Vespertilionidae,1099,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=178beb5c6528dad0e58a75f369f205c9,178beb5c6528dad0e58a75f369f205c9,No,NoDisponible,NoDisponible,,Si,,,,
144,Parastrellus hesperus,60302,-113.6884919,28.3469106,,False,3,10.22,Mammalia,Chiroptera,Vespertilionidae,450,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17bdf0e0852aa7b91578649071e98555,17bdf0e0852aa7b91578649071e98555,No,NoDisponible,NoDisponible,,Si,,,,
115,Parastrellus hesperus,60356,-113.7518311,28.73917,,False,3,9.38,Mammalia,Chiroptera,Vespertilionidae,435,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bda27f3713e453f9218c04e231b9224,1bda27f3713e453f9218c04e231b9224,No,NoDisponible,NoDisponible,,Si,,,,
