,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
14,Perognathus longimembris,78519,-111.1218962,29.046182,,False,1,2.5,Mammalia,Rodentia,Heteromyidae,166,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a4c37302768fed80987ba3a799636c,00a4c37302768fed80987ba3a799636c,Si,NoDisponible,No,No,Si,,,,
91,Perognathus longimembris,46652,-115,30,,False,4,14.66,Mammalia,Rodentia,Heteromyidae,583,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012f3412635f6b379c29cd090e914fed,012f3412635f6b379c29cd090e914fed,Si,NoDisponible,No,Si,Si,,,,
31,Perognathus longimembris,69446,-112.6511575,29.8343913,,False,4,16.69,Mammalia,Rodentia,Heteromyidae,7,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b8a89098a14569de61c4918dcf1315,01b8a89098a14569de61c4918dcf1315,Si,NoDisponible,No,No,Si,,,,
74,Perognathus longimembris,51457,-114.9632872,31.1310617,,False,4,15.56,Mammalia,Rodentia,Heteromyidae,147,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04cbd3fe7ad9d82eacc5a0eba245eacf,04cbd3fe7ad9d82eacc5a0eba245eacf,No,NoDisponible,,,,,,,
73,Perognathus longimembris,64669,-113.0847092,28.0492039,,False,3,10.74,Mammalia,Rodentia,Heteromyidae,397,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06b4afca15825d2860521f3577a2b4bd,06b4afca15825d2860521f3577a2b4bd,Si,NoDisponible,No,No,Si,,,,
53,Perognathus longimembris,42273,-115.8304597,31.6544894,,False,3,10.82,Mammalia,Rodentia,Heteromyidae,1173,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08eb6e09e0fdd81ff1c064a03e587bde,08eb6e09e0fdd81ff1c064a03e587bde,Si,NoDisponible,No,No,Si,,,,
41,Perognathus longimembris,60183,-113.7083333,27.5416666,,False,2,6.29,Mammalia,Rodentia,Heteromyidae,17,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=097299d3d3fae365cc59e3946e68e7c7,097299d3d3fae365cc59e3946e68e7c7,Si,NoDisponible,No,No,Si,,,,
86,Perognathus longimembris,69612,-112.15917,30.71556,,False,3,11.15,Mammalia,Rodentia,Heteromyidae,279,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1614fbc3fc29f9b93a5bd1569ac79330,1614fbc3fc29f9b93a5bd1569ac79330,Si,NoDisponible,No,No,Si,,,,
15,Perognathus longimembris,78519,-111.1218962,29.046182,,False,1,2.5,Mammalia,Rodentia,Heteromyidae,166,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=172c2798f700640d3d0ce54988daef6a,172c2798f700640d3d0ce54988daef6a,Si,NoDisponible,No,No,Si,,,,
69,Perognathus longimembris,55845,-114.0728989,29.2984008,,False,4,15.12,Mammalia,Rodentia,Heteromyidae,1291,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1acc4ed83b3dc0d2a311cd978b0ac201,1acc4ed83b3dc0d2a311cd978b0ac201,Si,NoDisponible,No,No,Si,,,,
