,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
25,Perognathus merriami,156531,-101.3555555,26.3797222,,False,2,1.97,Mammalia,Rodentia,Heteromyidae,1067,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b7a759896c6908b06d79846cd217d5,00b7a759896c6908b06d79846cd217d5,Si,NoDisponible,No,Si,Si,,,,
27,Perognathus merriami,185428,-98.237287,23.800348,,False,4,6.1,Mammalia,Rodentia,Heteromyidae,25,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08beb815771fc434f9146f92c763ef91,08beb815771fc434f9146f92c763ef91,No,NoDisponible,,,,,,,
49,Perognathus merriami,156888,-101.6397569,29.5811008,,False,6,9.9,Mammalia,Rodentia,Heteromyidae,559,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0931940bb21c54929fc21476eb5cceda,0931940bb21c54929fc21476eb5cceda,No,NoDisponible,,,,,,,
10,Perognathus merriami,156519,-101.3336111,26.2147222,,False,1,0.2,Mammalia,Rodentia,Heteromyidae,1034,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c700bf2cf711a87548ce723394a69b7,0c700bf2cf711a87548ce723394a69b7,Si,NoDisponible,No,No,Si,,,,
30,Perognathus merriami,185579,-97.7405579,24.5150536,,False,5,8.85,Mammalia,Rodentia,Heteromyidae,10,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ce9caf1b3c3a7f55452fac09e2f48c2,0ce9caf1b3c3a7f55452fac09e2f48c2,No,NoDisponible,,,,,,,
15,Perognathus merriami,137795,-103.948,29.151,,False,2,2.22,Mammalia,Rodentia,Heteromyidae,1184,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c836f2275b4c0e1b5aff0f386ba9e19,1c836f2275b4c0e1b5aff0f386ba9e19,Si,NoDisponible,No,No,Si,,,,
31,Perognathus merriami,185579,-97.7405579,24.5150536,,False,5,8.85,Mammalia,Rodentia,Heteromyidae,10,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=223c26cba273994b39f842ecec8ef3cb,223c26cba273994b39f842ecec8ef3cb,No,NoDisponible,,,,,,,
0,Perognathus merriami,175605,-99.114118,23.873598,,False,4,7.07,Mammalia,Rodentia,Heteromyidae,208,Terrestre,1966,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22a0100253818a0d9e50ea28dc7ac97e,22a0100253818a0d9e50ea28dc7ac97e,No,NoDisponible,,,,,,,
26,Perognathus merriami,156531,-101.3555555,26.3797222,,False,2,1.97,Mammalia,Rodentia,Heteromyidae,1067,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2aafb44808dab5ffd00310eea3b83fb4,2aafb44808dab5ffd00310eea3b83fb4,Si,NoDisponible,No,Si,Si,,,,
32,Perognathus merriami,185579,-97.7405579,24.5150536,,False,5,8.85,Mammalia,Rodentia,Heteromyidae,10,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3353ebf805dfa07160d2d917ca818d85,3353ebf805dfa07160d2d917ca818d85,No,NoDisponible,,,,,,,
