,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
8,Peromyscus gymnotis,230679,-92.4657665,15.2572222,,False,3,46.23,Mammalia,Rodentia,Cricetidae,1087,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003711eaa6f1657e1244255893c3e53e,003711eaa6f1657e1244255893c3e53e,Si,NoDisponible,No,Si,Si,,,,
138,Peromyscus gymnotis,230665,-92.3683333,14.7855556,,False,1,19.51,Mammalia,Rodentia,Cricetidae,29,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b5b92a383fc1a81ba76e509381f4d4,01b5b92a383fc1a81ba76e509381f4d4,Si,NoDisponible,No,No,Si,,,,
203,Peromyscus gymnotis,226724,-92.7372222,17.0894444,,False,2,38.21,Mammalia,Rodentia,Cricetidae,1253,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02bbbd587b8d3f4aa8fe10a33ea5e571,02bbbd587b8d3f4aa8fe10a33ea5e571,Si,NoDisponible,No,No,Si,,,,
124,Peromyscus gymnotis,230695,-92.1615925,14.9469444,,False,2,36.47,Mammalia,Rodentia,Cricetidae,363,Terrestre,1956,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04c441c89538cd72713035f68708144e,04c441c89538cd72713035f68708144e,No,NoDisponible,,,,,,,
243,Peromyscus gymnotis,226539,-92.6208333,15.3625,,False,2,38.78,Mammalia,Rodentia,Cricetidae,211,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08c272f19fb8732058acb9ec77ff8a92,08c272f19fb8732058acb9ec77ff8a92,No,NoDisponible,,,,,,,
44,Peromyscus gymnotis,222519,-93.2974999,16.8886111,,False,1,19.84,Mammalia,Rodentia,Cricetidae,932,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09058cfc11379e68011b6170130e255f,09058cfc11379e68011b6170130e255f,Si,NoDisponible,No,No,Si,,,,
45,Peromyscus gymnotis,222519,-93.2974999,16.8886111,,False,1,19.84,Mammalia,Rodentia,Cricetidae,932,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=093b1543c9675ca9e4603313f2e3eb7d,093b1543c9675ca9e4603313f2e3eb7d,Si,NoDisponible,No,No,Si,,,,
139,Peromyscus gymnotis,226488,-92.7268838,15.3141667,,False,1,21.89,Mammalia,Rodentia,Cricetidae,42,Terrestre,1937,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a16c09eab7e5dd438ab1b4ba1006253,0a16c09eab7e5dd438ab1b4ba1006253,No,NoDisponible,,,,,,,
153,Peromyscus gymnotis,226508,-92.891611,15.4416667,,False,2,28.18,Mammalia,Rodentia,Cricetidae,44,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a5253636d437d77d85b876dd4a24c09,0a5253636d437d77d85b876dd4a24c09,No,NoDisponible,,,,,,,
46,Peromyscus gymnotis,222519,-93.2974999,16.8886111,,False,1,19.84,Mammalia,Rodentia,Cricetidae,932,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b5882f2aaeb754d161fbc47cc82c4c2,0b5882f2aaeb754d161fbc47cc82c4c2,Si,NoDisponible,No,No,Si,,,,
