,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
494,Peromyscus hylocetes,160479,-100.9546778,19.6183333,,False,2,33.78,Mammalia,Rodentia,Cricetidae,1980,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000a381d04f8eddeaecb4c0df157a2d1,000a381d04f8eddeaecb4c0df157a2d1,No,NoDisponible,,,,,,,
314,Peromyscus hylocetes,155662,-101.5744528,19.4116667,,False,1,31.56,Mammalia,Rodentia,Cricetidae,2614,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d3bd7bb2135f6aae524fcd1c93f838,01d3bd7bb2135f6aae524fcd1c93f838,No,NoDisponible,,,,,,,
49,Peromyscus hylocetes,165310,-100.1516667,19.1711111,,False,2,47.44,Mammalia,Rodentia,Cricetidae,1999,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0325a6d53c92bedd37c9fab8c416e5f9,0325a6d53c92bedd37c9fab8c416e5f9,No,NoDisponible,,,,,,,
205,Peromyscus hylocetes,136639,-103.5542078,19.605,,False,2,39.59,Mammalia,Rodentia,Cricetidae,2334,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0378762b79d60d921df3e239889a9a7c,0378762b79d60d921df3e239889a9a7c,No,NoDisponible,,,,,,,
409,Peromyscus hylocetes,189783,-97.6208333,18.5522222,,False,1,16.26,Mammalia,Rodentia,Cricetidae,2078,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f2463be92b7e73dfa199cb1affef6b,03f2463be92b7e73dfa199cb1affef6b,Si,NoDisponible,No,No,No,,,,
95,Peromyscus hylocetes,150991,-102.0639561,20.40656,,False,0,0.13,Mammalia,Rodentia,Cricetidae,1721,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=040388b3673ee1de5fef2ae1b5e70fa4,040388b3673ee1de5fef2ae1b5e70fa4,Si,NoDisponible,No,No,No,,,,
10,Peromyscus hylocetes,136637,-103.6216667,19.6391667,,False,3,60.63,Mammalia,Rodentia,Cricetidae,2396,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044ac7e981320ae539db1961c17a875e,044ac7e981320ae539db1961c17a875e,No,NoDisponible,,,,,,,
99,Peromyscus hylocetes,136632,-103.6520104,19.67459,,False,2,43.87,Mammalia,Rodentia,Cricetidae,2264,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=055ae16b6eb64978ee3fa1dcd1ca3858,055ae16b6eb64978ee3fa1dcd1ca3858,No,NoDisponible,,,,,,,
11,Peromyscus hylocetes,136637,-103.6216667,19.6391667,,False,3,60.63,Mammalia,Rodentia,Cricetidae,2396,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05fdfc9296ad63c36facf16b2af5a461,05fdfc9296ad63c36facf16b2af5a461,No,NoDisponible,,,,,,,
362,Peromyscus hylocetes,175002,-99.2595,19.0421667,,False,3,49.91,Mammalia,Rodentia,Cricetidae,2727,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=076667d1cff9831631b6c3aa66690dcc,076667d1cff9831631b6c3aa66690dcc,No,NoDisponible,,,,,,,
341,Peromyscus hylocetes,150867,-102.250177,19.49333,,False,2,34.32,Mammalia,Rodentia,Cricetidae,2775,Terrestre,1945,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=095cef62e38491566c6b00fc34914ee1,095cef62e38491566c6b00fc34914ee1,No,NoDisponible,,,,,,,
299,Peromyscus hylocetes,160555,-100.6606028,19.7573889,,False,2,45.44,Mammalia,Rodentia,Cricetidae,2694,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0abc4dd2a1dc6bb40cd3d685e7c68746,0abc4dd2a1dc6bb40cd3d685e7c68746,No,NoDisponible,,,,,,,
336,Peromyscus hylocetes,150876,-102.05,19.5208333,,False,2,32.85,Mammalia,Rodentia,Cricetidae,2335,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b55ed4dcddf8ccc7466423cb66361fa,0b55ed4dcddf8ccc7466423cb66361fa,No,NoDisponible,,,,,,,
180,Peromyscus hylocetes,155673,-101.6116667,19.4586667,,False,2,40.26,Mammalia,Rodentia,Cricetidae,2336,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bcccea99f61add5ec382a267b2310d0,0bcccea99f61add5ec382a267b2310d0,No,NoDisponible,,,,,,,
116,Peromyscus hylocetes,136634,-103.6068759,19.561667,,False,3,57.07,Mammalia,Rodentia,Cricetidae,4118,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bd60273cc7fa230b4beb46c7bf80178,0bd60273cc7fa230b4beb46c7bf80178,No,NoDisponible,,,,,,,
52,Peromyscus hylocetes,174998,-99.4583333,19.1391667,,False,2,35.52,Mammalia,Rodentia,Cricetidae,2631,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cffe6f3a2dace9375be25e7c50ff7d7,0cffe6f3a2dace9375be25e7c50ff7d7,No,NoDisponible,,,,,,,
110,Peromyscus hylocetes,136632,-103.637748,19.699934,,False,2,43.87,Mammalia,Rodentia,Cricetidae,2601,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d0a780038446e38c48847b484c31283,0d0a780038446e38c48847b484c31283,No,NoDisponible,,,,,,,
382,Peromyscus hylocetes,150888,-101.95,19.3916667,,False,1,15.13,Mammalia,Rodentia,Cricetidae,1350,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d84024baa357b5dab34016dafc6381d,0d84024baa357b5dab34016dafc6381d,No,NoDisponible,,,,,,,
0,Peromyscus hylocetes,136638,-103.594675,19.69683,,False,2,44.81,Mammalia,Rodentia,Cricetidae,2013,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0dbe9b6615fa51eaf76734509680de90,0dbe9b6615fa51eaf76734509680de90,No,NoDisponible,,,,,,,
444,Peromyscus hylocetes,160478,-100.98,19.655,,False,2,33.59,Mammalia,Rodentia,Cricetidae,2299,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e0e2120aebf41fc3d2b115b89edf81e,0e0e2120aebf41fc3d2b115b89edf81e,No,NoDisponible,,,,,,,
378,Peromyscus hylocetes,155661,-101.5736667,19.3555833,,False,2,39.03,Mammalia,Rodentia,Cricetidae,2610,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0efb54fbd7f032f13e77d4ae1f280208,0efb54fbd7f032f13e77d4ae1f280208,No,NoDisponible,,,,,,,
12,Peromyscus hylocetes,136637,-103.6216667,19.6391667,,False,3,60.63,Mammalia,Rodentia,Cricetidae,2396,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fc6d29009946695492d7e4c6ab67897,0fc6d29009946695492d7e4c6ab67897,No,NoDisponible,,,,,,,
204,Peromyscus hylocetes,131962,-104.1636111,19.565,,False,2,42.53,Mammalia,Rodentia,Cricetidae,2724,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1073b19c3a8ae5a48d04c2bf250a2278,1073b19c3a8ae5a48d04c2bf250a2278,No,NoDisponible,,,,,,,
