,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
914,Peromyscus leucopus,175650,-99.1461111,24.1027778,,False,3,6.47,Mammalia,Rodentia,Cricetidae,195,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0007cc347151a313f1d1b31ee03ba5d6,0007cc347151a313f1d1b31ee03ba5d6,No,NoDisponible,,,,,,,
931,Peromyscus leucopus,123688,-105.3619444,28.3469444,,True,1,-11.65,Mammalia,Rodentia,Cricetidae,1275,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007408989c2ce4dd8eb760ee40b56908,007408989c2ce4dd8eb760ee40b56908,Si,NoDisponible,No,Si,Si,,,,
538,Peromyscus leucopus,269546,-86.928237,20.334487,,False,3,8.63,Mammalia,Rodentia,Cricetidae,14,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00809a77594d584007b7e069efa2d867,00809a77594d584007b7e069efa2d867,Si,NoDisponible,No,No,Si,,,,
192,Peromyscus leucopus,180328,-98.5160983,22.073,,False,3,7.78,Mammalia,Rodentia,Cricetidae,22,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008b1d42bf6dc0933f0c4bb1d40520f7,008b1d42bf6dc0933f0c4bb1d40520f7,No,NoDisponible,,,,,,,
625,Peromyscus leucopus,190117,-97.401,20.943,,False,3,9.52,Mammalia,Rodentia,Cricetidae,8,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b086efc7e60e4681ce28fe43ad7313,00b086efc7e60e4681ce28fe43ad7313,No,NoDisponible,,,,,,,
211,Peromyscus leucopus,180328,-98.4970979,22.092,,False,3,7.78,Mammalia,Rodentia,Cricetidae,13,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0110c24e2febe4a1672658fe9a28a99d,0110c24e2febe4a1672658fe9a28a99d,No,NoDisponible,,,,,,,
847,Peromyscus leucopus,256896,-88.5886111,20.7980556,,False,3,8.11,Mammalia,Rodentia,Cricetidae,43,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01131085e22054f5c772c8fe0f27be6d,01131085e22054f5c772c8fe0f27be6d,No,NoDisponible,,,,,,,
737,Peromyscus leucopus,127921,-104.8663889,24.8008333,,True,1,-7.75,Mammalia,Rodentia,Cricetidae,1964,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01478d4d680d7bb49bd6fa2be4fe522e,01478d4d680d7bb49bd6fa2be4fe522e,Si,NoDisponible,No,Si,Si,,,,
909,Peromyscus leucopus,127861,-104.9011111,24.4113889,,True,1,-9.41,Mammalia,Rodentia,Cricetidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b50d6c6f90aab44a73adf47a4b2bf9,01b50d6c6f90aab44a73adf47a4b2bf9,Si,NoDisponible,No,No,Si,,,,
131,Peromyscus leucopus,252446,-89.475,20.2583333,,False,3,6.72,Mammalia,Rodentia,Cricetidae,75,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01fafe32a22c7ae4c2e2e848d5bd4d84,01fafe32a22c7ae4c2e2e848d5bd4d84,No,NoDisponible,,,,,,,
634,Peromyscus leucopus,180302,-98.71706,22.08078,,False,3,9.04,Mammalia,Rodentia,Cricetidae,44,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=020b978b78481e33ba5d8d02f77bcb5d,020b978b78481e33ba5d8d02f77bcb5d,No,NoDisponible,,,,,,,
101,Peromyscus leucopus,189991,-97.3280944,19.868525,,False,3,14.76,Mammalia,Rodentia,Cricetidae,1554,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0263d305bebc44e9e830726c1ca4b0e9,0263d305bebc44e9e830726c1ca4b0e9,No,NoDisponible,,,,,,,
910,Peromyscus leucopus,175455,-99.2333333,22.8166667,,False,3,8.07,Mammalia,Rodentia,Cricetidae,192,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0270f0ff1dfafe8ca71ad9a589b0ee37,0270f0ff1dfafe8ca71ad9a589b0ee37,No,NoDisponible,,,,,,,
455,Peromyscus leucopus,170854,-99.678897,24.756309,,False,3,8.1,Mammalia,Rodentia,Cricetidae,468,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0291abf09f2db9d307e8750cab9bfe26,0291abf09f2db9d307e8750cab9bfe26,No,NoDisponible,,,,,,,
