,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1743,Peromyscus levipes,132086,-104.30876,20.7671292,,False,1,13.42,Mammalia,Rodentia,Cricetidae,1484,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0003a65dabbb1c31c9a16a21f5cb2b83,0003a65dabbb1c31c9a16a21f5cb2b83,Si,NoDisponible,No,No,Si,,,,
3093,Peromyscus levipes,185387,-97.7922222,22.9658333,,False,1,1.75,Mammalia,Rodentia,Cricetidae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007814bc89a77005572eb05f656a6004,007814bc89a77005572eb05f656a6004,Si,NoDisponible,No,No,Si,,,,
1041,Peromyscus levipes,189991,-97.3280944,19.868525,,False,2,31.3,Mammalia,Rodentia,Cricetidae,1554,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009206747826ab13a82b0abef78c6573,009206747826ab13a82b0abef78c6573,Si,NoDisponible,No,No,Si,,,,
3080,Peromyscus levipes,170604,-99.495,22.4697222,,False,1,18.55,Mammalia,Rodentia,Cricetidae,1116,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00972e628c81ae2529836eee627408d4,00972e628c81ae2529836eee627408d4,No,NoDisponible,,,,,,,
699,Peromyscus levipes,170419,-99.6333333,21.1166667,,False,2,28.03,Mammalia,Rodentia,Cricetidae,2550,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a4e1a7f85472f615edb9554728f218,00a4e1a7f85472f615edb9554728f218,No,NoDisponible,,,,,,,
2895,Peromyscus levipes,170283,-99.4994492,19.7484749,,False,2,27.75,Mammalia,Rodentia,Cricetidae,2559,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a550b07bf388177a2fc8a83dd9f2f2,00a550b07bf388177a2fc8a83dd9f2f2,No,NoDisponible,,,,,,,
386,Peromyscus levipes,175282,-99.1333333,21.2,,False,2,27.78,Mammalia,Rodentia,Cricetidae,1737,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b806a2457d8fb97a4572860624217d,00b806a2457d8fb97a4572860624217d,No,NoDisponible,,,,,,,
2284,Peromyscus levipes,189993,-97.2439489,19.7630556,,False,2,32.3,Mammalia,Rodentia,Cricetidae,1905,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c003911cec85b7c93ca2b267fd7cc1,00c003911cec85b7c93ca2b267fd7cc1,Si,NoDisponible,No,No,Si,,,,
326,Peromyscus levipes,175282,-99.1333333,21.1833333,,False,2,27.78,Mammalia,Rodentia,Cricetidae,1582,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e1f4b66b1eb69e8e34fccd09f195ed,00e1f4b66b1eb69e8e34fccd09f195ed,No,NoDisponible,,,,,,,
1933,Peromyscus levipes,118507,-105.8168972,23.46775,,False,1,23.17,Mammalia,Rodentia,Cricetidae,1779,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f3ce5793247144d47a98189a2fccaf,00f3ce5793247144d47a98189a2fccaf,Si,NoDisponible,No,No,No,,,,
10,Peromyscus levipes,235022,-91.7861111,16.1280556,,False,1,17.49,Mammalia,Rodentia,Cricetidae,1459,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01081e3d10e66fb87c64c02bff1ef300,01081e3d10e66fb87c64c02bff1ef300,Si,NoDisponible,No,No,Si,,,,
2932,Peromyscus levipes,184998,-97.9890333,19.9292,,False,2,35.48,Mammalia,Rodentia,Cricetidae,2280,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01110a21812672bc1fc4adba26d677ce,01110a21812672bc1fc4adba26d677ce,No,NoDisponible,,,,,,,
2868,Peromyscus levipes,175426,-99.4210831,22.4962188,,False,1,22.92,Mammalia,Rodentia,Cricetidae,927,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012bffec5fb534d19acaaf5915502f0f,012bffec5fb534d19acaaf5915502f0f,No,NoDisponible,,,,,,,
2395,Peromyscus levipes,150863,-102.05715,19.35435,,False,1,15.08,Mammalia,Rodentia,Cricetidae,1556,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013e0696617f9b188c74b9f0459c516a,013e0696617f9b188c74b9f0459c516a,Si,NoDisponible,No,No,Si,,,,
1238,Peromyscus levipes,166070,-100.3084853,25.5255952,,False,2,31.78,Mammalia,Rodentia,Cricetidae,1978,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014fc13c76bdae231c512b79112165f6,014fc13c76bdae231c512b79112165f6,Si,NoDisponible,No,No,Si,,,,
551,Peromyscus levipes,180080,-98.3469722,19.9863333,,False,2,29.63,Mammalia,Rodentia,Cricetidae,2606,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=015d3c5bdb31e6f62e52a638de85c48d,015d3c5bdb31e6f62e52a638de85c48d,No,NoDisponible,,,,,,,
1215,Peromyscus levipes,175241,-99.2899999,20.8247222,,False,2,25.93,Mammalia,Rodentia,Cricetidae,1863,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=016dedf51bcd079e7d7119f792a9d6a6,016dedf51bcd079e7d7119f792a9d6a6,No,NoDisponible,,,,,,,
2677,Peromyscus levipes,180126,-98.729167,20.7855556,,False,2,31.31,Mammalia,Rodentia,Cricetidae,1615,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017795df3ab3aaeb5eed174f997be095,017795df3ab3aaeb5eed174f997be095,No,NoDisponible,,,,,,,
3012,Peromyscus levipes,199517,-96.4416667,17.425,,False,2,50.31,Mammalia,Rodentia,Cricetidae,2599,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0183b5677748438bec0396448baef287,0183b5677748438bec0396448baef287,Si,NoDisponible,No,No,Si,,,,
2275,Peromyscus levipes,189993,-97.243889,19.7630556,,False,2,32.3,Mammalia,Rodentia,Cricetidae,1905,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0189189077e5a9491deb24bfece2fc7b,0189189077e5a9491deb24bfece2fc7b,Si,NoDisponible,No,No,Si,,,,
1173,Peromyscus levipes,226672,-92.5991667,16.6780556,,False,2,30.76,Mammalia,Rodentia,Cricetidae,2553,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c47e7348f331a698c734cd31938fa0,01c47e7348f331a698c734cd31938fa0,Si,NoDisponible,No,No,Si,,,,
2009,Peromyscus levipes,118464,-105.8445677,23.44221,,False,1,20.62,Mammalia,Rodentia,Cricetidae,1132,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d5193ccad259d6b7b7771af4d4262e,01d5193ccad259d6b7b7771af4d4262e,Si,NoDisponible,No,No,No,,,,
1646,Peromyscus levipes,226703,-92.9010599,17.1727778,,False,2,33.65,Mammalia,Rodentia,Cricetidae,1709,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01dbcd6ea7f3bcc3a9a26956de45faab,01dbcd6ea7f3bcc3a9a26956de45faab,Si,NoDisponible,No,No,Si,,,,
2476,Peromyscus levipes,180124,-98.653056,20.6438889,,False,2,29.15,Mammalia,Rodentia,Cricetidae,1973,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ebf3e421b9eb7a2b7e7b213c561d94,01ebf3e421b9eb7a2b7e7b213c561d94,No,NoDisponible,,,,,,,
3314,Peromyscus levipes,226683,-92.6075,16.7222222,,False,2,28.24,Mammalia,Rodentia,Cricetidae,2396,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01f861c64c14be24fb92db6c55b0359c,01f861c64c14be24fb92db6c55b0359c,Si,NoDisponible,No,No,Si,,,,
1816,Peromyscus levipes,235029,-91.9813139,16.3425,,False,1,19.51,Mammalia,Rodentia,Cricetidae,1566,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=021ef3f5396cf94c44628c12dc847306,021ef3f5396cf94c44628c12dc847306,Si,NoDisponible,No,No,Si,,,,
214,Peromyscus levipes,226681,-92.6704983,16.7675,,False,2,30.84,Mammalia,Rodentia,Cricetidae,2388,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02219971e786ebd34e8b8dbb84868ff0,02219971e786ebd34e8b8dbb84868ff0,Si,NoDisponible,No,No,Si,,,,
2276,Peromyscus levipes,189993,-97.243889,19.7630556,,False,2,32.3,Mammalia,Rodentia,Cricetidae,1905,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0229b023948f9271d89a4c3885cfe151,0229b023948f9271d89a4c3885cfe151,Si,NoDisponible,No,No,Si,,,,
